date,大连,上海,石家庄,成都,无锡,昆明,大庆,珠海,济南,北京,佛山,青岛,中山,南宁,哈尔滨,东营,南昌,天津,深圳,西安,温州,沈阳,徐州,南通,包头,广州,福州,郑州,合肥,太原,乌鲁木齐,惠州,重庆,东莞,武汉,杭州,鞍山,苏州,宁波,淄博,烟台,南京,长沙,呼和浩特,常州,厦门,长春,唐山
2015-01-01,-7,-1,-5,5,-4,7,-21,11.0,-3,-5,9.0,-3,8,5,-24,-4,-1,-4,10,-4,1,-17,-5,-4,-16,6,4,-2,-3,-12,-13,8,8,9.0,-2,-2,-11,-3,-3,-7,-4,-4,4,-14,-4,8,-20,-11
2015-01-02,-4,2,-5,3,0,4,-17,13.0,0,-6,9.0,0,10,6,-22,-3,4,-2,13,-3,2,-15,-1,-2,-14,7,6,0,-3,-10,-10,9,8,11.0,3,0,-7,0,-2,-5,-4,-1,4,-12,1,9,-16,-8
2015-01-03,0,4,-3,1,3,7,-16,14.0,3,-5,10.0,2,11,10,-13,-2,7,-3,13,-2,5,-11,2,2,-13,8,7,-1,3,-9,-11,10,8,13.0,2,5,-4,4,4,-2,1,3,6,-9,3,9,-12,-6
2015-01-04,0,9,-2,5,5,7,-15,16.0,3,-1,14.0,4,15,15,-17,2,10,1,16,0,10,-9,5,5,-10,14,9,4,7,-5,-14,14,7,16.0,9,6,-4,7,9,2,2,5,11,-10,6,11,-14,-3
2015-01-05,-6,5,-3,2,2,7,-18,18.0,-4,-4,18.0,-2,17,15,-20,-3,7,-4,18,1,11,-18,0,3,-17,17,12,0,3,-10,-13,17,6,18.0,3,4,-11,3,6,-5,-4,2,5,-15,2,14,-19,-9
2015-01-06,-6,3,-4,3,0,5,-20,15.0,-3,-6,14.0,-2,15,11,-23,-4,3,-3,16,-1,7,-21,-2,0,-16,14,11,-2,-2,-9,-9,16,6,15.0,-1,2,-13,1,2,-5,-3,-1,4,-13,0,13,-21,-11
2015-01-07,-6,2,-4,5,-2,5,-17,14.0,-2,-6,11.0,-1,12,11,-26,-5,2,-3,12,-2,3,-20,-3,-2,-14,10,7,-1,-2,-10,-9,11,8,11.0,-3,-1,-13,-1,-1,-6,-3,-3,2,-12,-3,10,-20,-9
2015-01-08,-2,2,-3,2,0,2,-17,12.0,-1,-3,8.0,-1,9,12,-23,-3,3,-3,11,-1,3,-19,-1,-2,-15,6,5,2,-1,-9,-12,8,7,9.0,2,0,-10,1,0,-6,-2,-1,6,-13,0,9,-18,-10
2015-01-09,-2,4,-2,2,1,1,-16,13.0,-1,-5,11.0,-2,10,10,-22,-3,8,-2,12,-2,4,-17,-3,0,-13,10,6,-1,0,-11,-10,10,7,11.0,2,2,-7,3,2,-6,-2,1,6,-13,1,9,-16,-8
2015-01-10,-5,4,-2,4,1,0,-21,14.0,1,-3,13.0,0,11,10,-24,-3,6,-1,13,-2,7,-16,0,1,-14,11,9,0,0,-10,-10,12,8,12.0,0,4,-10,3,4,-4,-2,0,5,-11,1,11,-19,-7
2015-01-11,-7,5,-2,3,2,0,-17,12.0,-2,-6,9.0,-3,11,9,-25,-4,8,-3,12,-2,6,-20,-2,1,-13,9,10,-1,1,-9,-10,11,8,11.0,3,3,-12,3,3,-6,-4,1,7,-10,1,12,-18,-7
2015-01-12,-3,6,-3,2,4,0,-16,10.0,-1,-5,9.0,1,10,6,-19,-2,7,-2,10,-1,7,-13,0,2,-5,9,9,-1,3,-6,-7,10,5,10.0,5,6,-7,5,6,-5,-2,3,7,-5,3,11,-15,-7
2015-01-13,-1,7,-4,5,5,0,-17,10.0,-1,-5,8.0,2,10,4,-20,-2,3,-1,10,0,8,-10,1,5,-11,7,9,-1,4,-6,-7,8,6,8.0,0,6,-4,6,7,-3,0,4,3,-7,5,8,-13,-7
2015-01-14,-4,6,-4,5,3,2,-18,10.0,0,-5,8.0,2,8,4,-22,0,3,-2,10,-2,5,-12,1,4,-10,6,6,1,3,-8,-10,7,9,7.0,-1,5,-9,5,6,-2,-1,4,3,-9,4,9,-18,-6
2015-01-15,-6,4,-2,4,4,1,-17,10.0,0,-3,7.0,-1,9,5,-22,-2,4,-2,10,-2,8,-13,2,3,-15,5,8,2,1,-9,-9,7,9,9.0,2,4,-10,4,4,-2,-2,4,4,-12,4,8,-16,-4
