date,烟台,中山,武汉,佛山,南宁,东营,南京,惠州,常州,郑州,乌鲁木齐,重庆,石家庄,温州,南昌,广州,大连,大庆,南通,苏州,长沙,成都,厦门,太原,宁波,合肥,福州,唐山,西安,天津,北京,昆明,呼和浩特,无锡,沈阳,珠海,济南,东莞,淄博,上海,哈尔滨,徐州,长春,青岛,深圳,包头,杭州,鞍山
2016-02-01,0.0,12.0,4.0,9.0,11.0,2.0,2.0,12.0,3.0,4.0,-10.0,8.0,3.0,8.0,4.0,11.0,-2.0,-11.0,3.0,8.0,2.0,7.0,11.0,1.0,4.0,3.0,10.0,2.0,1.0,3.0,4.0,10.0,-8.0,3.0,-5.0,13.0,3.0,10.0,3.0,4.0,-13.0,3.0,-8.0,1.0,12.0,-4.0,3.0,-4.0
2016-02-02,2.0,10.0,6.0,9.0,9.0,5.0,5.0,11.0,6.0,8.0,-9.0,8.0,5.0,6.0,6.0,10.0,2.0,-7.0,4.0,8.0,5.0,8.0,10.0,3.0,4.0,6.0,7.0,4.0,4.0,6.0,5.0,10.0,-5.0,5.0,-2.0,11.0,6.0,10.0,6.0,4.0,-10.0,6.0,-5.0,3.0,11.0,-2.0,3.0,-1.0
2016-02-03,5.0,14.0,8.0,13.0,11.0,7.0,7.0,14.0,7.0,9.0,-8.0,11.0,6.0,8.0,9.0,12.0,3.0,-8.0,6.0,9.0,9.0,8.0,13.0,5.0,7.0,8.0,11.0,5.0,6.0,7.0,6.0,16.0,-2.0,7.0,1.0,14.0,8.0,14.0,9.0,7.0,-9.0,8.0,-4.0,5.0,15.0,-1.0,6.0,1.0
2016-02-04,1.0,16.0,10.0,14.0,12.0,4.0,7.0,17.0,4.0,9.0,-9.0,10.0,4.0,10.0,7.0,14.0,0.0,-8.0,5.0,9.0,6.0,12.0,16.0,4.0,6.0,8.0,15.0,3.0,9.0,4.0,4.0,12.0,-5.0,6.0,1.0,17.0,5.0,16.0,6.0,7.0,-11.0,8.0,-6.0,5.0,17.0,-3.0,5.0,-2.0
2016-02-05,1.0,16.0,12.0,16.0,16.0,3.0,9.0,16.0,9.0,9.0,-5.0,11.0,7.0,11.0,11.0,16.0,0.0,-8.0,9.0,9.0,12.0,12.0,16.0,1.0,9.0,10.0,12.0,3.0,9.0,4.0,4.0,10.0,-6.0,9.0,-3.0,17.0,4.0,18.0,4.0,8.0,-9.0,9.0,-7.0,4.0,18.0,-5.0,9.0,-1.0
2016-02-06,2.0,16.0,9.0,16.0,18.0,4.0,7.0,17.0,6.0,10.0,-4.0,13.0,8.0,12.0,11.0,16.0,1.0,-6.0,6.0,6.0,9.0,12.0,15.0,2.0,7.0,7.0,12.0,5.0,7.0,6.0,6.0,7.0,-3.0,6.0,-2.0,16.0,5.0,18.0,5.0,6.0,-6.0,6.0,-5.0,3.0,18.0,-3.0,7.0,-1.0
2016-02-07,5.0,17.0,14.0,16.0,19.0,8.0,11.0,17.0,9.0,11.0,-3.0,16.0,9.0,13.0,13.0,17.0,2.0,-7.0,9.0,0.0,14.0,14.0,15.0,5.0,11.0,12.0,14.0,6.0,13.0,8.0,8.0,11.0,-2.0,10.0,3.0,16.0,8.0,17.0,8.0,8.0,-7.0,10.0,-3.0,5.0,16.0,0.0,10.0,3.0
2016-02-08,8.0,18.0,17.0,17.0,21.0,12.0,15.0,19.0,14.0,17.0,-1.0,16.0,13.0,16.0,17.0,18.0,4.0,-7.0,12.0,13.0,18.0,14.0,18.0,10.0,15.0,16.0,16.0,9.0,13.0,10.0,12.0,15.0,2.0,13.0,1.0,17.0,13.0,19.0,14.0,13.0,-7.0,14.0,-4.0,8.0,16.0,4.0,12.0,2.0
2016-02-09,6.0,21.0,21.0,21.0,11.0,11.0,17.0,21.0,17.0,15.0,2.0,16.0,12.0,18.0,19.0,22.0,5.0,-7.0,16.0,15.0,21.0,15.0,19.0,15.0,19.0,19.0,20.0,9.0,14.0,10.0,10.0,18.0,6.0,17.0,2.0,20.0,15.0,21.0,15.0,17.0,-8.0,16.0,-3.0,11.0,21.0,8.0,19.0,3.0
2016-02-10,11.0,22.0,19.0,22.0,22.0,15.0,21.0,19.0,20.0,13.0,-7.0,15.0,11.0,19.0,22.0,22.0,8.0,-1.0,18.0,13.0,23.0,16.0,21.0,12.0,22.0,20.0,20.0,9.0,11.0,10.0,9.0,18.0,7.0,20.0,9.0,20.0,16.0,22.0,18.0,18.0,-2.0,15.0,5.0,9.0,21.0,8.0,22.0,8.0
2016-02-11,10.0,23.0,19.0,22.0,24.0,12.0,20.0,24.0,19.0,10.0,-9.0,16.0,9.0,20.0,23.0,23.0,9.0,2.0,20.0,23.0,22.0,17.0,18.0,8.0,20.0,19.0,19.0,8.0,14.0,7.0,6.0,20.0,6.0,20.0,8.0,21.0,14.0,23.0,14.0,18.0,5.0,14.0,9.0,9.0,23.0,8.0,21.0,8.0
2016-02-12,9.0,25.0,19.0,25.0,27.0,10.0,16.0,24.0,21.0,8.0,-11.0,16.0,7.0,20.0,25.0,24.0,6.0,0.0,21.0,18.0,23.0,18.0,21.0,6.0,25.0,19.0,24.0,8.0,8.0,8.0,10.0,20.0,3.0,22.0,7.0,24.0,10.0,25.0,13.0,22.0,3.0,14.0,5.0,10.0,25.0,0.0,24.0,7.0
2016-02-13,3.0,28.0,12.0,28.0,29.0,0.0,11.0,26.0,15.0,6.0,-12.0,14.0,6.0,24.0,15.0,27.0,-1.0,-7.0,16.0,17.0,11.0,11.0,24.0,2.0,23.0,9.0,27.0,2.0,6.0,4.0,4.0,20.0,-8.0,16.0,-2.0,24.0,0.0,26.0,1.0,18.0,-7.0,7.0,-5.0,5.0,26.0,-6.0,20.0,-2.0
2016-02-14,-3.0,22.0,5.0,18.0,16.0,-3.0,5.0,21.0,6.0,6.0,-11.0,7.0,6.0,10.0,5.0,20.0,-5.0,-11.0,5.0,8.0,4.0,8.0,18.0,-2.0,6.0,4.0,14.0,1.0,3.0,1.0,1.0,21.0,-9.0,5.0,-7.0,22.0,0.0,22.0,-3.0,6.0,-10.0,3.0,-10.0,-1.0,22.0,-7.0,6.0,-7.0
2016-02-15,-1.0,14.0,8.0,12.0,12.0,2.0,7.0,12.0,8.0,8.0,-10.0,7.0,8.0,10.0,9.0,12.0,-1.0,-8.0,6.0,17.0,9.0,9.0,12.0,2.0,7.0,6.0,11.0,2.0,5.0,5.0,5.0,18.0,-4.0,6.0,-2.0,14.0,3.0,14.0,3.0,6.0,-10.0,6.0,-6.0,1.0,13.0,-3.0,7.0,-2.0
2016-02-16,4.0,14.0,12.0,14.0,12.0,7.0,10.0,15.0,10.0,11.0,-8.0,9.0,12.0,14.0,11.0,14.0,3.0,-4.0,9.0,17.0,12.0,11.0,14.0,6.0,11.0,10.0,13.0,6.0,8.0,7.0,8.0,20.0,0.0,10.0,1.0,14.0,8.0,15.0,8.0,10.0,-7.0,9.0,-2.0,6.0,15.0,0.0,12.0,2.0
2016-02-17,8.0,16.0,14.0,15.0,14.0,11.0,12.0,16.0,12.0,13.0,-5.0,11.0,13.0,15.0,13.0,15.0,5.0,-3.0,11.0,11.0,14.0,12.0,16.0,8.0,13.0,12.0,14.0,8.0,10.0,9.0,9.0,20.0,0.0,12.0,5.0,16.0,12.0,16.0,12.0,12.0,-2.0,13.0,1.0,7.0,16.0,2.0,14.0,4.0
2016-02-18,7.0,18.0,16.0,18.0,18.0,8.0,16.0,20.0,16.0,14.0,-4.0,14.0,11.0,17.0,16.0,18.0,5.0,-2.0,15.0,15.0,16.0,14.0,17.0,8.0,17.0,16.0,17.0,7.0,11.0,9.0,9.0,20.0,-1.0,16.0,3.0,17.0,11.0,17.0,10.0,15.0,-1.0,13.0,1.0,9.0,18.0,1.0,18.0,5.0
2016-02-19,5.0,18.0,16.0,16.0,17.0,8.0,13.0,18.0,13.0,12.0,-8.0,14.0,10.0,15.0,16.0,17.0,4.0,-4.0,12.0,11.0,15.0,14.0,18.0,5.0,11.0,15.0,19.0,5.0,12.0,5.0,8.0,12.0,-2.0,12.0,1.0,16.0,11.0,16.0,11.0,12.0,-4.0,14.0,-2.0,7.0,17.0,-1.0,13.0,2.0
