date,weather_1,weather_2,high,low,wind
2016-02-01,阴,阴,4,-1,北风 ≤3级 /北风 ≤3级
2016-02-02,晴,多云,4,0,西北风 ≤3级 /北风 ≤3级
2016-02-03,晴,多云,7,2,北风 ≤3级 /北风 ≤3级
2016-02-04,小雨,阴,7,3,东北风 ≤3级 /东北风 ≤3级
2016-02-05,晴,多云,8,1,北风 ≤3级 /西北风 ≤3级
2016-02-06,多云,晴,6,-1,西北风 ≤3级 /西北风 ≤3级
2016-02-07,多云,多云,8,3,西风 ≤3级 /西风 ≤3级
2016-02-08,晴,晴,13,6,西风 ≤3级 /西南风 ≤3级
2016-02-09,晴,晴,17,9,东南风 ≤3级 /东南风 ≤3级
2016-02-10,多云,阴,18,13,东南风 3-4级 /东南风 3-4级
2016-02-11,阵雨,阴,18,14,东南风 3-4级 /东南风 ≤3级
2016-02-12,多云,小雨,22,11,东南风 ≤3级 /南风 ≤3级
2016-02-13,阵雨,阴,18,3,西风 4-5级 /西北风 3-4级
2016-02-14,阴,多云,6,-1,西北风 3-4级 /西北风 3-4级
2016-02-15,晴,晴,6,0,西北风 ≤3级 /西北风 ≤3级
2016-02-16,晴,多云,10,2,西风 ≤3级 /西风 ≤3级
2016-02-17,晴,多云,12,6,东南风 ≤3级 /东南风 ≤3级
2016-02-18,晴,多云,15,6,南风 ≤3级 /东南风 ≤3级
2016-02-19,小雨,多云,12,5,东北风 ≤3级 /西北风 3-4级
2016-02-20,晴,晴,11,3,西北风 3-4级 /东北风 ≤3级
2016-02-21,多云,小雨,10,5,东风 ≤3级 /东南风 ≤3级
2016-02-22,中雨,小雨,8,5,东南风 ≤3级 /东北风 ≤3级
2016-02-23,阴,阴,10,4,北风 3-4级 /北风 ≤3级
2016-02-24,晴,晴,9,2,东北风 ≤3级 /东风 ≤3级
2016-02-25,晴,多云,11,5,东南风 ≤3级 /东南风 ≤3级
2016-02-26,多云,晴,15,8,南风 ≤3级 /南风 ≤3级
2016-02-27,晴,晴,18,10,南风 ≤3级 /西南风 ≤3级
2016-02-28,多云,阴,21,4,西北风 3-4级 /北风 3-4级
2016-02-29,晴,晴,10,2,北风 ≤3级 /北风 ≤3级
2016-03-01,晴,多云,12,6,东风 ≤3级 /东南风 ≤3级
2016-03-02,多云,多云,16,10,东南风 ≤3级 /东南风 ≤3级
2016-03-03,多云,多云,21,13,东南风 ≤3级 /东南风 ≤3级
2016-03-04,小雨,多云,21,15,东南风 ≤3级 /东南风 ≤3级
2016-03-05,阵雨,小雨,23,10,南风 ≤3级 /北风 ≤3级
2016-03-06,多云,多云,16,10,东北风 ≤3级 /东南风 ≤3级
2016-03-07,多云,小雨,21,7,东南风 ≤3级 /东风 ≤3级
2016-03-08,中雨,中雨,11,5,东北风 4-5级 /东北风 4-5级
2016-03-09,小雨,小雨,8,4,东北风 4-5级 /北风 3-4级
2016-03-10,小雨,多云,8,1,北风 3-4级 /北风 ≤3级
2016-03-11,晴,晴,9,4,西北风 ≤3级 /东南风 ≤3级
2016-03-12,多云,小雨,12,8,东南风 3-4级 /东南风 ≤3级
2016-03-13,小雨,多云,12,6,东北风 ≤3级 /北风 ≤3级
2016-03-14,晴,多云,12,5,北风 ≤3级 /东北风 ≤3级
2016-03-15,多云,多云,12,8,东风 ≤3级 /东南风 ≤3级
2016-03-16,多云,多云,17,11,东南风 ≤3级 /东南风 ≤3级
2016-03-17,小雨,小雨,18,13,东南风 ≤3级 /东南风 ≤3级
2016-03-18,小雨,小雨,20,11,西北风 ≤3级 /东北风 ≤3级
2016-03-19,小雨,多云,17,8,东北风 ≤3级 /东北风 ≤3级
2016-03-20,多云,多云,18,9,东北风 ≤3级 /东风 ≤3级
2016-03-21,多云,阴,15,10,东风 ≤3级 /东南风 ≤3级
2016-03-22,小雨,小雨,15,8,东风 ≤3级 /东北风 ≤3级
2016-03-23,阴,阴,12,7,东北风 3-4级 /北风 3-4级
2016-03-24,阴,多云,11,6,北风 3-4级 /北风 ≤3级
2016-03-25,多云,晴,13,5,北风 ≤3级 /北风 ≤3级
2016-03-26,多云,多云,15,8,西风 ≤3级 /西风 ≤3级
2016-03-27,多云,多云,17,9,西风 ≤3级 /西风 ≤3级
2016-03-28,晴,晴,19,11,西南风 ≤3级 /南风 ≤3级
2016-03-29,多云,阴,22,14,南风 ≤3级 /西南风 ≤3级
2016-03-30,小雨,小雨,19,12,西南风 ≤3级 /西南风 ≤3级
2016-03-31,阴,多云,16,11,东风 ≤3级 /东南风 ≤3级
2016-04-01,晴,多云,22,13,东南风 ≤3级 /东南风 ≤3级
2016-04-02,雷阵雨,大雨,20,12,东南风 ≤3级 /东南风 ≤3级
2016-04-03,阵雨,阴,16,12,北风 ≤3级 /北风 ≤3级
2016-04-04,多云,多云,18,11,北风 ≤3级 /东风 ≤3级
2016-04-05,阴,大雨,17,13,东南风 ≤3级 /东南风 ≤3级
2016-04-06,中雨,大雨,20,13,东南风 3-4级 /南风 ≤3级
2016-04-07,小雨,多云,18,13,西北风 ≤3级 /东风 ≤3级
2016-04-08,多云,多云,20,14,东风 ≤3级 /东风 ≤3级
2016-04-09,多云,多云,23,14,东南风 ≤3级 /东南风 ≤3级
2016-04-10,多云,多云,22,14,东风 ≤3级 /东风 ≤3级
2016-04-11,多云,小雨,21,15,东北风 ≤3级 /东风 ≤3级
2016-04-12,小雨,阴,19,15,东南风 ≤3级 /东南风 ≤3级
2016-04-13,阴,多云,24,15,东北风 ≤3级 /东风 ≤3级
2016-04-14,多云,多云,25,15,东南风 ≤3级 /东南风 ≤3级
2016-04-15,阴,小雨,22,16,东南风 3-4级 /东南风 3-4级
2016-04-16,中雨,阴,22,15,南风 3-4级 /西北风 3-4级
2016-04-17,多云,小雨,22,13,西北风 ≤3级 /东风 ≤3级
2016-04-18,多云,多云,20,13,南风 ≤3级 /东南风 ≤3级
2016-04-19,多云,阴,22,15,东南风 3-4级 /东南风 3-4级
2016-04-20,大雨,大雨,21,16,东南风 3-4级 /南风 ≤3级
2016-04-21,小雨,多云,24,16,西北风 ≤3级 /南风 ≤3级
2016-04-22,多云,中雨,26,15,东南风 ≤3级 /东南风 3-4级
2016-04-23,中雨,小雨,17,13,东风 3-4级 /东风 3-4级
2016-04-24,小雨,小雨,19,15,东北风 ≤3级 /东风 ≤3级
2016-04-25,小雨,小雨,19,14,东风 ≤3级 /东风 ≤3级
2016-04-26,小雨,小雨,18,14,东风 ≤3级 /北风 ≤3级
2016-04-27,小雨,阴,17,14,西北风 ≤3级 /西北风 ≤3级
2016-04-28,多云,多云,22,14,西北风 ≤3级 /西北风 ≤3级
2016-04-29,晴,晴,25,17,东南风 ≤3级 /南风 ≤3级
2016-04-30,晴,晴,27,17,东南风 3-4级 /东南风 ≤3级
2016-05-01,多云,阵雨,28,19,东南风 3-4级 /南风 3-4级
2016-05-02,中雨,小雨,26,19,南风 3-4级 /西南风 3-4级
2016-05-03,晴,晴,26,18,西北风 3-4级 /西风 ≤3级
2016-05-04,晴,阴,29,20,南风 ≤3级 /东南风 ≤3级
2016-05-05,中雨,小雨,25,20,东南风 ≤3级 /东南风 ≤3级
2016-05-06,多云,多云,28,18,西北风 ≤3级 /东北风 ≤3级
2016-05-07,阵雨,中雨,21,15,东风 3-4级 /东风 ≤3级
2016-05-08,大雨,阵雨,18,16,东风 ≤3级 /东风 ≤3级
2016-05-09,小雨,中雨,20,16,北风 ≤3级 /东北风 ≤3级
2016-05-10,小雨,多云,18,14,西北风 ≤3级 /西风 ≤3级
2016-05-11,晴,晴,25,16,西风 ≤3级 /东南风 ≤3级
2016-05-12,晴,晴,28,18,东南风 ≤3级 /东南风 ≤3级
2016-05-13,多云,阴,25,17,东北风 ≤3级 /东风 ≤3级
2016-05-14,阴,多云,25,17,东南风 ≤3级 /东南风 ≤3级
2016-05-15,中雨,阵雨,26,14,西南风 ≤3级 /西北风 3-4级
2016-05-16,多云,晴,23,15,北风 ≤3级 /南风 ≤3级
2016-05-17,晴,多云,26,16,东南风 ≤3级 /东南风 ≤3级
2016-05-18,多云,多云,26,17,东风 ≤3级 /东南风 ≤3级
2016-05-19,多云,多云,25,19,东风 ≤3级 /东风 ≤3级
2016-05-20,小雨,中雨,23,19,东风 ≤3级 /东风 ≤3级
2016-05-21,中雨,小雨,21,19,东北风 ≤3级 /东风 ≤3级
2016-05-22,小雨,阴,24,19,西北风 ≤3级 /西北风 ≤3级
2016-05-23,阴,小雨,26,20,西北风 ≤3级 /西北风 ≤3级
2016-05-24,阵雨,多云,24,19,西北风 ≤3级 /东南风 ≤3级
2016-05-25,多云,阵雨,28,22,东南风 ≤3级 /东南风 ≤3级
2016-05-26,中雨,中雨,25,20,北风 ≤3级 /东北风 ≤3级
2016-05-27,中雨,中雨,22,19,东北风 ≤3级 /东北风 ≤3级
2016-05-28,大雨,小雨,23,20,东北风 ≤3级 /西北风 ≤3级
2016-05-29,阵雨,阴,24,19,西北风 ≤3级 /西北风 ≤3级
2016-05-30,阴,阴,26,20,东风 ≤3级 /东南风 ≤3级
2016-05-31,阵雨,大雨,26,20,东南风 ≤3级 /东风 ≤3级
2016-06-01,中雨,多云,21,18,东北风 3-4级 /东北风 ≤3级
2016-06-02,多云,小雨,26,19,东风 ≤3级 /东风 ≤3级
2016-06-03,中雨,小雨,22,19,东风 3-4级 /东风 ≤3级
2016-06-04,阴,多云,24,19,西北风 ≤3级 /西北风 ≤3级
2016-06-05,多云,多云,26,20,东北风 ≤3级 /东南风 ≤3级
2016-06-06,多云,雷阵雨,27,20,东南风 ≤3级 /东南风 ≤3级
2016-06-07,小雨,雷阵雨,26,21,东南风 ≤3级 /东南风 ≤3级
2016-06-08,中雨,小雨,26,21,东南风 ≤3级 /东风 ≤3级
2016-06-09,阴,阴,26,21,东北风 ≤3级 /东南风 ≤3级
2016-06-10,多云,阴,27,22,东南风 ≤3级 /东南风 ≤3级
2016-06-11,阵雨,阵雨,27,23,东南风 ≤3级 /东南风 ≤3级
2016-06-12,大雨,小雨,24,21,东北风 ≤3级 /东北风 ≤3级
2016-06-13,多云,多云,28,21,东北风 ≤3级 /东南风 ≤3级
2016-06-14,晴,多云,30,24,东南风 ≤3级 /东南风 ≤3级
2016-06-15,雷阵雨,阵雨,32,22,西南风 ≤3级 /西北风 ≤3级
2016-06-16,阴,阴,25,21,西北风 ≤3级 /南风 ≤3级
2016-06-17,晴,多云,31,23,南风 ≤3级 /南风 ≤3级
2016-06-18,多云,阵雨,30,25,南风 ≤3级 /南风 ≤3级
2016-06-19,阵雨,雷阵雨,31,26,西南风 ≤3级 /西南风 ≤3级
2016-06-20,雷阵雨,雷阵雨,29,24,西南风 ≤3级 /南风 ≤3级
2016-06-21,雷阵雨,雷阵雨,32,25,南风 ≤3级 /南风 ≤3级
2016-06-22,阵雨,阴,31,25,西南风 ≤3级 /南风 ≤3级
2016-06-23,雷阵雨,多云,34,26,南风 ≤3级 /西南风 ≤3级
2016-06-24,雷阵雨,大雨,33,20,西风 ≤3级 /西北风 ≤3级
2016-06-25,小雨,多云,23,19,南风 ≤3级 /南风 ≤3级
2016-06-26,多云,中雨,26,21,东南风 ≤3级 /东南风 ≤3级
2016-06-27,中雨,大雨,24,22,东南风 ≤3级 /东风 ≤3级
2016-06-28,大雨,大雨,24,22,东风 ≤3级 /东南风 ≤3级
2016-06-29,雷阵雨,阵雨,27,23,南风 ≤3级 /南风 ≤3级
2016-06-30,雷阵雨,多云,34,27,南风 ≤3级 /南风 ≤3级
2016-07-01,阴,多云,34,26,南风 3-4级 /南风 3-4级
2016-07-02,雷阵雨,雷阵雨,30,26,西北风 ≤3级 /北风 ≤3级
2016-07-03,中雨,阵雨,31,26,南风 ≤3级 /南风 ≤3级
2016-07-04,阵雨,多云,32,27,南风 ≤3级 /南风 ≤3级
2016-07-05,雷阵雨,雷阵雨,35,26,南风 ≤3级 /南风 ≤3级
2016-07-06,多云,多云,33,27,东南风 ≤3级 /东南风 ≤3级
2016-07-07,阵雨,阵雨,32,26,东南风 ≤3级 /东风 ≤3级
2016-07-08,多云,多云,31,26,东风 ≤3级 /东风 ≤3级
2016-07-09,阵雨,阵雨,31,26,东风 ≤3级 /东风 ≤3级
2016-07-10,阵雨,中雨,29,26,东风 ≤3级 /东风 ≤3级
2016-07-11,中雨,雷阵雨,29,26,东南风 ≤3级 /南风 ≤3级
2016-07-12,雷阵雨,阵雨,32,27,西南风 ≤3级 /西南风 ≤3级
2016-07-13,雷阵雨,雷阵雨,34,27,西南风 ≤3级 /西南风 ≤3级
2016-07-14,中雨,阵雨,32,26,西南风 ≤3级 /西南风 ≤3级
2016-07-15,中雨,小雨,34,24,南风 ≤3级 /西北风 3-4级
