date,weather_1,weather_2,high,low,wind
2016-02-01,小到中雨,小雨,10,6,北风 3-4级 /北风 3-4级
2016-02-02,小雨,多云,10,6,北风 3-4级 /北风 3-4级
2016-02-03,多云,多云,14,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-04,多云,多云,16,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-05,晴,晴,18,8,北风 ≤3级 /北风 3-4级
2016-02-06,晴,晴,18,6,北风 3-4级 /北风 3-4级
2016-02-07,晴,晴,17,5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-08,晴,晴,19,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-09,晴,多云,21,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-10,小雨,小雨,22,17,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-11,小雨,小雨,23,18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-12,小雨,多云,25,19,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-13,多云,小雨,26,17,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-14,小雨,小雨,22,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-15,阴,阴,14,9,北风 3-4级 /北风 3-4级
2016-02-16,多云,多云,15,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-17,多云,阴,16,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-18,阴,阴,17,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-19,小雨,阴,16,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-20,多云,多云,18,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-21,小雨,小雨,17,15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-22,小雨,小雨,18,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-23,小雨,小雨,14,10,无持续风向 ≤3级 /北风 3-4级
2016-02-24,小雨,阴,14,11,北风 3-4级 /无持续风向 ≤3级
2016-02-25,阴,阴,14,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-26,阴,小雨,16,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-27,多云,晴,18,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-28,多云,晴,19,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-29,晴,晴,24,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-01,晴,晴,23,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-02,晴,晴,24,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-03,晴,多云,24,15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-04,多云,多云,26,17,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-05,小雨,多云,25,18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-06,多云,多云,26,19,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-07,多云,多云,26,18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-08,多云,阴,25,18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-09,小雨,中雨,24,10,无持续风向 ≤3级 /北风 3-4级
2016-03-10,中雨,小雨,12,8,北风 3-4级 /无持续风向 ≤3级
2016-03-11,小雨,小雨,12,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-12,小雨,小雨,14,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-13,中雨,小雨,17,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-14,阴,阴,17,14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-15,阴,小雨,18,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-16,小雨,小雨,16,14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-17,小雨,小雨,18,18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-18,小雨,阵雨,22,20,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-19,阵雨,阵雨,25,21,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-20,雷阵雨,中雨,26,20,无持续风向 ≤3级 /东南风 3-4级
2016-03-21,大雨,中到大雨,22,18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-22,大雨,中到大雨,20,16,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-23,大到暴雨,小雨,19,14,无持续风向 ≤3级 /北风 3-4级
2016-03-24,中雨,小雨,16,12,北风 3-4级 /北风 3-4级
2016-03-25,阴,多云,16,10,北风 3-4级 /无持续风向 ≤3级
2016-03-26,晴,晴,20,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-27,晴,晴,22,14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-28,多云,多云,22,14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-29,多云,多云,24,16,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-30,多云,阴,24,19,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-31,阴,阴,25,20,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-01,雾,多云,27,21,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-02,阴,多云,27,21,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-03,阴,小雨,26,20,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-04,小到中雨,雷阵雨,26,21,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-05,多云,多云,28,22,南风 3-4级 /无持续风向 ≤3级
2016-04-06,阴,阴,28,22,南风 3-4级 /无持续风向 ≤3级
2016-04-07,小雨,多云,29,22,南风 3-4级 /无持续风向 ≤3级
2016-04-08,小雨,小雨,28,22,南风 3-4级 /无持续风向 ≤3级
2016-04-09,小雨,阵雨,28,22,南风 3-4级 /无持续风向 ≤3级
2016-04-10,中到大雨,小雨,26,21,南风 4-5级 /无持续风向 ≤3级
2016-04-11,小到中雨,阵雨,26,21,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-12,大雨,大到暴雨,25,20,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-13,中雨,阵雨,24,22,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-14,小雨,小雨,28,23,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-15,阴,阴,27,22,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-16,小雨,小雨,28,23,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-17,大雨,大到暴雨,29,20,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-18,小到中雨,小雨,26,20,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-19,小雨,阴,25,21,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-20,小雨,阵雨,23,21,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-21,大雨,阵雨,26,22,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-22,小雨,中到大雨,26,21,南风 3-4级 /无持续风向 ≤3级
2016-04-23,大雨,中到大雨,26,21,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-24,大雨,中雨,27,22,南风 3-4级 /无持续风向 ≤3级
2016-04-25,小到中雨,小到中雨,27,23,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-26,小雨,中到大雨,28,22,南风 3-4级 /无持续风向 ≤3级
2016-04-27,阵雨,多云,28,22,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-28,多云,多云,28,22,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-29,小雨,多云,28,23,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-30,小到中雨,中雨,27,22,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-01,小雨,多云,28,22,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-02,阵雨,阵雨,30,23,南风 3-4级 /无持续风向 ≤3级
2016-05-03,小到中雨,阴,28,24,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-04,多云,阴,28,24,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-05,小雨,多云,32,25,南风 3-4级 /无持续风向 ≤3级
2016-05-06,小雨,雷阵雨,30,26,南风 3-4级 /无持续风向 ≤3级
2016-05-07,小雨,多云,32,25,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-08,小雨,小雨,32,25,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-09,小到中雨,雷阵雨,32,23,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-10,中到大雨,多云,28,22,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-11,多云,多云,31,23,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-12,多云,多云,31,23,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-13,小雨,多云,30,24,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-14,小雨,多云,31,23,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-15,中雨,阴,30,20,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-16,多云,多云,28,21,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-17,多云,多云,28,22,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-18,小雨,多云,28,23,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-19,小雨,多云,29,23,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-20,小雨,大到暴雨,29,22,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-21,中雨,阴,28,23,无持续风向 ≤3级 /无持续风向 ≤3级
