date,weather_1,weather_2,high,low,wind
2016-02-01,晴,晴,2,-7,西北风 3-4级 /西南风 3-4级
2016-02-02,晴,晴,5,-6,西北风 3-4级 /西南风 3-4级
2016-02-03,晴,多云,7,-3,西南风 3-4级 /北风 3-4级
2016-02-04,多云,多云,4,-5,北风 3-4级 /西北风 3-4级
2016-02-05,多云,晴,3,-5,西北风 3-4级 /西北风 ≤3级
2016-02-06,晴,晴,4,-5,西北风 3-4级 /西南风 3-4级
2016-02-07,晴,晴,8,-2,西南风 3-4级 /西南风 3-4级
2016-02-08,晴,晴,12,-1,西南风 3-4级 /北风 3-4级
2016-02-09,晴,晴,11,0,东南风 3-4级 /东南风 3-4级
2016-02-10,晴,多云,15,5,东南风 3-4级 /东南风 3-4级
2016-02-11,多云,多云,12,4,东南风 3-4级 /东北风 3-4级
2016-02-12,多云,中到大雨,10,-4,东北风 3-4级 /东北风 4-5级
2016-02-13,中到大雪,多云,0,-8,北风 4-5级 /北风 4-5级
2016-02-14,晴,晴,-3,-9,西北风 4-5级 /西北风 3-4级
2016-02-15,晴,晴,2,-4,西北风 3-4级 /西风 3-4级
2016-02-16,晴,晴,7,-3,西北风 3-4级 /南风 3-4级
2016-02-17,晴,晴,11,0,西南风 3-4级 /西南风 3-4级
2016-02-18,晴,晴,8,0,西北风 3-4级 /西北风 3-4级
2016-02-19,多云,多云,8,-3,东南风 3-4级 /北风 3-4级
2016-02-20,晴,晴,5,-3,西北风 3-4级 /南风 3-4级
2016-02-21,晴,多云,8,1,南风 3-4级 /南风 3-4级
2016-02-22,多云,多云,9,-2,西南风 3-4级 /北风 3-4级
2016-02-23,晴,晴,4,-4,北风 3-4级 /南风 3-4级
2016-02-24,晴,晴,7,-3,南风 3-4级 /西南风 3-4级
2016-02-25,晴,晴,6,-2,东北风 3-4级 /东风 3-4级
2016-02-26,晴,晴,9,0,西北风 3-4级 /南风 3-4级
2016-02-27,晴,雨夹雪,8,0,东北风 3-4级 /东风 3-4级
2016-02-28,多云,晴,6,-3,北风 3-4级 /北风 3-4级
2016-02-29,晴,晴,4,-2,北风 3-4级 /南风 3-4级
2016-03-01,晴,晴,13,2,南风 3-4级 /西南风 3-4级
2016-03-02,晴,晴,18,6,西南风 3-4级 /西南风 3-4级
2016-03-03,晴,晴,23,9,西南风 3-4级 /南风 3-4级
2016-03-04,多云,小雨,23,6,南风 3-4级 /南风 3-4级
2016-03-05,阴,晴,13,3,北风 3-4级 /东南风 3-4级
2016-03-06,多云,多云,16,6,南风 3-4级 /南风 3-4级
2016-03-07,多云,多云,13,-1,北风 3-4级 /东北风 4-5级
