date,weather_1,weather_2,high,low,wind
2016-02-01,多云,多云,-10,-15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-02,多云,小雪,-9,-14,无持续风向 ≤3级 /西北风 3-4级
2016-02-03,小雪,晴,-8,-14,西北风 3-4级 /无持续风向 ≤3级
2016-02-04,晴,晴,-9,-15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-05,晴,晴,-5,-12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-06,晴,雾,-4,-14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-07,雾,雾,-3,-14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-08,晴,雾,-1,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-09,晴,多云,2,-10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-10,中雪,小雪,-7,-14,西北风 3-4级 /西北风 3-4级
2016-02-11,多云,晴,-9,-16,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-12,晴,晴,-11,-18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-13,晴,晴,-12,-19,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-14,晴,晴,-11,-18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-15,晴,晴,-10,-16,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-16,晴,晴,-8,-16,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-17,多云,多云,-5,-12,西北风 3-4级 /西北风 3-4级
2016-02-18,晴,雾,-4,-14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-19,晴,晴,-8,-14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-20,晴,晴,-4,-12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-21,晴,晴,-4,-12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-22,晴,晴,-4,-11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-23,晴,晴,-2,-12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-24,晴,晴,-3,-11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-25,晴,晴,-3,-12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-26,晴,晴,-2,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-27,晴,晴,6,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-28,晴,晴,6,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-29,多云,晴,6,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-01,晴,雾,9,-4,东南风 5-6级 /无持续风向 ≤3级
2016-03-02,多云,中雪,10,-6,无持续风向 ≤3级 /西北风 5-6级
2016-03-03,大雪,晴,-3,-10,西北风 5-6级 /无持续风向 ≤3级
2016-03-04,晴,多云,0,-7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-05,晴,晴,3,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-06,晴,晴,2,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-07,晴,多云,2,-8,无持续风向 ≤3级 /西北风 3-4级
2016-03-08,多云,晴,0,-10,西北风 3-4级 /无持续风向 ≤3级
2016-03-09,晴,晴,1,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-10,晴,晴,0,-8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-11,多云,多云,0,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-12,晴,晴,2,-7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-13,晴,晴,2,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-14,晴,晴,4,-3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-15,多云,雨夹雪,5,-2,无持续风向 ≤3级 /西北风 3-4级
2016-03-16,晴,晴,10,-1,东南风 6-7级 /无持续风向 ≤3级
2016-03-17,晴,多云,8,-1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-18,多云,雨夹雪,8,0,无持续风向 ≤3级 /西北风 3-4级
2016-03-19,多云,雨夹雪,6,-1,西北风 3-4级 /西北风 3-4级
