date,weather_1,weather_2,high,low,wind
2016-02-01,中雨,阴,9,7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-02,小雨,阴,9,6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-03,阴,小雨,13,8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-04,小雨,多云,14,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-05,晴,晴,16,7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-06,晴,晴,16,6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-07,晴,晴,16,5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-08,晴,晴,17,8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-09,晴,多云,21,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-10,小雨,小雨,22,16,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-11,小雨,阴,22,18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-12,小雨,小雨,25,20,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-13,多云,阴,28,14,南风 3-4级 /无持续风向 ≤3级
2016-02-14,阴,阴,18,8,无持续风向 ≤3级 /无持续风向 4-5级
2016-02-15,阴,阴,12,9,北风 3-4级 /无持续风向 3-4级
2016-02-16,阴,多云,14,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-17,多云,阴,15,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-18,阴,阴,18,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-19,小雨,阴,16,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-20,阴,多云,18,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-21,多云,小雨,17,14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-22,小雨,小雨,15,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-23,小雨,小雨,14,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-24,小雨,阴,14,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-25,阴,阴,14,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-26,阴,阴,14,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-27,多云,晴,19,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-28,多云,多云,20,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-29,晴,晴,22,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-01,晴,晴,23,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-02,晴,晴,24,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-03,晴,多云,24,14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-04,多云,多云,24,17,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-05,小雨,多云,24,19,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-06,阴,多云,25,19,无持续风向 ≤3级 /无持续风向 ≤3级
