date,weather_1,weather_2,high,low,wind
2016-02-01,晴,多云,-4,-18,西风 ≤3级 /西北风 ≤3级
2016-02-02,晴,晴,-2,-17,西北风 ≤3级 /西北风 ≤3级
2016-02-03,多云,阴,-1,-15,西北风 ≤3级 /西北风 ≤3级
2016-02-04,多云,晴,-3,-17,西北风 ≤3级 /北风 ≤3级
2016-02-05,多云,晴,-5,-17,西北风 ≤3级 /西风 ≤3级
2016-02-06,晴,晴,-3,-15,西风 ≤3级 /无持续风向 ≤3级
2016-02-07,晴,晴,0,-11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-08,晴,晴,4,-8,无持续风向 ≤3级 /西南风 ≤3级
2016-02-09,晴,晴,8,-9,西南风 ≤3级 /西南风 ≤3级
2016-02-10,多云,多云,8,-3,西南风 ≤3级 /无持续风向 ≤3级
2016-02-11,晴,多云,8,-4,无持续风向 ≤3级 /西北风 ≤3级
2016-02-12,雨夹雪,小雪,0,-13,北风 4-5级 /西北风 4-5级
2016-02-13,晴,晴,-6,-19,北风 4-5级 /北风 3-4级
2016-02-14,晴,晴,-7,-16,北风 3-4级 /西北风 ≤3级
2016-02-15,晴,晴,-3,-14,北风 ≤3级 /北风 ≤3级
2016-02-16,晴,晴,0,-14,西南风 3-4级 /西南风 3-4级
2016-02-17,晴,晴,2,-14,无持续风向 ≤3级 /西北风 3-4级
2016-02-18,多云,小雪,1,-10,西北风 3-4级 /西北风 3-4级
2016-02-19,小雪,多云,-1,-15,西北风 3-4级 /西风 3-4级
2016-02-20,晴,晴,-4,-16,西北风 3-4级 /西风 3-4级
2016-02-21,晴,晴,1,-12,西北风 3-4级 /北风 3-4级
2016-02-22,晴,晴,-2,-16,北风 3-4级 /西风 ≤3级
2016-02-23,晴,晴,-3,-16,北风 3-4级 /西北风 3-4级
2016-02-24,多云,晴,-1,-15,西风 ≤3级 /西北风 ≤3级
2016-02-25,多云,晴,1,-13,西北风 ≤3级 /西风 3-4级
2016-02-26,多云,多云,4,-11,北风 3-4级 /西南风 3-4级
2016-02-27,雨夹雪,晴,4,-11,西南风 3-4级 /西风 3-4级
2016-02-28,晴,多云,-1,-14,北风 3-4级 /西北风 3-4级
2016-02-29,多云,晴,4,-10,西风 3-4级 /西风 3-4级
2016-03-01,多云,晴,6,-6,无持续风向 ≤3级 /西南风 3-4级
2016-03-02,晴,多云,12,-4,西南风 3-4级 /西南风 ≤3级
2016-03-03,晴,阴,14,-2,西南风 ≤3级 /西南风 3-4级
2016-03-04,多云,晴,6,-9,西风 4-5级 /北风 4-5级
