date,weather_1,weather_2,high,low,wind
2016-02-01,晴,晴,4,-8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-02,晴,晴,5,-7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-03,晴,晴,6,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-04,多云,晴,4,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-05,晴,晴,4,-4,北风 3-4级 /北风 3-4级
2016-02-06,晴,晴,6,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-07,晴,晴,8,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-08,晴,晴,12,-3,北风 3-4级 /无持续风向 ≤3级
2016-02-09,晴,晴,10,-3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-10,霾,阴,9,-1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-11,小雨,雾,6,-1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-12,小雨,雨夹雪,10,2,无持续风向 ≤3级 /北风 3-4级
2016-02-13,阴,多云,4,-6,北风 5-6级 /北风 4-5级
2016-02-14,晴,晴,1,-7,北风 4-5级 /无持续风向 ≤3级
2016-02-15,晴,晴,5,-4,北风 3-4级 /无持续风向 ≤3级
2016-02-16,晴,晴,8,-4,北风 3-4级 /无持续风向 ≤3级
2016-02-17,晴,晴,9,-2,无持续风向 ≤3级 /北风 3-4级
2016-02-18,晴,阴,9,-2,北风 4-5级 /无持续风向 ≤3级
2016-02-19,多云,晴,8,-5,北风 3-4级 /无持续风向 ≤3级
2016-02-20,晴,晴,4,-6,北风 3-4级 /无持续风向 ≤3级
2016-02-21,晴,多云,6,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-22,晴,晴,8,-3,北风 3-4级 /北风 3-4级
2016-02-23,晴,晴,4,-6,北风 3-4级 /无持续风向 ≤3级
2016-02-24,晴,多云,7,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-25,多云,晴,6,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-26,多云,多云,8,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-27,多云,阴,7,-3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-28,多云,晴,8,-4,北风 4-5级 /北风 4-5级
2016-02-29,多云,晴,5,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-01,晴,晴,10,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-02,晴,霾,17,2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-03,霾,霾,17,4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-04,霾,霾,12,4,无持续风向 ≤3级 /北风 3-4级
2016-03-05,晴,晴,12,-1,北风 4-5级 /无持续风向 ≤3级
2016-03-06,多云,晴,11,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-07,晴,晴,12,-1,北风 3-4级 /北风 3-4级
2016-03-08,多云,阴,6,-2,北风 3-4级 /北风 3-4级
2016-03-09,多云,晴,5,-4,无持续风向 ≤3级 /北风 3-4级
2016-03-10,晴,晴,7,-4,北风 3-4级 /无持续风向 ≤3级
2016-03-11,晴,晴,8,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-12,多云,晴,9,1,无持续风向 ≤3级 /北风 3-4级
