date,weather_1,weather_2,high,low,wind
2016-02-01,多云,多云,2,-4,西北风 3-4级 /西北风 3-4级
2016-02-02,多云,多云,5,-4,西北风 ≤3级 /东风 ≤3级
2016-02-03,晴,多云,7,-3,东风 ≤3级 /东风 ≤3级
2016-02-04,阴,阴,7,-1,东北风 ≤3级 /北风 ≤3级
2016-02-05,多云,阴,9,-2,西北风 3-4级 /西北风 3-4级
2016-02-06,多云,晴,7,-3,西北风 3-4级 /西风 3-4级
2016-02-07,多云,多云,11,-2,西南风 3-4级 /西风 3-4级
2016-02-08,晴,晴,15,3,西南风 3-4级 /西南风 3-4级
2016-02-09,多云,多云,17,6,东南风 3-4级 /南风 3-4级
2016-02-10,多云,阵雨,21,11,南风 3-4级 /南风 3-4级
2016-02-11,雷阵雨,多云,20,11,南风 ≤3级 /东南风 ≤3级
2016-02-12,雷阵雨,小到中雨,16,6,东南风 3-4级 /南风 4-5级
2016-02-13,阵雨,阴,11,1,西北风 5-6级 /西北风 5-6级
2016-02-14,阴,多云,5,-4,西北风 4-5级 /西北风 3-4级
2016-02-15,晴,晴,7,-1,西风 3-4级 /西风 3-4级
2016-02-16,多云,晴,10,1,西风 3-4级 /西风 ≤3级
2016-02-17,多云,多云,12,3,西南风 ≤3级 /南风 3-4级
2016-02-18,多云,多云,16,4,西南风 3-4级 /东风 3-4级
2016-02-19,阴,多云,13,3,西北风 3-4级 /北风 3-4级
2016-02-20,多云,多云,12,0,北风 3-4级 /东风 3-4级
2016-02-21,阴,小雨,11,5,东风 3-4级 /东风 3-4级
2016-02-22,小雨,阴,8,4,东风 3-4级 /东北风 ≤3级
2016-02-23,多云,阴,11,1,东北风 4-5级 /东北风 3-4级
2016-02-24,晴,多云,10,1,东北风 3-4级 /南风 ≤3级
2016-02-25,多云,多云,13,3,南风 ≤3级 /南风 ≤3级
2016-02-26,多云,多云,17,6,西南风 3-4级 /西南风 ≤3级
2016-02-27,晴,晴,19,8,西南风 3-4级 /西南风 3-4级
2016-02-28,多云,多云,16,2,西北风 4-5级 /北风 3-4级
2016-02-29,晴,晴,11,0,北风 3-4级 /东风 3-4级
2016-03-01,晴,多云,13,4,东南风 3-4级 /东南风 ≤3级
2016-03-02,多云,多云,18,7,东南风 ≤3级 /南风 ≤3级
2016-03-03,阴,小雨,19,11,南风 ≤3级 /东南风 ≤3级
2016-03-04,阵雨,阴,20,13,南风 3-4级 /东南风 3-4级
2016-03-05,阵雨,阴,19,10,西风 3-4级 /东北风 3-4级
2016-03-06,多云,多云,20,9,东北风 3-4级 /东南风 3-4级
2016-03-07,阴,小雨,21,3,东南风 3-4级 /东北风 4-5级
2016-03-08,中到大雨,小雨,8,2,东北风 4-5级 /东北风 5-6级
2016-03-09,阴,阴,7,1,东北风 4-5级 /东北风 4-5级
2016-03-10,多云,多云,7,0,东北风 4-5级 /西南风 3-4级
2016-03-11,多云,多云,11,2,西南风 ≤3级 /东南风 3-4级
2016-03-12,多云,小雨,14,7,东南风 3-4级 /东南风 3-4级
2016-03-13,小雨,多云,15,5,东北风 3-4级 /北风 ≤3级
2016-03-14,晴,多云,14,4,东风 3-4级 /东风 3-4级
2016-03-15,多云,阴,14,6,东南风 3-4级 /东南风 3-4级
2016-03-16,多云,阴,18,10,东风 ≤3级 /东风 ≤3级
2016-03-17,小雨,阵雨,17,12,东南风 ≤3级 /东风 ≤3级
2016-03-18,阴,阴,18,12,西风 ≤3级 /东北风 ≤3级
2016-03-19,多云,多云,19,8,东北风 3-4级 /东风 3-4级
2016-03-20,多云,多云,18,7,东风 3-4级 /东风 3-4级
2016-03-21,多云,多云,17,8,东风 3-4级 /东风 3-4级
2016-03-22,多云,阴,16,10,东风 3-4级 /东北风 3-4级
2016-03-23,多云,多云,14,4,东北风 4-5级 /东北风 4-5级
2016-03-24,多云,多云,12,4,东北风 4-5级 /东北风 3-4级
2016-03-25,多云,多云,15,3,北风 3-4级 /南风 ≤3级
2016-03-26,阵雨,多云,15,4,西北风 3-4级 /西风 3-4级
2016-03-27,多云,晴,18,6,西风 3-4级 /西风 3-4级
2016-03-28,多云,多云,21,10,西南风 3-4级 /西南风 3-4级
2016-03-29,多云,阴,21,13,西南风 3-4级 /西南风 ≤3级
2016-03-30,阵雨,阵雨,19,13,南风 ≤3级 /南风 ≤3级
2016-03-31,阴,多云,19,10,东南风 3-4级 /南风 ≤3级
2016-04-01,多云,多云,25,14,南风 3-4级 /东南风 3-4级
2016-04-02,小到中雨,中雨,21,13,东南风 3-4级 /东北风 3-4级
2016-04-03,小到中雨,阴,15,10,东北风 4-5级 /东北风 3-4级
2016-04-04,多云,多云,18,11,东风 3-4级 /东风 3-4级
2016-04-05,阵雨,中到大雨,18,13,东风 3-4级 /东风 3-4级
2016-04-06,中到大雨,中雨,16,12,东北风 4-5级 /北风 3-4级
2016-04-07,阴,多云,19,12,南风 ≤3级 /东南风 ≤3级
2016-04-08,多云,多云,24,13,东风 ≤3级 /东风 ≤3级
2016-04-09,阴,多云,24,14,东南风 ≤3级 /东南风 ≤3级
2016-04-10,多云,多云,25,12,东风 ≤3级 /东风 3-4级
2016-04-11,多云,阴,21,14,东南风 3-4级 /东风 3-4级
2016-04-12,多云,多云,24,16,东风 3-4级 /东南风 ≤3级
2016-04-13,多云,多云,27,17,东风 ≤3级 /东风 ≤3级
2016-04-14,多云,多云,28,16,东风 3-4级 /东风 3-4级
2016-04-15,多云,中雨,24,16,东南风 4-5级 /东南风 3-4级
2016-04-16,中到大雨,阴,20,12,东南风 4-5级 /西北风 3-4级
2016-04-17,多云,阴,20,11,西风 3-4级 /南风 ≤3级
2016-04-18,晴,晴,23,12,西南风 4-5级 /东南风 3-4级
2016-04-19,多云,雷阵雨,24,15,东南风 4-5级 /东南风 4-5级
2016-04-20,暴雨,阵雨,18,15,东南风 4-5级 /北风 3-4级
2016-04-21,多云,多云,25,15,西北风 3-4级 /西南风 3-4级
2016-04-22,多云,雷阵雨,27,15,南风 3-4级 /东风 3-4级
2016-04-23,阵雨,阴,17,14,东风 4-5级 /东风 3-4级
2016-04-24,阴,阴,18,13,东风 3-4级 /东风 3-4级
2016-04-25,阴,雷阵雨,21,14,东南风 3-4级 /东风 3-4级
2016-04-26,阵雨,阵雨,17,12,东风 3-4级 /东北风 3-4级
2016-04-27,小雨,多云,15,11,西北风 3-4级 /西北风 3-4级
2016-04-28,多云,晴,23,12,西北风 3-4级 /东南风 ≤3级
2016-04-29,晴,晴,25,15,南风 3-4级 /南风 3-4级
2016-04-30,晴,晴,28,17,南风 3-4级 /南风 3-4级
2016-05-01,多云,雷阵雨,29,20,南风 3-4级 /南风 3-4级
2016-05-02,中雨,雷阵雨,25,16,南风 3-4级 /西风 3-4级
2016-05-03,晴,晴,25,14,西风 4-5级 /西南风 3-4级
2016-05-04,多云,阴,29,19,南风 3-4级 /东南风 3-4级
2016-05-05,小到中雨,阴,25,20,东南风 3-4级 /南风 3-4级
2016-05-06,阴,阴,27,18,西风 3-4级 /东风 3-4级
2016-05-07,雷阵雨,阴,20,14,东风 3-4级 /东北风 3-4级
2016-05-08,阴,阴,19,15,东风 3-4级 /东风 ≤3级
2016-05-09,阵雨,阵雨,20,14,东北风 3-4级 /东北风 3-4级
2016-05-10,多云,晴,22,13,北风 3-4级 /西风 3-4级
2016-05-11,晴,晴,27,15,南风 3-4级 /东南风 3-4级
2016-05-12,晴,阴,30,17,南风 3-4级 /东北风 4-5级
2016-05-13,阴,多云,23,15,东北风 4-5级 /东风 3-4级
2016-05-14,阴,雷阵雨,25,15,东风 3-4级 /东南风 3-4级
2016-05-15,小到中雨,阴,16,12,西北风 4-5级 /西北风 3-4级
2016-05-16,晴,晴,25,13,西风 ≤3级 /东南风 ≤3级
2016-05-17,晴,晴,26,14,东南风 3-4级 /东南风 3-4级
2016-05-18,多云,多云,25,15,东南风 3-4级 /东风 3-4级
2016-05-19,多云,多云,26,18,东风 3-4级 /东风 3-4级
2016-05-20,阵雨,中雨,23,17,东风 4-5级 /东风 4-5级
2016-05-21,小到中雨,小雨,19,17,东北风 4-5级 /东北风 4-5级
2016-05-22,阴,阴,20,16,东北风 4-5级 /北风 3-4级
2016-05-23,阴,阴,23,16,西风 ≤3级 /西风 ≤3级
2016-05-24,多云,多云,26,17,西南风 3-4级 /南风 3-4级
2016-05-25,多云,雷阵雨,28,21,东南风 ≤3级 /南风 3-4级
2016-05-26,雷阵雨,小到中雨,26,19,西风 3-4级 /南风 3-4级
2016-05-27,小到中雨,阵雨,22,19,东风 3-4级 /东风 3-4级
2016-05-28,阵雨,阵雨,23,19,西北风 ≤3级 /西北风 3-4级
2016-05-29,阴,多云,24,17,北风 3-4级 /东风 3-4级
2016-05-30,多云,多云,27,21,东南风 3-4级 /东南风 ≤3级
2016-05-31,小到中雨,暴雨,28,20,东南风 3-4级 /东北风 4-5级
2016-06-01,阵雨,阵雨,22,17,东北风 4-5级 /东风 3-4级
2016-06-02,多云,阵雨,25,19,东风 ≤3级 /东风 3-4级
2016-06-03,阵雨,阵雨,20,17,东风 3-4级 /东南风 3-4级
2016-06-04,阴,多云,24,16,西北风 3-4级 /东风 ≤3级
2016-06-05,多云,多云,27,19,东南风 3-4级 /东南风 4-5级
2016-06-06,雷阵雨,中雨,28,19,东南风 3-4级 /东北风 4-5级
2016-06-07,阴,阵雨,27,21,北风 ≤3级 /东北风 ≤3级
2016-06-08,阵雨,阴,26,19,东北风 3-4级 /东风 3-4级
2016-06-09,多云,多云,27,20,东北风 3-4级 /东风 ≤3级
2016-06-10,多云,阴,30,22,东南风 3-4级 /东风 3-4级
2016-06-11,多云,雷阵雨,30,23,东风 ≤3级 /东风 3-4级
2016-06-12,雷阵雨,多云,27,20,东风 3-4级 /东风 ≤3级
2016-06-13,多云,多云,30,22,东南风 ≤3级 /东南风 3-4级
2016-06-14,多云,多云,33,25,西南风 3-4级 /南风 ≤3级
2016-06-15,雷阵雨,阴,31,21,西北风 3-4级 /西北风 3-4级
