date,weather_1,weather_2,high,low,wind
2016-02-01,多云,多云,3,-3,西北风 ≤3级 /西北风 ≤3级
2016-02-02,多云,多云,6,-3,西风 ≤3级 /东北风 ≤3级
2016-02-03,多云,多云,8,-1,东风 ≤3级 /东风 ≤3级
2016-02-04,多云,多云,8,-1,东风 ≤3级 /东北风 ≤3级
2016-02-05,多云,多云,10,-2,西北风 3-4级 /西北风 3-4级
2016-02-06,晴,晴,7,-2,西北风 3-4级 /西风 ≤3级
2016-02-07,多云,晴,12,-2,西风 4-5级 /南风 ≤3级
2016-02-08,晴,多云,16,3,西南风 3-4级 /东南风 ≤3级
2016-02-09,多云,多云,19,7,东南风 3-4级 /东南风 3-4级
2016-02-10,多云,小雨,20,10,南风 3-4级 /东南风 3-4级
2016-02-11,小雨,小雨,19,12,南风 3-4级 /东风 3-4级
2016-02-12,小雨,小雨,19,6,东南风 3-4级 /西风 4-5级
2016-02-13,阴,雨夹雪,9,2,西北风 4-5级 /北风 3-4级
2016-02-14,多云,多云,4,-4,北风 4-5级 /西风 ≤3级
2016-02-15,多云,多云,6,-1,西北风 3-4级 /西风 ≤3级
2016-02-16,多云,多云,10,-1,西风 4-5级 /西风 ≤3级
2016-02-17,多云,多云,12,2,东南风 ≤3级 /南风 ≤3级
2016-02-18,多云,多云,16,4,东南风 ≤3级 /东风 ≤3级
2016-02-19,多云,多云,15,2,北风 3-4级 /西北风 3-4级
2016-02-20,晴,多云,13,-1,西北风 3-4级 /东风 3-4级
2016-02-21,小雨,小雨,11,4,东南风 3-4级 /东北风 3-4级
2016-02-22,小雨,阴,10,3,东北风 ≤3级 /北风 ≤3级
2016-02-23,阴,多云,11,2,东北风 3-4级 /东北风 3-4级
2016-02-24,多云,多云,11,1,东南风 ≤3级 /东南风 ≤3级
2016-02-25,多云,多云,14,4,东南风 ≤3级 /西风 ≤3级
2016-02-26,多云,多云,18,5,西风 3-4级 /南风 ≤3级
2016-02-27,晴,晴,19,6,南风 ≤3级 /西南风 ≤3级
2016-02-28,多云,晴,17,1,西北风 4-5级 /北风 ≤3级
2016-02-29,多云,晴,12,1,东风 ≤3级 /东风 3-4级
2016-03-01,多云,小雨,15,5,东南风 3-4级 /东南风 ≤3级
2016-03-02,多云,多云,19,9,东南风 ≤3级 /南风 ≤3级
2016-03-03,多云,多云,21,12,南风 3-4级 /东南风 ≤3级
