date,weather_1,weather_2,high,low,wind
2016-02-01,晴,晴,2,-13,西北风 ≤3级 /西北风 ≤3级
2016-02-02,晴,晴,4,-12,西风 ≤3级 /西风 ≤3级
2016-02-03,晴,多云,5,-10,西风 ≤3级 /北风 ≤3级
2016-02-04,晴,晴,3,-10,西风 ≤3级 /西北风 ≤3级
2016-02-05,晴,晴,3,-9,西北风 ≤3级 /北风 ≤3级
2016-02-06,晴,晴,5,-10,西风 ≤3级 /西南风 ≤3级
2016-02-07,晴,晴,6,-7,西风 ≤3级 /西风 ≤3级
2016-02-08,晴,晴,9,-6,西北风 3-4级 /东北风 ≤3级
2016-02-09,晴,晴,9,-4,南风 ≤3级 /东南风 ≤3级
2016-02-10,多云,多云,9,0,东南风 ≤3级 /东南风 ≤3级
2016-02-11,阴,阴,8,0,东风 ≤3级 /东北风 ≤3级
2016-02-12,小雨,雨夹雪,8,-2,东北风 ≤3级 /东北风 3-4级
2016-02-13,雨夹雪,多云,2,-8,东北风 4-5级 /北风 3-4级
2016-02-14,晴,晴,1,-11,西北风 3-4级 /西北风 3-4级
2016-02-15,晴,晴,2,-8,西北风 3-4级 /西北风 ≤3级
2016-02-16,晴,晴,6,-6,西北风 3-4级 /西北风 ≤3级
2016-02-17,晴,晴,8,-5,西南风 3-4级 /西北风 ≤3级
2016-02-18,晴,多云,7,-5,西北风 3-4级 /北风 ≤3级
2016-02-19,多云,晴,5,-8,北风 3-4级 /北风 ≤3级
2016-02-20,晴,晴,5,-9,西风 ≤3级 /北风 ≤3级
2016-02-21,晴,多云,5,-4,东南风 ≤3级 /西南风 ≤3级
2016-02-22,晴,晴,7,-8,西北风 3-4级 /西北风 ≤3级
2016-02-23,晴,晴,3,-10,西北风 3-4级 /西北风 ≤3级
2016-02-24,晴,晴,5,-9,西风 3-4级 /北风 ≤3级
2016-02-25,多云,晴,5,-8,西北风 ≤3级 /西风 ≤3级
2016-02-26,多云,多云,7,-5,南风 3-4级 /北风 ≤3级
2016-02-27,多云,多云,6,-5,东北风 3-4级 /东风 ≤3级
2016-02-28,晴,晴,5,-10,北风 4-5级 /北风 ≤3级
2016-02-29,晴,晴,4,-6,西南风 3-4级 /西南风 ≤3级
2016-03-01,晴,晴,8,-3,西南风 ≤3级 /西南风 ≤3级
2016-03-02,晴,晴,16,1,西南风 ≤3级 /南风 ≤3级
2016-03-03,多云,多云,17,3,东风 ≤3级 /东风 ≤3级
2016-03-04,小雨,小雨,13,1,东风 3-4级 /西北风 3-4级
2016-03-05,多云,晴,12,-3,西北风 4-5级 /北风 ≤3级
2016-03-06,多云,多云,11,-3,东南风 3-4级 /东北风 ≤3级
2016-03-07,多云,多云,10,-5,北风 3-4级 /北风 3-4级
2016-03-08,多云,多云,5,-8,北风 3-4级 /北风 ≤3级
2016-03-09,多云,晴,5,-7,北风 3-4级 /西北风 ≤3级
2016-03-10,晴,晴,5,-6,西北风 3-4级 /西北风 ≤3级
2016-03-11,晴,晴,7,-5,西风 ≤3级 /南风 ≤3级
2016-03-12,阴,阴,11,-2,南风 ≤3级 /东北风 3-4级
2016-03-13,晴,晴,11,-4,西北风 ≤3级 /西南风 ≤3级
