date,weather_1,weather_2,high,low,wind
2016-02-01,晴,晴,3,-4,西北风 ≤3级 /西北风 ≤3级
2016-02-02,晴,晴,6,-3,西南风 ≤3级 /西南风 ≤3级
2016-02-03,晴,多云,7,-3,西南风 ≤3级 /北风 3-4级
2016-02-04,多云,多云,4,-4,西北风 3-4级 /西北风 3-4级
2016-02-05,晴,晴,4,-4,西北风 3-4级 /西北风 ≤3级
2016-02-06,晴,晴,6,-3,西南风 ≤3级 /西南风 ≤3级
2016-02-07,晴,晴,8,-2,西南风 ≤3级 /西南风 ≤3级
2016-02-08,晴,晴,10,1,北风 ≤3级 /东北风 ≤3级
2016-02-09,晴,晴,10,0,东南风 ≤3级 /东南风 ≤3级
2016-02-10,晴,阴,10,2,东风 ≤3级 /东北风 ≤3级
2016-02-11,小雨,多云,7,2,东北风 ≤3级 /东北风 ≤3级
2016-02-12,小雨,雨夹雪,8,1,东风 ≤3级 /东北风 4-5级
2016-02-13,雨夹雪,晴,4,-5,东北风 5-6级 /北风 5-6级
2016-02-14,晴,晴,1,-5,西北风 4-5级 /西北风 3-4级
2016-02-15,晴,晴,5,-4,西北风 3-4级 /西北风 ≤3级
2016-02-16,晴,晴,7,-1,西风 ≤3级 /西南风 ≤3级
2016-02-17,晴,多云,9,0,西南风 ≤3级 /西北风 3-4级
2016-02-18,晴,多云,9,-1,西北风 3-4级 /北风 ≤3级
2016-02-19,阴,多云,5,-2,东风 ≤3级 /北风 3-4级
2016-02-20,晴,晴,5,-3,西北风 3-4级 /南风 ≤3级
2016-02-21,多云,多云,8,0,南风 ≤3级 /南风 ≤3级
2016-02-22,晴,晴,7,-1,西北风 3-4级 /西北风 4-5级
2016-02-23,晴,晴,4,-4,西北风 3-4级 /西北风 ≤3级
2016-02-24,晴,晴,7,-2,西南风 ≤3级 /东北风 ≤3级
2016-02-25,多云,多云,7,-2,西南风 ≤3级 /西南风 ≤3级
2016-02-26,晴,多云,8,1,西南风 ≤3级 /北风 ≤3级
2016-02-27,多云,小雪,6,-1,东北风 3-4级 /东北风 ≤3级
2016-02-28,多云,晴,6,-3,北风 4-5级 /北风 3-4级
2016-02-29,晴,多云,6,0,南风 ≤3级 /西南风 ≤3级
2016-03-01,晴,晴,10,2,西南风 ≤3级 /西南风 ≤3级
2016-03-02,晴,霾,17,6,西南风 ≤3级 /南风 ≤3级
2016-03-03,霾,霾,18,7,东风 ≤3级 /东风 3-4级
2016-03-04,阴,阴,15,4,东风 3-4级 /西北风 4-5级
2016-03-05,晴,晴,12,2,西北风 4-5级 /东风 ≤3级
2016-03-06,多云,晴,12,3,东风 ≤3级 /北风 ≤3级
2016-03-07,多云,多云,12,0,北风 3-4级 /东北风 4-5级
2016-03-08,阴,多云,6,-2,东北风 4-5级 /北风 3-4级
2016-03-09,晴,晴,5,-2,北风 3-4级 /西北风 3-4级
2016-03-10,晴,晴,6,-2,西北风 3-4级 /西北风 ≤3级
2016-03-11,晴,多云,9,1,北风 ≤3级 /南风 ≤3级
2016-03-12,阴,阴,11,3,南风 ≤3级 /东北风 3-4级
2016-03-13,晴,晴,12,1,东北风 ≤3级 /西南风 ≤3级
2016-03-14,晴,多云,15,5,西南风 ≤3级 /西南风 ≤3级
2016-03-15,多云,晴,17,5,西南风 ≤3级 /西南风 ≤3级
2016-03-16,晴,霾,18,8,西南风 ≤3级 /西南风 ≤3级
2016-03-17,霾,霾,20,9,西南风 ≤3级 /西南风 ≤3级
2016-03-18,霾,晴,19,7,西南风 ≤3级 /东北风 3-4级
2016-03-19,晴,多云,16,5,东南风 3-4级 /东北风 ≤3级
2016-03-20,晴,晴,16,6,东南风 ≤3级 /西南风 ≤3级
2016-03-21,多云,多云,20,9,西南风 ≤3级 /东北风 3-4级
2016-03-22,阴,阴,15,6,东北风 3-4级 /东北风 4-5级
2016-03-23,晴,晴,14,4,北风 4-5级 /北风 ≤3级
2016-03-24,晴,晴,14,5,北风 ≤3级 /南风 ≤3级
2016-03-25,晴,晴,15,4,西北风 ≤3级 /西北风 3-4级
2016-03-26,晴,晴,17,7,西风 ≤3级 /西风 ≤3级
2016-03-27,晴,多云,21,10,西南风 ≤3级 /西南风 ≤3级
2016-03-28,阴,阴,21,10,西南风 3-4级 /西北风 4-5级
2016-03-29,晴,晴,21,10,西北风 3-4级 /东北风 ≤3级
2016-03-30,晴,晴,21,12,东南风 ≤3级 /南风 ≤3级
2016-03-31,多云,浮尘,26,15,西南风 4-5级 /西南风 3-4级
2016-04-01,多云,阴,22,11,西北风 4-5级 /东北风 3-4级
2016-04-02,阴,多云,17,9,东北风 3-4级 /北风 ≤3级
2016-04-03,晴,晴,19,8,南风 ≤3级 /西南风 ≤3级
2016-04-04,晴,多云,22,11,西南风 3-4级 /西南风 3-4级
2016-04-05,晴,多云,24,12,西南风 3-4级 /南风 3-4级
2016-04-06,阴,阴,24,13,西南风 3-4级 /西北风 4-5级
2016-04-07,晴,晴,22,11,西北风 4-5级 /西北风 3-4级
2016-04-08,晴,晴,25,13,西南风 3-4级 /西南风 ≤3级
2016-04-09,晴,晴,24,10,东北风 3-4级 /东北风 3-4级
2016-04-10,晴,晴,17,8,东风 4-5级 /东风 3-4级
2016-04-11,多云,小雨,19,9,东南风 3-4级 /南风 ≤3级
2016-04-12,阴,晴,20,10,北风 ≤3级 /南风 ≤3级
2016-04-13,晴,晴,26,11,西北风 ≤3级 /东北风 ≤3级
2016-04-14,晴,晴,22,12,东南风 ≤3级 /东南风 ≤3级
2016-04-15,阴,阵雨,24,15,东南风 ≤3级 /北风 3-4级
2016-04-16,阴,晴,21,11,北风 4-5级 /西北风 4-5级
2016-04-17,多云,阴,20,10,西北风 3-4级 /西北风 3-4级
2016-04-18,晴,多云,22,12,西北风 3-4级 /南风 ≤3级
2016-04-19,阵雨,多云,17,11,东南风 3-4级 /北风 ≤3级
2016-04-20,晴,晴,24,14,北风 ≤3级 /南风 ≤3级
2016-04-21,多云,晴,30,14,西南风 3-4级 /西北风 4-5级
2016-04-22,晴,晴,25,12,西北风 3-4级 /东北风 3-4级
2016-04-23,晴,晴,22,11,东南风 ≤3级 /东南风 ≤3级
2016-04-24,晴,晴,27,14,西南风 3-4级 /西南风 3-4级
2016-04-25,晴,多云,27,15,南风 3-4级 /东南风 ≤3级
2016-04-26,多云,阴,23,12,东风 3-4级 /东风 3-4级
2016-04-27,阴,多云,22,14,东北风 3-4级 /西北风 ≤3级
2016-04-28,晴,晴,24,15,南风 ≤3级 /东南风 ≤3级
2016-04-29,晴,晴,29,17,西南风 3-4级 /西南风 4-5级
2016-04-30,晴,多云,30,20,东南风 ≤3级 /西南风 3-4级
2016-05-01,多云,雷阵雨,33,18,西南风 3-4级 /西北风 4-5级
2016-05-02,小到中雨,阴,21,11,西北风 4-5级 /西北风 4-5级
2016-05-03,晴,晴,25,14,西北风 3-4级 /西北风 3-4级
2016-05-04,晴,阵雨,29,17,西风 ≤3级 /南风 3-4级
2016-05-05,阴,晴,27,15,西北风 4-5级 /西北风 5-6级
2016-05-06,晴,晴,26,14,西北风 4-5级 /西北风 ≤3级
2016-05-07,晴,晴,26,15,南风 ≤3级 /南风 ≤3级
2016-05-08,多云,阴,28,17,西南风 3-4级 /南风 ≤3级
2016-05-09,阵雨,阴,24,16,东北风 3-4级 /北风 ≤3级
2016-05-10,晴,晴,29,20,西南风 ≤3级 /西南风 3-4级
2016-05-11,多云,中雨,32,19,西南风 4-5级 /西南风 4-5级
2016-05-12,雷阵雨,晴,23,12,西北风 5-6级 /西南风 ≤3级
2016-05-13,多云,阵雨,24,14,东南风 3-4级 /西南风 3-4级
2016-05-14,小到中雨,小雨,19,11,东南风 ≤3级 /西北风 4-5级
2016-05-15,晴,晴,23,13,西北风 4-5级 /西风 3-4级
