date,weather_1,weather_2,high,low,wind
2016-02-01,阴,多云,4,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-02,晴,晴,6,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-03,晴,阴,8,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-04,多云,晴,10,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-05,晴,晴,12,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-06,晴,晴,9,-3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-07,晴,晴,14,-1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-08,晴,晴,17,3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-09,多云,多云,21,8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-10,小雨,小雨,19,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-11,小雨,中雨,19,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-12,中雨,小雨,19,8,无持续风向 ≤3级 /北风 3-4级
2016-02-13,阴,小雨,12,3,无持续风向 ≤3级 /无持续风向 4-5级
2016-02-14,阴,多云,5,-3,北风 3-4级 /无持续风向 ≤3级
2016-02-15,晴,多云,8,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-16,晴,多云,12,-1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-17,阴,晴,14,1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-18,多云,多云,16,3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-19,多云,晴,16,2,北风 3-4级 /北风 3-4级
2016-02-20,晴,阴,12,1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-21,小雨,中雨,11,4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-22,阴,阴,10,4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-23,多云,多云,12,3,无持续风向 ≤3级 /无持续风向 3-4级
2016-02-24,晴,多云,14,2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-25,多云,晴,16,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-26,晴,晴,19,7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-27,晴,晴,20,6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-28,晴,晴,19,3,北风 3-4级 /无持续风向 ≤3级
2016-02-29,晴,晴,17,4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-01,多云,小雨,18,7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-02,多云,小雨,18,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-03,小雨,多云,20,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-04,多云,中雨,23,11,无持续风向 ≤3级 /北风 3-4级
2016-03-05,小雨,多云,19,8,无持续风向 3-4级 /无持续风向 ≤3级
2016-03-06,晴,多云,22,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-07,多云,中雨,24,8,无持续风向 ≤3级 /北风 4-5级
2016-03-08,小雨,小雨,12,3,无持续风向 ≤3级 /北风 3-4级
2016-03-09,阴,阴,7,2,无持续风向 ≤3级 /北风 4-5级
2016-03-10,多云,晴,9,0,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-11,晴,晴,12,2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-12,多云,阴,14,6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-13,多云,多云,17,6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-14,多云,多云,16,5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-15,阴,多云,13,6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-16,阴,小雨,16,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-17,小雨,多云,14,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-18,多云,晴,20,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-19,晴,多云,23,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-20,小雨,小雨,23,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-21,多云,多云,19,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-22,小雨,小雨,18,11,无持续风向 ≤3级 /无持续风向 ≤3级
