date,weather_1,weather_2,high,low,wind
2016-02-01,小雨,小雨,8,2,东北风 ≤3级 /东北风 ≤3级
2016-02-02,多云,多云,6,0,东北风 ≤3级 /东北风 ≤3级
2016-02-03,多云,阴,8,3,东北风 ≤3级 /东北风 ≤3级
2016-02-04,小雨,小雨,10,5,东北风 ≤3级 /东北风 ≤3级
2016-02-05,多云,多云,11,4,东北风 ≤3级 /东北风 ≤3级
2016-02-06,晴,多云,12,2,东北风 ≤3级 /东北风 ≤3级
2016-02-07,晴,晴,13,3,东北风 ≤3级 /南风 ≤3级
2016-02-08,晴,晴,16,4,南风 ≤3级 /南风 ≤3级
2016-02-09,晴,多云,18,6,南风 ≤3级 /南风 ≤3级
2016-02-10,多云,小雨,19,11,东南风 ≤3级 /东南风 ≤3级
2016-02-11,小雨,阴,20,13,南风 ≤3级 /南风 ≤3级
2016-02-12,阴,多云,20,14,南风 ≤3级 /南风 ≤3级
2016-02-13,小雨,中雨,24,6,西南风 ≤3级 /北风 3-4级
2016-02-14,小雨,小雨,10,3,北风 3-4级 /东北风 ≤3级
2016-02-15,多云,晴,10,2,东北风 ≤3级 /东北风 ≤3级
2016-02-16,晴,晴,14,3,东北风 ≤3级 /东北风 ≤3级
2016-02-17,晴,多云,15,5,东北风 ≤3级 /东北风 ≤3级
2016-02-18,多云,小雨,17,10,东北风 ≤3级 /东北风 ≤3级
2016-02-19,小雨,多云,15,9,东北风 ≤3级 /东北风 ≤3级
2016-02-20,多云,多云,16,6,东北风 ≤3级 /东北风 ≤3级
2016-02-21,多云,小雨,13,8,东北风 ≤3级 /东北风 ≤3级
2016-02-22,小雨,小雨,10,7,东北风 ≤3级 /东北风 ≤3级
2016-02-23,小雨,阴,11,7,东北风 ≤3级 /东北风 ≤3级
2016-02-24,阴,多云,11,4,东北风 ≤3级 /东北风 ≤3级
2016-02-25,多云,阴,12,6,东北风 ≤3级 /东北风 ≤3级
2016-02-26,小雨,阴,12,8,东北风 ≤3级 /东北风 ≤3级
2016-02-27,多云,多云,18,7,东北风 ≤3级 /东北风 ≤3级
2016-02-28,多云,晴,20,8,东北风 ≤3级 /东北风 ≤3级
2016-02-29,多云,晴,16,6,东北风 ≤3级 /东北风 ≤3级
2016-03-01,多云,晴,14,6,东北风 ≤3级 /东北风 ≤3级
2016-03-02,晴,晴,18,6,东南风 ≤3级 /东南风 ≤3级
2016-03-03,多云,晴,22,12,东南风 ≤3级 /东南风 ≤3级
2016-03-04,晴,多云,23,12,东南风 ≤3级 /东北风 ≤3级
2016-03-05,多云,小雨,24,14,东北风 ≤3级 /东北风 ≤3级
2016-03-06,小雨,多云,24,15,东北风 ≤3级 /东北风 ≤3级
2016-03-07,多云,阵雨,24,14,东北风 ≤3级 /东北风 ≤3级
2016-03-08,阵雨,中雨,20,8,东北风 ≤3级 /东北风 ≤3级
