date,weather_1,weather_2,high,low,wind
2016-02-01,小雨,小雨,13,8,北风 3-4级 /北风 3-4级
2016-02-02,阴,多云,11,8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-03,多云,多云,14,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-04,多云,晴,17,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-05,晴,晴,17,8,无持续风向 ≤3级 /北风 3-4级
2016-02-06,晴,晴,16,8,北风 3-4级 /东北风 3-4级
2016-02-07,晴,晴,16,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-08,晴,晴,17,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-09,晴,多云,20,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-10,多云,小雨,20,16,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-11,小雨,小雨,21,18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-12,阴,阴,24,19,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-13,多云,小雨,24,17,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-14,小雨,小雨,22,10,北风 3-4级 /北风 4-5级
2016-02-15,多云,阴,14,9,北风 3-4级 /北风 3-4级
2016-02-16,多云,阴,14,10,北风 3-4级 /北风 3-4级
2016-02-17,多云,阴,16,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-18,阴,小雨,17,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-19,小雨,小雨,16,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-20,多云,多云,17,14,东北风 3-4级 /无持续风向 ≤3级
2016-02-21,多云,小雨,18,14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-22,阴,小雨,18,14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-23,小雨,小雨,16,11,东北风 3-4级 /东北风 3-4级
2016-02-24,小雨,多云,14,11,东北风 3-4级 /无持续风向 ≤3级
2016-02-25,阴,阴,16,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-26,阴,阴,16,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-27,多云,多云,18,14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-28,晴,晴,20,14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-29,晴,晴,24,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-01,晴,晴,21,15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-02,晴,晴,21,14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-03,晴,多云,22,16,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-04,多云,多云,24,18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-05,多云,多云,24,19,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-06,多云,多云,24,20,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-07,多云,多云,25,18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-08,多云,多云,25,19,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-09,多云,大雨,25,12,无持续风向 ≤3级 /北风 3-4级
2016-03-10,中雨,小雨,15,10,北风 3-4级 /北风 3-4级
2016-03-11,阴,小雨,12,11,北风 3-4级 /东北风 3-4级
2016-03-12,阴,小雨,16,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-13,小雨,小雨,18,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-14,阴,多云,17,14,北风 3-4级 /无持续风向 ≤3级
2016-03-15,小雨,小雨,18,15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-16,阴,小雨,18,15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-17,小雨,小雨,20,18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-18,多云,小雨,24,19,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-19,多云,小雨,26,20,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-20,小雨,小雨,23,18,东南风 3-4级 /无持续风向 ≤3级
2016-03-21,中雨,小雨,20,18,东风 3-4级 /无持续风向 ≤3级
2016-03-22,雷阵雨,阵雨,20,18,无持续风向 ≤3级 /无持续风向 ≤3级
