date,weather_1,weather_2,high,low,wind
2016-02-01,晴,晴,3,-5,西北风 ≤3级 /西北风 ≤3级
2016-02-02,晴,晴,5,-5,西北风 ≤3级 /北风 ≤3级
2016-02-03,晴,多云,6,-4,南风 ≤3级 /北风 ≤3级
2016-02-04,晴,晴,4,-3,南风 ≤3级 /北风 ≤3级
2016-02-05,晴,晴,7,-4,西风 3-4级 /西风 ≤3级
2016-02-06,晴,晴,8,-2,西风 ≤3级 /西北风 ≤3级
2016-02-07,晴,晴,9,-1,西风 ≤3级 /北风 ≤3级
2016-02-08,晴,晴,13,0,南风 ≤3级 /北风 ≤3级
2016-02-09,晴,霾,12,0,南风 ≤3级 /北风 ≤3级
2016-02-10,霾,阴,11,3,南风 ≤3级 /北风 ≤3级
2016-02-11,阴,霾,9,2,南风 ≤3级 /北风 ≤3级
2016-02-12,小雨,雨夹雪,7,1,北风 ≤3级 /北风 ≤3级
2016-02-13,小雨,晴,6,-3,北风 3-4级 /西北风 ≤3级
2016-02-14,晴,晴,6,-3,西北风 3-4级 /西风 ≤3级
2016-02-15,晴,晴,8,0,西风 ≤3级 /西风 3-4级
2016-02-16,晴,晴,12,1,西风 ≤3级 /北风 ≤3级
2016-02-17,晴,晴,13,1,南风 ≤3级 /北风 ≤3级
2016-02-18,晴,多云,11,2,南风 ≤3级 /西北风 ≤3级
2016-02-19,多云,雨夹雪,10,-1,西北风 ≤3级 /北风 ≤3级
2016-02-20,晴,晴,5,-4,西北风 3-4级 /北风 ≤3级
2016-02-21,多云,霾,7,-2,南风 ≤3级 /北风 ≤3级
2016-02-22,霾,霾,9,-3,南风 ≤3级 /北风 ≤3级
2016-02-23,晴,晴,5,-4,北风 3-4级 /北风 ≤3级
2016-02-24,晴,晴,9,-3,南风 ≤3级 /西北风 ≤3级
2016-02-25,晴,多云,9,-2,西北风 3-4级 /北风 ≤3级
2016-02-26,多云,多云,12,-1,南风 ≤3级 /北风 ≤3级
2016-02-27,阴,阴,8,1,东南风 ≤3级 /北风 ≤3级
2016-02-28,多云,晴,9,-3,北风 ≤3级 /北风 ≤3级
2016-02-29,晴,晴,9,-1,北风 ≤3级 /北风 ≤3级
2016-03-01,晴,晴,14,2,南风 ≤3级 /北风 ≤3级
2016-03-02,晴,晴,19,7,南风 ≤3级 /北风 ≤3级
2016-03-03,晴,霾,25,10,南风 ≤3级 /南风 ≤3级
2016-03-04,霾,霾,16,4,西北风 ≤3级 /西北风 3-4级
2016-03-05,晴,晴,15,2,西北风 3-4级 /北风 ≤3级
2016-03-06,多云,多云,16,3,南风 ≤3级 /北风 ≤3级
2016-03-07,多云,多云,13,0,北风 ≤3级 /北风 ≤3级
2016-03-08,阴,阴,7,-2,东北风 3-4级 /北风 ≤3级
2016-03-09,阴,多云,5,-3,北风 ≤3级 /西北风 3-4级
2016-03-10,晴,晴,9,-2,西风 3-4级 /西北风 ≤3级
2016-03-11,晴,晴,11,0,南风 3-4级 /北风 ≤3级
2016-03-12,多云,多云,12,2,南风 ≤3级 /北风 ≤3级
2016-03-13,晴,晴,13,1,西北风 3-4级 /北风 ≤3级
2016-03-14,晴,多云,16,4,南风 3-4级 /北风 ≤3级
2016-03-15,多云,多云,15,4,南风 ≤3级 /北风 ≤3级
2016-03-16,多云,霾,18,7,南风 3-4级 /北风 ≤3级
2016-03-17,霾,霾,20,9,南风 ≤3级 /北风 ≤3级
2016-03-18,霾,霾,21,9,南风 ≤3级 /北风 ≤3级
2016-03-19,多云,多云,17,6,北风 ≤3级 /北风 ≤3级
2016-03-20,晴,多云,17,6,北风 ≤3级 /北风 ≤3级
