date,weather_1,weather_2,high,low,wind
2016-02-01,晴,晴,1,-5,北风 3-4级 /西北风 3-4级
2016-02-02,晴,晴,3,-4,西北风 3-4级 /西南风 3-4级
2016-02-03,晴,多云,5,0,西南风 3-4级 /西风 3-4级
2016-02-04,多云,多云,5,-3,西北风 3-4级 /北风 4-5级
2016-02-05,多云,晴,4,-5,北风 4-5级 /北风 4-5级
2016-02-06,晴,晴,3,-3,西北风 4-5级 /西北风 3-4级
2016-02-07,多云,晴,5,-1,西南风 3-4级 /西南风 3-4级
2016-02-08,晴,晴,8,2,南风 4-5级 /北风 4-5级
2016-02-09,晴,晴,11,4,南风 3-4级 /南风 3-4级
2016-02-10,晴,雾,9,6,东南风 4-5级 /南风 4-5级
2016-02-11,小雨,雾,9,6,南风 3-4级 /南风 3-4级
2016-02-12,雾,中到大雨,10,-1,南风 3-4级 /南风 4-5级
2016-02-13,小到中雨,阴,5,-4,北风 5-6级 /北风 6-7级
2016-02-14,多云,晴,-1,-5,北风 6-7级 /北风 5-6级
2016-02-15,晴,晴,1,-2,西北风 4-5级 /西北风 4-5级
2016-02-16,晴,晴,6,0,西北风 4-5级 /西南风 3-4级
2016-02-17,晴,晴,7,4,西南风 3-4级 /西南风 4-5级
2016-02-18,晴,晴,9,1,西南风 4-5级 /北风 3-4级
2016-02-19,阴,多云,7,-1,南风 3-4级 /北风 4-5级
2016-02-20,多云,晴,5,-2,北风 4-5级 /北风 3-4级
2016-02-21,晴,阵雨,5,3,北风 3-4级 /南风 4-5级
2016-02-22,阴,雾,6,-1,南风 3-4级 /北风 4-5级
2016-02-23,晴,多云,4,-3,北风 4-5级 /北风 3-4级
2016-02-24,晴,晴,4,0,北风 3-4级 /南风 3-4级
2016-02-25,晴,多云,7,1,南风 3-4级 /南风 3-4级
2016-02-26,晴,晴,8,3,南风 3-4级 /南风 3-4级
2016-02-27,雾,雾,10,2,南风 3-4级 /北风 3-4级
2016-02-28,雨夹雪,多云,6,-3,北风 3-4级 /北风 5-6级
2016-02-29,晴,晴,3,-2,北风 4-5级 /南风 3-4级
2016-03-01,晴,晴,5,3,南风 3-4级 /南风 3-4级
2016-03-02,晴,晴,8,5,南风 4-5级 /南风 4-5级
2016-03-03,晴,雾,10,7,南风 4-5级 /南风 4-5级
2016-03-04,雾,雷阵雨,11,5,南风 3-4级 /南风 4-5级
2016-03-05,阴,多云,11,4,北风 4-5级 /北风 3-4级
2016-03-06,晴,阴,9,5,南风 3-4级 /南风 3-4级
2016-03-07,多云,多云,11,2,南风 3-4级 /东北风 4-5级
2016-03-08,多云,多云,6,-2,北风 5-6级 /东北风 5-6级
2016-03-09,多云,多云,5,-1,北风 4-5级 /北风 4-5级
2016-03-10,晴,晴,5,0,北风 3-4级 /北风 3-4级
2016-03-11,晴,晴,7,3,南风 3-4级 /南风 3-4级
2016-03-12,晴,阵雨,7,4,南风 4-5级 /南风 4-5级
2016-03-13,阴,多云,9,0,南风 3-4级 /北风 3-4级
2016-03-14,晴,晴,9,3,北风 3-4级 /南风 3-4级
2016-03-15,晴,雾,9,4,南风 3-4级 /南风 4-5级
2016-03-16,晴,晴,8,5,南风 3-4级 /南风 4-5级
2016-03-17,阴,雾,10,6,南风 4-5级 /南风 3-4级
2016-03-18,雾,雾,11,6,南风 3-4级 /北风 3-4级
2016-03-19,雾,晴,14,5,北风 3-4级 /北风 3-4级
2016-03-20,晴,晴,15,5,北风 3-4级 /北风 3-4级
2016-03-21,晴,晴,10,5,北风 3-4级 /南风 3-4级
2016-03-22,多云,多云,11,5,南风 3-4级 /北风 4-5级
2016-03-23,多云,晴,11,2,北风 4-5级 /北风 4-5级
2016-03-24,晴,晴,12,3,北风 4-5级 /北风 3-4级
2016-03-25,晴,晴,12,4,北风 3-4级 /西北风 3-4级
2016-03-26,晴,晴,13,5,西北风 3-4级 /西北风 3-4级
2016-03-27,晴,晴,17,8,西北风 3-4级 /西南风 3-4级
2016-03-28,晴,多云,15,10,南风 4-5级 /南风 4-5级
2016-03-29,晴,晴,19,9,北风 4-5级 /南风 3-4级
2016-03-30,晴,多云,15,8,北风 3-4级 /南风 3-4级
2016-03-31,多云,晴,14,10,南风 3-4级 /南风 4-5级
2016-04-01,晴,晴,14,9,西南风 3-4级 /南风 3-4级
2016-04-02,多云,阴,14,9,东南风 3-4级 /东北风 4-5级
2016-04-03,阴,多云,15,7,东北风 4-5级 /北风 3-4级
2016-04-04,晴,晴,13,9,北风 3-4级 /南风 3-4级
2016-04-05,晴,晴,14,9,南风 3-4级 /南风 3-4级
2016-04-06,多云,阴,13,9,南风 3-4级 /北风 3-4级
2016-04-07,多云,晴,20,10,北风 3-4级 /北风 3-4级
2016-04-08,晴,晴,19,12,北风 3-4级 /南风 3-4级
2016-04-09,雾,雾,16,11,东南风 3-4级 /东南风 3-4级
2016-04-10,晴,晴,17,9,南风 3-4级 /东北风 3-4级
2016-04-11,晴,多云,14,9,东南风 3-4级 /南风 3-4级
2016-04-12,多云,阴,13,10,南风 3-4级 /南风 3-4级
2016-04-13,雾,晴,20,10,南风 3-4级 /南风 3-4级
2016-04-14,雾,晴,20,9,东北风 3-4级 /南风 3-4级
2016-04-15,雾,小雨,14,10,南风 3-4级 /南风 4-5级
2016-04-16,小到中雨,多云,13,9,南风 5-6级 /北风 5-6级
2016-04-17,多云,多云,18,10,北风 4-5级 /西南风 4-5级
2016-04-18,多云,晴,19,9,北风 4-5级 /南风 4-5级
2016-04-19,晴,多云,14,10,南风 3-4级 /南风 4-5级
2016-04-20,多云,雾,15,11,南风 4-5级 /南风 3-4级
2016-04-21,多云,晴,19,13,北风 3-4级 /西南风 4-5级
2016-04-22,晴,晴,23,11,北风 3-4级 /南风 3-4级
2016-04-23,多云,多云,17,11,南风 3-4级 /南风 3-4级
2016-04-24,晴,晴,18,11,南风 3-4级 /南风 3-4级
2016-04-25,晴,多云,17,12,南风 3-4级 /东南风 3-4级
2016-04-26,多云,阴,16,13,南风 3-4级 /北风 3-4级
2016-04-27,阵雨,多云,17,12,北风 3-4级 /北风 3-4级
2016-04-28,多云,晴,24,12,北风 3-4级 /北风 3-4级
2016-04-29,晴,晴,19,15,北风 3-4级 /南风 4-5级
2016-04-30,多云,晴,21,15,南风 4-5级 /南风 4-5级
2016-05-01,晴,小到中雨,20,14,南风 4-5级 /南风 4-5级
2016-05-02,雷阵雨,雷阵雨,18,12,南风 4-5级 /北风 5-6级
2016-05-03,多云,晴,21,12,北风 5-6级 /北风 5-6级
2016-05-04,晴,多云,23,16,西北风 3-4级 /西南风 4-5级
2016-05-05,雷阵雨,雷阵雨,20,15,南风 4-5级 /南风 4-5级
2016-05-06,晴,晴,22,13,北风 4-5级 /西北风 3-4级
2016-05-07,多云,多云,22,14,北风 3-4级 /南风 3-4级
2016-05-08,多云,阴,19,13,南风 3-4级 /东南风 3-4级
2016-05-09,阵雨,阴,17,12,南风 3-4级 /南风 3-4级
2016-05-10,多云,多云,23,14,北风 3-4级 /北风 3-4级
2016-05-11,晴,晴,21,14,南风 3-4级 /南风 4-5级
2016-05-12,多云,阵雨,20,12,南风 4-5级 /北风 4-5级
2016-05-13,多云,多云,21,12,北风 3-4级 /南风 3-4级
2016-05-14,多云,中到大雨,18,13,南风 3-4级 /南风 4-5级
2016-05-15,小雨,多云,17,10,北风 5-6级 /西北风 4-5级
2016-05-16,晴,晴,22,14,西风 3-4级 /西南风 3-4级
2016-05-17,晴,晴,22,14,南风 3-4级 /南风 3-4级
2016-05-18,晴,晴,20,14,南风 3-4级 /南风 3-4级
2016-05-19,晴,晴,20,15,南风 3-4级 /东南风 3-4级
2016-05-20,晴,多云,22,15,东南风 3-4级 /东南风 3-4级
2016-05-21,多云,多云,23,16,东风 3-4级 /东北风 3-4级
2016-05-22,多云,阵雨,24,17,东南风 3-4级 /南风 3-4级
2016-05-23,小雨,阴,20,16,南风 3-4级 /南风 3-4级
2016-05-24,多云,晴,25,17,南风 3-4级 /西南风 3-4级
2016-05-25,晴,多云,24,17,南风 3-4级 /南风 3-4级
2016-05-26,多云,多云,27,19,南风 3-4级 /北风 3-4级
2016-05-27,多云,阵雨,22,17,北风 3-4级 /南风 3-4级
2016-05-28,阵雨,阵雨,21,18,南风 3-4级 /南风 3-4级
2016-05-29,多云,晴,24,16,南风 3-4级 /南风 3-4级
2016-05-30,晴,雾,23,16,南风 3-4级 /南风 3-4级
2016-05-31,雾,多云,21,17,东南风 3-4级 /东北风 3-4级
2016-06-01,多云,晴,25,17,东北风 3-4级 /北风 3-4级
2016-06-02,晴,晴,24,17,南风 3-4级 /南风 3-4级
2016-06-03,多云,阵雨,21,17,南风 3-4级 /东南风 3-4级
2016-06-04,阴,多云,20,16,东南风 3-4级 /南风 3-4级
2016-06-05,多云,阴,22,17,南风 3-4级 /南风 3-4级
2016-06-06,阴,晴,21,17,南风 3-4级 /南风 3-4级
2016-06-07,晴,阴,23,17,南风 3-4级 /南风 3-4级
2016-06-08,阴,晴,23,17,南风 3-4级 /南风 3-4级
2016-06-09,雾,雾,22,17,南风 3-4级 /南风 4-5级
2016-06-10,多云,阴,21,18,南风 4-5级 /南风 4-5级
2016-06-11,阵雨,多云,22,18,南风 3-4级 /北风 3-4级
2016-06-12,雾,多云,27,18,北风 3-4级 /南风 3-4级
2016-06-13,雾,阵雨,24,18,南风 3-4级 /南风 3-4级
2016-06-14,大雨,中到大雨,23,20,南风 4-5级 /南风 4-5级
2016-06-15,多云,晴,25,18,北风 3-4级 /北风 3-4级
2016-06-16,晴,晴,27,20,北风 3-4级 /西南风 4-5级
2016-06-17,晴,晴,27,20,西南风 4-5级 /南风 4-5级
2016-06-18,多云,多云,25,20,南风 3-4级 /南风 3-4级
2016-06-19,晴,晴,25,20,南风 3-4级 /南风 3-4级
2016-06-20,雾,晴,25,21,南风 3-4级 /南风 3-4级
2016-06-21,多云,阵雨,24,20,南风 3-4级 /南风 3-4级
2016-06-22,多云,晴,27,20,南风 3-4级 /南风 3-4级
2016-06-23,多云,中雨,24,20,南风 3-4级 /南风 4-5级
2016-06-24,多云,晴,28,20,北风 4-5级 /西北风 3-4级
2016-06-25,晴,晴,30,21,西北风 3-4级 /西南风 3-4级
2016-06-26,晴,晴,28,22,南风 3-4级 /南风 3-4级
2016-06-27,多云,多云,27,20,南风 3-4级 /南风 3-4级
2016-06-28,晴,多云,25,21,南风 3-4级 /南风 4-5级
2016-06-29,多云,多云,25,22,南风 4-5级 /南风 4-5级
2016-06-30,雾,雾,26,22,南风 3-4级 /南风 3-4级
2016-07-01,雷阵雨,阴,24,21,北风 4-5级 /北风 4-5级
2016-07-02,晴,多云,28,21,北风 3-4级 /南风 3-4级
2016-07-03,多云,多云,26,20,南风 3-4级 /东南风 3-4级
2016-07-04,多云,小雨,25,21,东南风 3-4级 /北风 3-4级
2016-07-05,多云,多云,27,21,北风 3-4级 /南风 3-4级
2016-07-06,多云,多云,26,21,南风 3-4级 /南风 3-4级
2016-07-07,阵雨,多云,25,22,东南风 3-4级 /东南风 3-4级
2016-07-08,多云,多云,26,22,东南风 3-4级 /南风 3-4级
2016-07-09,多云,多云,26,22,南风 3-4级 /南风 3-4级
2016-07-10,多云,晴,27,22,南风 3-4级 /南风 3-4级
2016-07-11,多云,多云,28,22,南风 3-4级 /南风 3-4级
2016-07-12,多云,多云,28,23,南风 3-4级 /南风 3-4级
2016-07-13,多云,多云,29,24,南风 3-4级 /南风 3-4级
2016-07-14,多云,小雨,31,22,北风 3-4级 /南风 3-4级
2016-07-15,中雨,阴,25,20,南风 3-4级 /北风 3-4级
2016-07-16,多云,多云,29,22,北风 3-4级 /南风 3-4级
2016-07-17,多云,多云,26,23,南风 3-4级 /东南风 3-4级
2016-07-18,多云,多云,27,23,南风 3-4级 /南风 3-4级
2016-07-19,多云,小雨,27,23,东南风 3-4级 /东南风 4-5级
2016-07-20,小雨,阴,27,24,南风 5-6级 /南风 5-6级
2016-07-21,多云,多云,29,25,南风 3-4级 /南风 3-4级
2016-07-22,多云,阵雨,29,25,南风 3-4级 /南风 3-4级
2016-07-23,阴,晴,30,26,南风 3-4级 /南风 3-4级
2016-07-24,晴,晴,31,26,南风 3-4级 /南风 3-4级
2016-07-25,多云,雷阵雨,31,25,南风 3-4级 /南风 3-4级
2016-07-26,雷阵雨,多云,29,24,南风 3-4级 /北风 3-4级
2016-07-27,多云,阵雨,31,25,北风 3-4级 /南风 3-4级
2016-07-28,中雨,多云,28,25,南风 3-4级 /南风 3-4级
2016-07-29,多云,晴,30,26,南风 3-4级 /南风 3-4级
2016-07-30,多云,多云,30,26,南风 3-4级 /南风 3-4级
2016-07-31,多云,多云,30,26,南风 3-4级 /南风 3-4级
2016-08-01,多云,雷阵雨,30,24,南风 3-4级 /南风 3-4级
2016-08-02,雷阵雨,雷阵雨,31,24,南风 3-4级 /东南风 3-4级
2016-08-03,多云,多云,30,25,东风 3-4级 /东南风 3-4级
2016-08-04,多云,多云,30,25,东风 3-4级 /南风 3-4级
2016-08-05,多云,多云,30,25,南风 3-4级 /南风 3-4级
2016-08-06,阵雨,阵雨,30,26,东南风 3-4级 /南风 3-4级
2016-08-07,多云,阴,30,26,南风 3-4级 /南风 3-4级
2016-08-08,阴,多云,29,26,南风 3-4级 /东南风 3-4级
2016-08-09,多云,晴,30,26,东南风 3-4级 /东南风 3-4级
2016-08-10,晴,多云,31,27,南风 3-4级 /南风 3-4级
2016-08-11,多云,晴,31,27,南风 3-4级 /南风 3-4级
2016-08-12,晴,多云,32,27,南风 3-4级 /西南风 3-4级
2016-08-13,多云,多云,31,27,南风 3-4级 /南风 3-4级
2016-08-14,多云,阵雨,31,25,南风 3-4级 /北风 3-4级
2016-08-15,多云,多云,32,26,北风 3-4级 /北风 3-4级
2016-08-16,多云,多云,32,26,北风 3-4级 /北风 3-4级
2016-08-17,多云,多云,30,26,北风 3-4级 /南风 3-4级
2016-08-18,多云,多云,31,27,东南风 3-4级 /南风 3-4级
2016-08-19,中到大雨,中到大雨,29,25,南风 3-4级 /南风 3-4级
2016-08-20,阵雨,阵雨,29,25,北风 3-4级 /北风 3-4级
2016-08-21,阵雨,多云,30,26,北风 3-4级 /北风 3-4级
2016-08-22,晴,晴,32,24,北风 3-4级 /北风 3-4级
2016-08-23,晴,晴,31,25,北风 3-4级 /南风 3-4级
2016-08-24,晴,晴,31,25,南风 3-4级 /南风 3-4级
2016-08-25,阵雨,阵雨,30,22,南风 3-4级 /北风 4-5级
2016-08-26,多云,晴,29,20,北风 4-5级 /北风 4-5级
2016-08-27,晴,晴,29,19,北风 3-4级 /北风 4-5级
2016-08-28,晴,晴,29,20,北风 3-4级 /北风 4-5级
2016-08-29,晴,晴,29,21,西北风 4-5级 /北风 4-5级
2016-08-30,晴,晴,29,21,北风 4-5级 /北风 4-5级
2016-08-31,晴,多云,30,22,西北风 4-5级 /西风 4-5级
2016-09-01,多云,多云,29,23,西风 4-5级 /南风 3-4级
2016-09-02,多云,晴,29,23,西风 3-4级 /南风 3-4级
