date,weather_1,weather_2,high,low,wind
2016-02-01,晴,晴,-4,-11,南风 3-4级 /北风 3-4级
2016-02-02,晴,晴,-1,-9,南风 3-4级 /南风 3-4级
2016-02-03,晴,晴,1,-7,南风 3-4级 /南风 3-4级
2016-02-04,晴,晴,-2,-11,北风 3-4级 /北风 3-4级
2016-02-05,多云,晴,-1,-10,北风 3-4级 /北风 3-4级
2016-02-06,晴,晴,-1,-7,北风 3-4级 /南风 3-4级
2016-02-07,多云,多云,3,-5,南风 3-4级 /南风 3-4级
2016-02-08,多云,晴,2,-5,北风 3-4级 /北风 3-4级
2016-02-09,霾,晴,3,-2,南风 3-4级 /南风 3-4级
2016-02-10,晴,多云,8,3,南风 3-4级 /南风 4-5级
2016-02-11,阴,小雨,8,3,南风 3-4级 /南风 3-4级
2016-02-12,多云,雨夹雪,7,-4,北风 3-4级 /南风 3-4级
2016-02-13,大雪,多云,-2,-12,北风 4-5级 /北风 4-5级
2016-02-14,晴,晴,-7,-14,北风 4-5级 /北风 3-4级
2016-02-15,晴,晴,-2,-7,南风 3-4级 /南风 3-4级
2016-02-16,多云,晴,2,-6,北风 3-4级 /南风 3-4级
2016-02-17,晴,晴,4,-2,南风 3-4级 /南风 3-4级
2016-02-18,晴,晴,5,-4,北风 3-4级 /北风 3-4级
2016-02-19,多云,晴,2,-7,北风 3-4级 /北风 3-4级
2016-02-20,晴,晴,0,-9,北风 3-4级 /北风 3-4级
2016-02-21,晴,多云,1,-4,南风 3-4级 /南风 3-4级
2016-02-22,小雪,多云,3,-11,北风 3-4级 /北风 4-5级
2016-02-23,晴,晴,-6,-10,北风 3-4级 /北风 3-4级
2016-02-24,晴,多云,1,-9,南风 3-4级 /北风 3-4级
2016-02-25,晴,晴,0,-7,南风 3-4级 /南风 3-4级
2016-02-26,多云,多云,1,-5,北风 3-4级 /北风 3-4级
2016-02-27,晴,多云,3,-8,北风 3-4级 /北风 3-4级
2016-02-28,多云,多云,1,-9,北风 4-5级 /北风 4-5级
2016-02-29,晴,晴,-3,-10,北风 4-5级 /南风 4-5级
2016-03-01,晴,晴,5,0,南风 4-5级 /南风 4-5级
2016-03-02,晴,多云,11,0,南风 3-4级 /北风 3-4级
2016-03-03,晴,多云,11,5,北风 3-4级 /南风 3-4级
2016-03-04,多云,小雨,12,1,北风 3-4级 /南风 4-5级
2016-03-05,小雨,多云,7,-1,北风 3-4级 /北风 3-4级
2016-03-06,多云,多云,7,0,南风 3-4级 /南风 3-4级
2016-03-07,多云,多云,7,-7,北风 3-4级 /北风 4-5级
2016-03-08,晴,晴,2,-8,北风 4-5级 /北风 3-4级
2016-03-09,晴,晴,1,-8,北风 3-4级 /北风 3-4级
