date,weather_1,weather_2,high,low,wind
2015-01-01,晴,晴,22,5,东风 ≤3级 /东南风 ≤3级
2015-01-02,晴,晴,21,6,东南风 ≤3级 /东南风 ≤3级
2015-01-03,多云,多云,21,10,东南风 ≤3级 /东南风 ≤3级
2015-01-04,多云,多云,21,15,东南风 ≤3级 /东南风 ≤3级
2015-01-05,多云,阴,21,15,东南风 ≤3级 /南风 ≤3级
2015-01-06,小雨,小雨,21,11,东北风 ≤3级 /东北风 ≤3级
2015-01-07,小雨,阴,15,11,东北风 ≤3级 /东北风 ≤3级
2015-01-08,阴,阴,16,12,东北风 ≤3级 /东北风 ≤3级
2015-01-09,阴,小雨,16,10,东北风 ≤3级 /东北风 ≤3级
2015-01-10,小雨,小雨,13,10,东北风 ≤3级 /东北风 ≤3级
2015-01-11,小雨,小雨,13,9,东北风 ≤3级 /东北风 ≤3级
2015-01-12,小雨,多云,15,6,东北风 ≤3级 /东北风 ≤3级
2015-01-13,晴,晴,19,4,东北风 ≤3级 /东北风 ≤3级
2015-01-14,晴,晴,20,4,东北风 ≤3级 /东北风 ≤3级
2015-01-15,晴,晴,20,5,东北风 ≤3级 /东北风 ≤3级
2015-01-16,晴,晴,21,8,东北风 ≤3级 /东北风 ≤3级
2015-01-17,多云,多云,19,8,东北风 ≤3级 /东北风 ≤3级
2015-01-18,多云,多云,20,6,东北风 ≤3级 /东风 ≤3级
2015-01-19,多云,多云,21,9,东风 ≤3级 /东风 ≤3级
2015-01-20,多云,多云,20,11,东北风 ≤3级 /东北风 ≤3级
2015-01-21,多云,晴,20,9,东北风 ≤3级 /东南风 ≤3级
2015-01-22,多云,晴,22,9,东南风 ≤3级 /东南风 ≤3级
2015-01-23,多云,阴,21,13,东南风 ≤3级 /东南风 ≤3级
2015-01-24,多云,多云,21,16,东南风 ≤3级 /东南风 ≤3级
2015-01-25,多云,多云,22,16,东南风 ≤3级 /东南风 ≤3级
2015-01-26,多云,多云,24,16,东南风 ≤3级 /东南风 ≤3级
2015-01-27,多云,阴,22,15,东南风 ≤3级 /东南风 ≤3级
2015-01-28,多云,阴,22,17,东南风 ≤3级 /东风 ≤3级
2015-01-29,阴,小雨,21,10,东风 ≤3级 /东北风 ≤3级
2015-01-30,小雨,阴,13,7,东北风 ≤3级 /东北风 ≤3级
2015-01-31,小雨,小雨,11,6,东北风 ≤3级 /东风 ≤3级
2015-02-01,小雨,小雨,9,7,东北风 ≤3级 /东南风 ≤3级
2015-02-02,阴,阴,11,10,东风 ≤3级 /东风 ≤3级
2015-02-03,小雨,小雨,15,8,东北风 ≤3级 /东北风 ≤3级
2015-02-04,小雨,小雨,11,8,东北风 ≤3级 /东北风 ≤3级
2015-02-05,阴,阴,13,6,东北风 ≤3级 /东风 ≤3级
2015-02-06,阴,多云,15,7,东风 ≤3级 /东风 ≤3级
2015-02-07,阴,阴,16,7,东风 ≤3级 /东北风 ≤3级
2015-02-08,多云,多云,18,7,东北风 ≤3级 /东南风 ≤3级
2015-02-09,多云,多云,19,13,东南风 ≤3级 /东南风 ≤3级
2015-02-10,多云,阴,18,10,东南风 ≤3级 /东风 ≤3级
2015-02-11,小雨,多云,15,9,东风 ≤3级 /东北风 ≤3级
2015-02-12,多云,多云,20,12,东风 ≤3级 /东南风 ≤3级
2015-02-13,阴,中雨,20,13,东南风 ≤3级 /东南风 ≤3级
2015-02-14,中雨,阵雨,16,15,东南风 ≤3级 /东南风 ≤3级
2015-02-15,多云,多云,23,14,东南风 ≤3级 /东南风 ≤3级
2015-02-16,多云,多云,24,15,东南风 ≤3级 /东南风 ≤3级
2015-02-17,阴,多云,24,16,东南风 ≤3级 /东南风 ≤3级
2015-02-18,阴,阴,23,17,东南风 ≤3级 /东南风 ≤3级
2015-02-19,阴,阴,24,18,东南风 ≤3级 /东南风 ≤3级
2015-02-20,阵雨,阴,23,17,东南风 ≤3级 /东南风 ≤3级
2015-02-21,阴,阴,24,18,东南风 ≤3级 /东南风 ≤3级
2015-02-22,多云,阴,26,19,东南风 ≤3级 /东南风 ≤3级
2015-02-23,阴,多云,27,20,东南风 ≤3级 /东南风 ≤3级
2015-02-24,多云,多云,28,20,东南风 ≤3级 /东南风 ≤3级
2015-02-25,多云,多云,30,20,东南风 ≤3级 /东南风 ≤3级
2015-02-26,多云,多云,32,20,东南风 ≤3级 /东南风 ≤3级
2015-02-27,多云,多云,31,21,东南风 ≤3级 /东南风 ≤3级
2015-02-28,阴,阴,28,13,南风 ≤3级 /东北风 ≤3级
2015-03-01,阴,阴,18,12,东北风 ≤3级 /东南风 ≤3级
2015-03-02,阴,小雨,18,11,东南风 ≤3级 /东风 ≤3级
2015-03-03,小雨,阴,18,12,东北风 ≤3级 /东风 ≤3级
2015-03-04,阴,阴,20,13,东风 ≤3级 /东风 ≤3级
2015-03-05,小雨,小雨,19,11,东南风 ≤3级 /东南风 ≤3级
2015-03-06,小雨,阴,15,10,东南风 ≤3级 /东北风 ≤3级
2015-03-07,小雨,阴,13,12,东北风 ≤3级 /东南风 ≤3级
2015-03-08,小雨,小雨,17,11,东北风 ≤3级 /东北风 ≤3级
2015-03-09,小雨,小雨,18,12,东北风 ≤3级 /东北风 ≤3级
2015-03-10,小雨,小雨,16,13,东北风 ≤3级 /东北风 ≤3级
2015-03-11,小雨,小雨,14,10,东北风 ≤3级 /东北风 ≤3级
2015-03-12,阴,阴,16,13,东北风 ≤3级 /东南风 ≤3级
2015-03-13,小雨,阴,16,14,东南风 ≤3级 /东南风 ≤3级
2015-03-14,阴,阴,22,19,东南风 ≤3级 /东南风 ≤3级
2015-03-15,阴,阴,26,20,东南风 ≤3级 /东南风 ≤3级
2015-03-16,多云,多云,28,20,东南风 ≤3级 /东南风 ≤3级
2015-03-17,多云,多云,32,21,东南风 ≤3级 /东南风 ≤3级
2015-03-18,多云,多云,32,20,东南风 ≤3级 /东南风 ≤3级
2015-03-19,多云,多云,32,22,东南风 ≤3级 /东南风 ≤3级
2015-03-20,多云,阴,30,19,东南风 ≤3级 /南风 ≤3级
2015-03-21,小雨,阴,24,17,东北风 ≤3级 /东风 ≤3级
2015-03-22,多云,阴,26,18,东南风 ≤3级 /东南风 ≤3级
2015-03-23,阵雨,阵雨,24,16,东北风 ≤3级 /东北风 ≤3级
2015-03-24,阵雨,阵雨,20,15,东北风 ≤3级 /东北风 ≤3级
2015-03-25,阵雨,阵雨,20,16,东北风 ≤3级 /东北风 ≤3级
2015-03-26,阵雨,阵雨,20,18,东风 ≤3级 /东南风 ≤3级
2015-03-27,阵雨,阴,22,19,东南风 ≤3级 /东南风 ≤3级
2015-03-28,阵雨,阵雨,24,20,东南风 ≤3级 /东南风 ≤3级
2015-03-29,阵雨,阵雨,25,20,东南风 ≤3级 /东南风 ≤3级
2015-03-30,阴,阴,26,21,东南风 ≤3级 /东南风 ≤3级
2015-03-31,多云,多云,29,21,东南风 ≤3级 /东南风 ≤3级
2015-04-01,多云,多云,31,23,东南风 ≤3级 /东南风 ≤3级
2015-04-02,多云,多云,34,22,东南风 ≤3级 /东南风 ≤3级
2015-04-03,多云,多云,34,22,东南风 ≤3级 /东南风 ≤3级
2015-04-04,多云,多云,34,22,东南风 ≤3级 /东南风 ≤3级
2015-04-05,多云,多云,32,23,东南风 ≤3级 /东南风 ≤3级
2015-04-06,多云,多云,31,17,东南风 ≤3级 /东北风 ≤3级
2015-04-07,雷阵雨,雷阵雨,23,15,东北风 ≤3级 /东北风 ≤3级
2015-04-08,阴,阴,20,14,东北风 ≤3级 /东北风 ≤3级
2015-04-09,小雨,小雨,17,13,东北风 ≤3级 /东北风 ≤3级
2015-04-10,小雨,小雨,17,13,东北风 ≤3级 /东北风 ≤3级
2015-04-11,多云,多云,20,15,东北风 ≤3级 /东北风 ≤3级
2015-04-12,多云,多云,26,12,东北风 ≤3级 /东北风 ≤3级
2015-04-13,多云,多云,28,11,东北风 ≤3级 /东北风 ≤3级
2015-04-14,多云,多云,28,12,东南风 ≤3级 /东南风 ≤3级
2015-04-15,多云,多云,29,17,东南风 ≤3级 /东南风 ≤3级
2015-04-16,多云,多云,30,17,东南风 ≤3级 /东南风 ≤3级
2015-04-17,多云,多云,32,20,东南风 ≤3级 /东南风 ≤3级
2015-04-18,多云,多云,33,23,东南风 ≤3级 /东南风 ≤3级
2015-04-19,多云,雷阵雨,34,21,南风 ≤3级 /北风 ≤3级
2015-04-20,阴,阴,28,20,东北风 ≤3级 /东北风 ≤3级
2015-04-21,阴,多云,25,18,东北风 ≤3级 /东风 ≤3级
