date,weather_1,weather_2,high,low,wind
2015-01-01,晴,晴,5,-4,西北风 3-4级 /南风 ≤3级
2015-01-02,晴,多云,8,-2,南风 ≤3级 /东北风 ≤3级
2015-01-03,晴,晴,11,2,西南风 ≤3级 /西南风 ≤3级
2015-01-04,晴,多云,15,5,东南风 ≤3级 /东南风 ≤3级
2015-01-05,多云,小雨,16,3,东南风 ≤3级 /北风 4-5级
2015-01-06,阴,雨夹雪,7,0,北风 4-5级 /北风 3-4级
2015-01-07,多云,晴,6,-2,北风 3-4级 /北风 ≤3级
2015-01-08,晴,晴,8,-2,东北风 ≤3级 /西南风 ≤3级
2015-01-09,晴,晴,11,0,西风 ≤3级 /西风 ≤3级
2015-01-10,晴,晴,13,1,西风 ≤3级 /西风 ≤3级
2015-01-11,晴,多云,13,1,东北风 3-4级 /东北风 3-4级
2015-01-12,多云,阴,9,2,东北风 3-4级 /东北风 ≤3级
2015-01-13,阴,小雨,9,5,东风 ≤3级 /东北风 3-4级
2015-01-14,小雨,阴,9,4,北风 3-4级 /北风 ≤3级
2015-01-15,多云,阴,10,3,北风 ≤3级 /西北风 ≤3级
2015-01-16,多云,多云,10,1,西北风 3-4级 /北风 3-4级
2015-01-17,多云,多云,6,0,北风 3-4级 /东北风 3-4级
2015-01-18,多云,多云,8,0,西风 3-4级 /西北风 3-4级
2015-01-19,晴,多云,10,2,西风 ≤3级 /东南风 ≤3级
2015-01-20,阴,阴,11,5,东南风 ≤3级 /东南风 ≤3级
2015-01-21,多云,阴,13,2,西南风 ≤3级 /西北风 3-4级
2015-01-22,多云,多云,7,-1,西北风 3-4级 /北风 ≤3级
2015-01-23,晴,晴,10,2,东南风 ≤3级 /东南风 ≤3级
2015-01-24,多云,小雨,15,9,东南风 3-4级 /南风 ≤3级
2015-01-25,小雨,阴,13,6,南风 ≤3级 /东北风 ≤3级
2015-01-26,阴,阴,11,2,北风 ≤3级 /东北风 3-4级
2015-01-27,阴,雨夹雪,5,1,东北风 4-5级 /东北风 4-5级
2015-01-28,阴,雨夹雪,4,1,东北风 3-4级 /东北风 3-4级
