date,weather_1,weather_2,high,low,wind
2015-01-01,多云,多云,15,8,无持续风向 ≤3级 /东北风 3-4级
2015-01-02,多云,多云,15,9,东北风 3-4级 /无持续风向 ≤3级
2015-01-03,多云,多云,18,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-04,多云,多云,20,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-05,多云,阴,21,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-06,阴,阵雨,22,13,无持续风向 ≤3级 /东北风 3-4级
2015-01-07,阴,多云,17,10,东北风 3-4级 /东北风 3-4级
2015-01-08,多云,晴,17,9,东北风 3-4级 /东北风 3-4级
2015-01-09,晴,多云,17,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-10,多云,多云,17,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-11,阴,阵雨,18,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-12,阵雨,阵雨,16,11,东北风 3-4级 /东北风 3-4级
2015-01-13,中雨,阵雨,14,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-14,多云,多云,19,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-15,多云,多云,18,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-16,多云,多云,19,10,无持续风向 ≤3级 /东北风 3-4级
2015-01-17,多云,多云,16,9,无持续风向 ≤3级 /东北风 3-4级
2015-01-18,多云,多云,18,9,无持续风向 ≤3级 /东北风 3-4级
2015-01-19,多云,多云,18,9,东北风 3-4级 /东北风 3-4级
2015-01-20,多云,多云,19,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-21,多云,多云,21,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-22,多云,多云,19,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-23,多云,多云,17,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-24,多云,多云,19,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-25,阵雨,阵雨,19,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-26,阵雨,阵雨,18,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-27,阴,阴,18,11,东北风 3-4级 /东北风 3-4级
2015-01-28,阴,多云,16,10,东北风 3-4级 /东北风 3-4级
2015-01-29,多云,多云,18,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-30,多云,多云,17,10,东北风 3-4级 /无持续风向 ≤3级
2015-01-31,多云,多云,16,8,无持续风向 ≤3级 /东北风 3-4级
2015-02-01,多云,多云,16,10,东北风 3-4级 /无持续风向 ≤3级
2015-02-02,多云,多云,17,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-03,阴,阴,18,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-04,阴,阴,16,10,无持续风向 ≤3级 /东北风 3-4级
2015-02-05,多云,多云,15,7,东北风 3-4级 /东北风 3-4级
2015-02-06,多云,多云,14,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-07,多云,多云,16,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-08,多云,多云,16,8,无持续风向 ≤3级 /东北风 3-4级
2015-02-09,多云,晴,14,6,东北风 3-4级 /东北风 3-4级
2015-02-10,多云,多云,15,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-11,多云,多云,19,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-12,晴,晴,20,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-13,晴,晴,21,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-14,多云,阵雨,21,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-15,阵雨,阵雨,18,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-16,多云,多云,24,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-17,多云,多云,21,12,无持续风向 ≤3级 /东北风 3-4级
2015-02-18,多云,多云,20,12,东北风 3-4级 /东北风 3-4级
2015-02-19,多云,多云,18,11,东北风 3-4级 /无持续风向 ≤3级
2015-02-20,多云,阴,19,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-21,中雨,阵雨,20,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-22,阵雨,阵雨,20,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-23,阵雨,阵雨,19,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-24,阴,阴,20,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-25,多云,多云,23,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-26,多云,阴,25,13,无持续风向 ≤3级 /东北风 3-4级
2015-02-27,多云,多云,21,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-28,多云,阴,21,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-01,阴,多云,17,10,东北风 3-4级 /无持续风向 ≤3级
2015-03-02,多云,阴,17,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-03,阵雨,阵雨,21,11,无持续风向 ≤3级 /东北风 3-4级
2015-03-04,阵雨,阵雨,14,10,东北风 3-4级 /东北风 3-4级
2015-03-05,阴,阵雨,16,11,东北风 3-4级 /东北风 3-4级
2015-03-06,阴,多云,17,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-07,阴,阴,18,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-08,阴,阵雨,20,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-09,阴,多云,21,12,无持续风向 ≤3级 /东北风 3-4级
2015-03-10,阵雨,阴,15,10,东北风 3-4级 /无持续风向 ≤3级
2015-03-11,小雨,小雨,13,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-12,多云,多云,17,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-13,多云,多云,20,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-14,多云,多云,23,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-15,多云,阴,25,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-16,阴,多云,25,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-17,多云,多云,25,19,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-18,多云,多云,27,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-19,多云,多云,28,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-20,多云,多云,25,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-21,阴,阴,21,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-22,多云,多云,21,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-23,阵雨,阵雨,20,11,东北风 3-4级 /东北风 3-4级
2015-03-24,多云,阴,20,13,东北风 3-4级 /东北风 3-4级
2015-03-25,阴,阴,20,14,东北风 3-4级 /东北风 3-4级
2015-03-26,阵雨,阵雨,18,14,东北风 3-4级 /无持续风向 ≤3级
2015-03-27,阴,多云,22,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-28,多云,多云,22,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-29,多云,阵雨,24,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-30,阵雨,阵雨,24,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-31,多云,多云,27,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-01,多云,晴,29,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-02,晴,多云,30,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-03,晴,多云,30,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-04,晴,晴,31,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-05,多云,多云,32,22,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-06,阵雨,中雨,29,16,无持续风向 ≤3级 /东北风 3-4级
2015-04-07,雷阵雨,中雨,20,13,东北风 3-4级 /东北风 3-4级
2015-04-08,阴,阴,19,14,东北风 3-4级 /无持续风向 ≤3级
2015-04-09,阴,阵雨,19,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-10,阵雨,中雨,21,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-11,中雨,阵雨,16,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-12,阴,多云,20,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-13,多云,多云,27,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-14,多云,晴,24,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-15,晴,多云,25,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-16,多云,多云,28,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-17,多云,阴,26,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-18,阴,阴,26,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-19,多云,阴,31,22,西南风 3-4级 /无持续风向 ≤3级
2015-04-20,中雨,阵雨,29,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-21,阴,阴,22,16,无持续风向 ≤3级 /东北风 3-4级
2015-04-22,多云,多云,24,16,东北风 3-4级 /无持续风向 ≤3级
2015-04-23,多云,多云,25,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-24,阴,多云,26,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-25,多云,多云,27,19,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-26,多云,多云,27,19,无持续风向 ≤3级 /无持续风向 ≤3级
