date,weather_1,weather_2,high,low,wind
2015-01-01,晴,晴,-3,-14,无持续风向 ≤3级 /西北风 3-4级
2015-01-02,晴,晴,-2,-12,南风 ≤3级 /西风 ≤3级
2015-01-03,晴,多云,0,-9,西南风 ≤3级 /西北风 3-4级
2015-01-04,多云,多云,1,-10,无持续风向 ≤3级 /西北风 ≤3级
2015-01-05,多云,晴,-2,-15,西北风 ≤3级 /北风 ≤3级
2015-01-06,多云,多云,-4,-13,无持续风向 ≤3级 /西北风 4-5级
2015-01-07,多云,晴,-3,-12,西风 3-4级 /西风 ≤3级
2015-01-08,多云,晴,-2,-13,西北风 3-4级 /西风 ≤3级
2015-01-09,晴,晴,-2,-13,西风 ≤3级 /西南风 ≤3级
2015-01-10,晴,晴,0,-11,西风 ≤3级 /西风 ≤3级
2015-01-11,晴,多云,2,-10,西南风 ≤3级 /西南风 3-4级
2015-01-12,多云,多云,2,-5,西南风 3-4级 /西南风 ≤3级
2015-01-13,小雪,小雪,2,-7,西南风 ≤3级 /西南风 ≤3级
2015-01-14,小雪,多云,0,-9,西南风 ≤3级 /西风 ≤3级
2015-01-15,阴,多云,-2,-12,西南风 ≤3级 /西风 3-4级
2015-01-16,晴,晴,-5,-11,西北风 ≤3级 /西风 ≤3级
2015-01-17,小雪,小雪,-3,-9,西风 3-4级 /西风 3-4级
2015-01-18,小雪,晴,-3,-12,北风 ≤3级 /西北风 4-5级
2015-01-19,晴,多云,-1,-11,西南风 ≤3级 /西南风 ≤3级
2015-01-20,多云,晴,-3,-15,北风 3-4级 /西北风 ≤3级
2015-01-21,晴,晴,-4,-13,西南风 ≤3级 /西南风 3-4级
2015-01-22,晴,多云,-2,-11,西南风 ≤3级 /西风 3-4级
2015-01-23,多云,多云,1,-10,东北风 ≤3级 /东风 ≤3级
2015-01-24,小雪,多云,0,-8,东南风 3-4级 /西南风 ≤3级
2015-01-25,多云,多云,0,-9,西风 ≤3级 /西南风 ≤3级
2015-01-26,多云,晴,-5,-17,东北风 ≤3级 /东北风 ≤3级
2015-01-27,多云,小雪,-5,-13,东北风 ≤3级 /东南风 4-5级
2015-01-28,小雪,小雪,-2,-11,西北风 3-4级 /西南风 3-4级
2015-01-29,多云,晴,-6,-17,无持续风向 ≤3级 /西北风 ≤3级
2015-01-30,晴,晴,-6,-15,西北风 ≤3级 /东风 ≤3级
2015-01-31,多云,多云,-4,-13,东风 ≤3级 /北风 ≤3级
2015-02-01,小雪,小雪,-2,-9,无持续风向 ≤3级 /西南风 3-4级
2015-02-02,小雪,小雪,-1,-9,西南风 ≤3级 /西北风 3-4级
2015-02-03,多云,晴,-1,-14,北风 ≤3级 /西北风 ≤3级
2015-02-04,晴,晴,-2,-14,西北风 ≤3级 /西北风 ≤3级
2015-02-05,晴,多云,-1,-12,无持续风向 ≤3级 /北风 ≤3级
2015-02-06,多云,多云,-1,-10,西北风 ≤3级 /西北风 3-4级
2015-02-07,晴,晴,-4,-15,北风 3-4级 /东北风 3-4级
2015-02-08,晴,晴,-2,-14,西风 ≤3级 /西风 ≤3级
2015-02-09,晴,晴,0,-10,无持续风向 ≤3级 /西风 ≤3级
2015-02-10,多云,晴,1,-11,西北风 ≤3级 /北风 ≤3级
2015-02-11,晴,多云,0,-11,西北风 ≤3级 /西北风 3-4级
2015-02-12,多云,晴,2,-9,西北风 ≤3级 /西风 3-4级
2015-02-13,晴,晴,4,-8,无持续风向 ≤3级 /西南风 ≤3级
2015-02-14,晴,多云,5,-4,西北风 ≤3级 /西南风 3-4级
2015-02-15,多云,晴,5,-9,西风 ≤3级 /西风 ≤3级
2015-02-16,晴,晴,4,-8,西风 ≤3级 /北风 ≤3级
2015-02-17,晴,晴,5,-8,东风 ≤3级 /东风 4-5级
2015-02-18,多云,多云,5,-6,南风 4-5级 /南风 ≤3级
2015-02-19,雨夹雪,小雪,4,-2,无持续风向 ≤3级 /西南风 3-4级
2015-02-20,中雪,小雪,2,-8,西风 3-4级 /西风 3-4级
2015-02-21,多云,晴,-3,-15,西北风 3-4级 /北风 ≤3级
2015-02-22,晴,晴,-5,-15,西北风 4-5级 /西风 3-4级
2015-02-23,晴,多云,-3,-10,无持续风向 ≤3级 /西北风 3-4级
2015-02-24,小雪,多云,1,-11,西风 ≤3级 /西风 ≤3级
2015-02-25,晴,多云,-4,-14,西风 ≤3级 /西北风 3-4级
2015-02-26,晴,多云,-3,-10,无持续风向 ≤3级 /南风 ≤3级
2015-02-27,中雪,小雪,-1,-6,西南风 ≤3级 /南风 3-4级
2015-02-28,多云,晴,0,-12,西风 3-4级 /西北风 3-4级
2015-03-01,晴,晴,1,-8,西南风 ≤3级 /北风 3-4级
2015-03-02,阴,多云,1,-12,北风 3-4级 /西北风 3-4级
2015-03-03,晴,晴,-3,-14,无持续风向 ≤3级 /西风 ≤3级
2015-03-04,晴,晴,0,-10,西风 3-4级 /西风 3-4级
2015-03-05,晴,晴,5,-7,南风 3-4级 /西南风 3-4级
2015-03-06,晴,晴,7,-7,西南风 ≤3级 /北风 3-4级
2015-03-07,晴,多云,7,-4,无持续风向 ≤3级 /西北风 4-5级
2015-03-08,多云,晴,2,-13,无持续风向 ≤3级 /北风 ≤3级
2015-03-09,晴,晴,-1,-11,西北风 ≤3级 /北风 3-4级
2015-03-10,晴,晴,2,-10,西南风 ≤3级 /西北风 ≤3级
2015-03-11,晴,晴,5,-6,西风 3-4级 /西北风 3-4级
2015-03-12,晴,多云,8,-6,西风 3-4级 /西北风 4-5级
2015-03-13,多云,多云,7,-3,西南风 4-5级 /西风 3-4级
2015-03-14,晴,晴,7,-5,西风 ≤3级 /西风 4-5级
2015-03-15,晴,多云,11,0,西风 3-4级 /西南风 3-4级
2015-03-16,晴,晴,14,0,西风 ≤3级 /西南风 ≤3级
2015-03-17,多云,多云,12,0,南风 ≤3级 /北风 ≤3级
2015-03-18,晴,多云,14,-2,西北风 ≤3级 /西北风 3-4级
2015-03-19,多云,晴,12,-2,西风 ≤3级 /西风 ≤3级
2015-03-20,晴,晴,12,-4,西风 ≤3级 /西风 3-4级
2015-03-21,晴,晴,9,-4,东风 ≤3级 /西北风 3-4级
2015-03-22,晴,晴,11,-3,东北风 3-4级 /北风 3-4级
2015-03-23,晴,晴,9,-2,无持续风向 ≤3级 /北风 ≤3级
2015-03-24,晴,晴,12,0,西南风 ≤3级 /西南风 4-5级
2015-03-25,多云,多云,14,1,西南风 ≤3级 /西南风 ≤3级
2015-03-26,晴,多云,14,1,无持续风向 ≤3级 /西风 4-5级
2015-03-27,浮尘,晴,14,1,西南风 3-4级 /西北风 4-5级
2015-03-28,晴,晴,14,1,西北风 3-4级 /西南风 3-4级
2015-03-29,晴,多云,19,5,西风 3-4级 /南风 3-4级
2015-03-30,多云,多云,17,2,东北风 3-4级 /东北风 3-4级
2015-03-31,阴,多云,18,6,东风 ≤3级 /东风 3-4级
2015-04-01,大雨,小雨,16,3,无持续风向 ≤3级 /南风 ≤3级
2015-04-02,多云,晴,13,1,西风 ≤3级 /西风 ≤3级
2015-04-03,小雨,小雨,10,2,东南风 3-4级 /东风 3-4级
2015-04-04,阴,晴,13,-4,东风 3-4级 /东风 3-4级
2015-04-05,晴,多云,6,-2,东风 3-4级 /北风 ≤3级
2015-04-06,晴,晴,8,-2,北风 ≤3级 /北风 ≤3级
2015-04-07,晴,多云,9,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-08,小雨,多云,11,1,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-09,多云,多云,12,1,西南风 ≤3级 /西南风 ≤3级
2015-04-10,阴,多云,14,1,北风 ≤3级 /北风 ≤3级
2015-04-11,阴,多云,9,-3,西风 4-5级 /北风 3-4级
2015-04-12,晴,晴,7,-4,北风 3-4级 /北风 3-4级
2015-04-13,晴,晴,9,1,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-14,晴,多云,17,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-15,多云,多云,14,-1,北风 ≤3级 /北风 3-4级
2015-04-16,晴,晴,14,1,西北风 3-4级 /西北风 3-4级
2015-04-17,多云,多云,19,7,东南风 ≤3级 /东风 ≤3级
2015-04-18,小雨,多云,15,4,东南风 ≤3级 /东南风 3-4级
2015-04-19,多云,晴,13,1,东风 ≤3级 /东风 ≤3级
2015-04-20,晴,晴,16,4,西北风 ≤3级 /西北风 ≤3级
2015-04-21,晴,晴,17,5,西风 ≤3级 /西南风 4-5级
2015-04-22,多云,晴,21,6,西南风 ≤3级 /西南风 ≤3级
2015-04-23,晴,晴,20,4,东北风 ≤3级 /北风 ≤3级
2015-04-24,晴,晴,21,7,东北风 ≤3级 /西风 ≤3级
2015-04-25,晴,晴,24,9,西南风 ≤3级 /西南风 ≤3级
2015-04-26,多云,多云,24,11,西南风 ≤3级 /西南风 4-5级
2015-04-27,晴,晴,27,8,西北风 ≤3级 /北风 ≤3级
2015-04-28,晴,晴,23,10,东风 3-4级 /西风 ≤3级
2015-04-29,晴,多云,27,12,西风 ≤3级 /西风 ≤3级
2015-04-30,多云,小雨,25,15,西南风 3-4级 /西南风 3-4级
2015-05-01,多云,晴,22,9,西风 3-4级 /北风 3-4级
2015-05-02,晴,多云,25,7,北风 3-4级 /西北风 3-4级
2015-05-03,晴,晴,14,2,北风 ≤3级 /北风 ≤3级
2015-05-04,晴,多云,19,4,西南风 ≤3级 /西北风 3-4级
2015-05-05,晴,多云,20,5,西北风 3-4级 /西北风 3-4级
2015-05-06,小雨,晴,18,4,西北风 3-4级 /西风 3-4级
2015-05-07,多云,多云,20,7,西风 ≤3级 /西风 ≤3级
2015-05-08,多云,晴,20,8,东风 ≤3级 /西风 3-4级
2015-05-09,多云,小雨,23,10,南风 3-4级 /南风 3-4级
2015-05-10,小雨,多云,15,2,北风 ≤3级 /西北风 3-4级
2015-05-11,小雨,小雨,14,3,北风 ≤3级 /西北风 3-4级
2015-05-12,晴,多云,23,9,西风 3-4级 /西风 3-4级
2015-05-13,多云,晴,22,6,北风 ≤3级 /北风 ≤3级
2015-05-14,多云,晴,22,6,东南风 3-4级 /西北风 3-4级
2015-05-15,晴,晴,19,5,西北风 3-4级 /西北风 3-4级
2015-05-16,晴,晴,25,11,西风 3-4级 /西南风 4-5级
2015-05-17,多云,多云,23,8,西风 ≤3级 /西风 4-5级
2015-05-18,多云,多云,20,8,西风 4-5级 /北风 3-4级
2015-05-19,晴,晴,20,5,北风 ≤3级 /北风 ≤3级
2015-05-20,晴,多云,23,7,南风 ≤3级 /南风 3-4级
2015-05-21,多云,多云,24,9,西风 3-4级 /西北风 3-4级
2015-05-22,多云,多云,25,12,西北风 ≤3级 /西北风 ≤3级
2015-05-23,晴,晴,27,12,西风 ≤3级 /西北风 ≤3级
2015-05-24,多云,晴,29,13,无持续风向 ≤3级 /西南风 ≤3级
2015-05-25,晴,晴,30,15,西南风 ≤3级 /西南风 3-4级
2015-05-26,多云,多云,30,15,西南风 ≤3级 /西南风 3-4级
2015-05-27,晴,多云,31,16,西风 4-5级 /北风 3-4级
2015-05-28,阴,多云,25,15,西北风 ≤3级 /北风 ≤3级
2015-05-29,多云,晴,24,12,西风 ≤3级 /西风 ≤3级
2015-05-30,多云,晴,25,12,西风 ≤3级 /西风 ≤3级
2015-05-31,多云,多云,29,15,西风 ≤3级 /西风 3-4级
2015-06-01,多云,晴,28,13,北风 ≤3级 /西北风 ≤3级
2015-06-02,晴,多云,24,11,东北风 3-4级 /东风 3-4级
2015-06-03,阴,小雨,24,11,西北风 ≤3级 /西北风 ≤3级
2015-06-04,多云,多云,21,8,西南风 ≤3级 /西风 4-5级
2015-06-05,多云,阵雨,25,9,北风 ≤3级 /北风 3-4级
2015-06-06,晴,晴,22,8,西风 3-4级 /西北风 3-4级
2015-06-07,多云,晴,19,8,西北风 3-4级 /西北风 3-4级
2015-06-08,晴,多云,26,11,西风 3-4级 /西南风 3-4级
2015-06-09,小雨,小雨,22,14,西南风 3-4级 /西风 3-4级
2015-06-10,小雨,阵雨,21,10,西风 ≤3级 /西北风 3-4级
2015-06-11,晴,阵雨,24,10,北风 3-4级 /西北风 3-4级
2015-06-12,多云,小雨,20,12,北风 ≤3级 /北风 ≤3级
2015-06-13,小雨,多云,22,12,无持续风向 ≤3级 /东风 ≤3级
2015-06-14,多云,阴,26,14,东南风 3-4级 /无持续风向 ≤3级
2015-06-15,多云,小雨,28,14,西南风 3-4级 /无持续风向 ≤3级
