date,weather_1,weather_2,high,low,wind
2015-01-01,晴,多云,-14,-24,西风 3-4级 /西风 ≤3级
2015-01-02,晴,晴,-14,-22,西风 3-4级 /西风 ≤3级
2015-01-03,晴,多云,-8,-13,西南风 3-4级 /西南风 ≤3级
2015-01-04,晴,阵雪,-8,-17,南风 ≤3级 /西南风 ≤3级
2015-01-05,多云,多云,-7,-20,西风 4-5级 /西北风 3-4级
2015-01-06,晴,晴,-14,-23,西北风 3-4级 /西北风 3-4级
2015-01-07,晴,晴,-14,-26,西北风 ≤3级 /西风 ≤3级
2015-01-08,晴,晴,-13,-23,西风 ≤3级 /西风 ≤3级
2015-01-09,多云,晴,-11,-22,西风 ≤3级 /西南风 ≤3级
2015-01-10,晴,晴,-14,-24,北风 3-4级 /北风 ≤3级
2015-01-11,晴,晴,-14,-25,西北风 ≤3级 /西北风 ≤3级
2015-01-12,晴,晴,-11,-19,南风 3-4级 /南风 ≤3级
2015-01-13,晴,多云,-6,-20,南风 3-4级 /南风 ≤3级
2015-01-14,晴,晴,-10,-22,西北风 ≤3级 /西北风 ≤3级
2015-01-15,多云,多云,-11,-22,北风 ≤3级 /西北风 ≤3级
2015-01-16,晴,多云,-13,-22,西北风 ≤3级 /西风 ≤3级
2015-01-17,晴,晴,-11,-20,西南风 ≤3级 /西南风 ≤3级
2015-01-18,多云,阵雪,-10,-21,北风 3-4级 /东北风 ≤3级
2015-01-19,多云,晴,-11,-22,西风 ≤3级 /西风 ≤3级
2015-01-20,晴,多云,-10,-22,西南风 ≤3级 /西南风 ≤3级
2015-01-21,多云,晴,-9,-24,南风 ≤3级 /西风 ≤3级
2015-01-22,晴,晴,-9,-19,南风 ≤3级 /西南风 ≤3级
2015-01-23,多云,多云,-6,-17,东南风 ≤3级 /北风 ≤3级
2015-01-24,晴,晴,-8,-18,西北风 ≤3级 /西风 ≤3级
2015-01-25,多云,多云,-6,-16,西南风 ≤3级 /南风 ≤3级
2015-01-26,多云,多云,-8,-24,西南风 3-4级 /西风 ≤3级
2015-01-27,多云,晴,-14,-24,西风 3-4级 /西风 ≤3级
2015-01-28,晴,晴,-12,-19,西南风 ≤3级 /西南风 ≤3级
2015-01-29,多云,多云,-9,-22,西南风 3-4级 /西南风 ≤3级
