date,weather_1,weather_2,high,low,wind
2015-01-01,晴,晴,-12,-21,西风 3-4级 /西北风 ≤3级
2015-01-02,晴,晴,-12,-17,西北风 3-4级 /西北风 ≤3级
2015-01-03,晴,多云,-5,-16,东南风 3-4级 /东南风 ≤3级
2015-01-04,晴,多云,-8,-15,东南风 ≤3级 /南风 3-4级
2015-01-05,阵雪,多云,-6,-18,西风 4-5级 /西风 4-5级
2015-01-06,晴,晴,-12,-20,西北风 4-5级 /西北风 4-5级
2015-01-07,晴,晴,-11,-17,西北风 ≤3级 /西北风 ≤3级
2015-01-08,晴,多云,-10,-17,西风 3-4级 /西北风 ≤3级
2015-01-09,多云,多云,-9,-16,西风 3-4级 /西风 ≤3级
2015-01-10,多云,晴,-9,-21,西北风 3-4级 /北风 3-4级
2015-01-11,晴,晴,-10,-17,北风 3-4级 /西风 ≤3级
2015-01-12,晴,晴,-6,-16,南风 3-4级 /南风 3-4级
2015-01-13,晴,晴,-6,-17,东北风 ≤3级 /东北风 ≤3级
2015-01-14,晴,晴,-9,-18,北风 3-4级 /东北风 ≤3级
2015-01-15,晴,晴,-10,-17,北风 3-4级 /西北风 ≤3级
2015-01-16,晴,晴,-9,-17,西北风 3-4级 /西北风 3-4级
2015-01-17,晴,晴,-8,-17,西风 3-4级 /西南风 ≤3级
2015-01-18,多云,阴,-9,-18,西南风 3-4级 /东北风 3-4级
2015-01-19,晴,多云,-10,-18,北风 ≤3级 /西北风 ≤3级
2015-01-20,多云,多云,-9,-17,东风 ≤3级 /西北风 ≤3级
2015-01-21,多云,晴,-9,-18,西北风 ≤3级 /西风 ≤3级
2015-01-22,晴,晴,-7,-17,西北风 ≤3级 /东南风 3-4级
2015-01-23,多云,多云,-7,-18,西风 3-4级 /西北风 ≤3级
2015-01-24,多云,多云,-7,-16,东南风 3-4级 /东南风 ≤3级
2015-01-25,多云,阴,-6,-17,东南风 3-4级 /南风 ≤3级
2015-01-26,多云,晴,-12,-19,西风 4-5级 /西风 ≤3级
2015-01-27,晴,晴,-13,-19,西风 4-5级 /西北风 ≤3级
2015-01-28,晴,多云,-9,-18,西风 ≤3级 /南风 ≤3级
2015-01-29,多云,多云,-8,-20,西风 3-4级 /西北风 3-4级
2015-01-30,晴,晴,-10,-18,西风 3-4级 /西北风 ≤3级
2015-01-31,晴,晴,-8,-15,西南风 ≤3级 /西风 ≤3级
2015-02-01,晴,晴,-5,-15,南风 ≤3级 /西风 ≤3级
2015-02-02,晴,晴,-4,-17,东北风 3-4级 /西北风 ≤3级
2015-02-03,多云,多云,-8,-16,北风 ≤3级 /北风 ≤3级
2015-02-04,多云,晴,-6,-16,北风 3-4级 /北风 ≤3级
2015-02-05,晴,晴,-4,-13,北风 3-4级 /西南风 3-4级
2015-02-06,晴,多云,-2,-19,西风 4-5级 /西北风 3-4级
2015-02-07,晴,多云,-15,-23,西北风 4-5级 /西风 3-4级
2015-02-08,晴,晴,-14,-20,西北风 4-5级 /西北风 3-4级
2015-02-09,晴,晴,-10,-21,西北风 3-4级 /东风 ≤3级
2015-02-10,晴,多云,-8,-18,西风 3-4级 /西风 ≤3级
2015-02-11,阴,晴,-6,-15,北风 ≤3级 /北风 4-5级
2015-02-12,多云,多云,-5,-13,北风 4-5级 /西北风 ≤3级
2015-02-13,晴,多云,-2,-13,东北风 3-4级 /东北风 ≤3级
2015-02-14,晴,晴,0,-14,东北风 3-4级 /东北风 ≤3级
2015-02-15,晴,多云,0,-12,西北风 3-4级 /东风 ≤3级
2015-02-16,阴,阵雪,1,-7,东北风 3-4级 /北风 3-4级
2015-02-17,阵雪,晴,0,-9,北风 4-5级 /北风 4-5级
2015-02-18,晴,晴,-2,-12,西北风 ≤3级 /北风 ≤3级
2015-02-19,晴,晴,0,-8,南风 3-4级 /北风 ≤3级
2015-02-20,多云,多云,3,-3,南风 3-4级 /南风 ≤3级
2015-02-21,小雪,小雪,1,-3,南风 3-4级 /南风 3-4级
2015-02-22,小雪,小雪,-3,-9,西风 4-5级 /西北风 4-5级
2015-02-23,多云,晴,-6,-17,西北风 4-5级 /西风 3-4级
2015-02-24,晴,晴,-7,-18,西北风 ≤3级 /西风 ≤3级
2015-02-25,晴,晴,-9,-21,西北风 ≤3级 /西南风 ≤3级
2015-02-26,晴,晴,-7,-19,西北风 ≤3级 /西北风 ≤3级
2015-02-27,多云,多云,-4,-12,西南风 3-4级 /西南风 3-4级
2015-02-28,小雪,阵雪,-3,-13,南风 4-5级 /南风 3-4级
2015-03-01,多云,晴,-4,-15,南风 3-4级 /西北风 ≤3级
2015-03-02,多云,多云,-3,-17,西北风 ≤3级 /西风 ≤3级
2015-03-03,多云,多云,-3,-17,北风 3-4级 /西北风 ≤3级
2015-03-04,晴,晴,-6,-19,西北风 3-4级 /西北风 3-4级
2015-03-05,晴,晴,-1,-9,南风 3-4级 /南风 3-4级
2015-03-06,多云,多云,2,-9,西南风 3-4级 /西南风 3-4级
2015-03-07,晴,晴,0,-12,西风 3-4级 /西北风 ≤3级
2015-03-08,晴,多云,-3,-13,西北风 3-4级 /西风 ≤3级
2015-03-09,多云,多云,-8,-18,西北风 3-4级 /西北风 3-4级
2015-03-10,晴,晴,-6,-15,西风 3-4级 /西风 ≤3级
2015-03-11,多云,小雪,-4,-10,西风 4-5级 /西北风 3-4级
2015-03-12,阵雪,多云,-3,-9,西北风 3-4级 /西北风 3-4级
2015-03-13,多云,晴,1,-9,西北风 3-4级 /西北风 ≤3级
2015-03-14,晴,多云,4,-5,西北风 3-4级 /东南风 3-4级
