date,weather_1,weather_2,high,low,wind
2015-01-01,晴,晴,-2,-7,北风 6-7级 /西北风 5-6级
2015-01-02,晴,晴,-1,-4,西北风 5-6级 /北风 4-5级
2015-01-03,晴,晴,5,0,西南风 5-6级 /西风 4-5级
2015-01-04,晴,多云,6,0,西北风 4-5级 /东南风 4-5级
2015-01-05,雨夹雪,多云,5,-6,北风 6-7级 /北风 6-7级
2015-01-06,晴,晴,-2,-6,北风 6-7级 /北风 5-6级
2015-01-07,晴,晴,0,-6,北风 5-6级 /西北风 4-5级
2015-01-08,晴,晴,3,-2,西北风 4-5级 /西风 4-5级
2015-01-09,晴,晴,3,-2,西北风 4-5级 /西北风 4-5级
2015-01-10,晴,多云,5,-5,西风 5-6级 /北风 5-6级
2015-01-11,晴,晴,-1,-7,北风 5-6级 /北风 4-5级
2015-01-12,晴,晴,1,-3,北风 4-5级 /南风 4-5级
2015-01-13,多云,多云,5,-1,南风 4-5级 /南风 4-5级
2015-01-14,多云,多云,5,-4,东北风 4-5级 /西北风 4-5级
2015-01-15,多云,多云,1,-6,北风 4-5级 /北风 5-6级
2015-01-16,多云,晴,-4,-7,北风 6-7级 /北风 5-6级
2015-01-17,晴,晴,3,-2,西北风 4-5级 /西南风 5-6级
2015-01-18,阴,多云,3,-5,西南风 5-6级 /西北风 5-6级
2015-01-19,晴,晴,0,-5,西北风 5-6级 /北风 4-5级
2015-01-20,多云,大到暴雪,5,-3,南风 5-6级 /南风 5-6级
2015-01-21,小到中雪,多云,0,-6,北风 6-7级 /北风 6-7级
2015-01-22,晴,晴,2,-3,北风 5-6级 /西北风 4-5级
2015-01-23,晴,晴,5,-3,西南风 4-5级 /西南风 4-5级
2015-01-24,晴,雨夹雪,3,-2,北风 4-5级 /东风 4-5级
2015-01-25,多云,多云,4,-4,东北风 4-5级 /东北风 4-5级
2015-01-26,多云,多云,2,-9,北风 5-6级 /北风 5-6级
2015-01-27,晴,晴,-5,-9,北风 5-6级 /北风 5-6级
2015-01-28,晴,晴,-3,-7,北风 4-5级 /北风 4-5级
2015-01-29,多云,多云,0,-7,西北风 4-5级 /西北风 5-6级
2015-01-30,晴,晴,-3,-8,北风 5-6级 /北风 5-6级
2015-01-31,晴,晴,-1,-6,北风 4-5级 /西北风 4-5级
2015-02-01,晴,晴,3,-3,西风 4-5级 /西风 4-5级
2015-02-02,晴,多云,4,-2,西风 4-5级 /西风 4-5级
2015-02-03,多云,多云,4,-5,西风 4-5级 /西北风 4-5级
2015-02-04,晴,晴,-1,-5,西北风 5-6级 /北风 5-6级
2015-02-05,晴,晴,0,-3,北风 5-6级 /西北风 5-6级
2015-02-06,多云,多云,5,-6,西南风 4-5级 /北风 6-7级
2015-02-07,晴,晴,-2,-10,北风 6-7级 /北风 6-7级
2015-02-08,晴,晴,-5,-8,北风 6-7级 /西北风 5-6级
2015-02-09,晴,晴,3,-1,西风 5-6级 /西风 5-6级
2015-02-10,晴,晴,6,-4,西风 5-6级 /北风 4-5级
