date,weather_1,weather_2,high,low,wind
2015-01-01,晴,晴,3,-12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-02,多云,晴,5,-10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-03,晴,晴,10,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-04,多云,多云,10,-5,无持续风向 ≤3级 /西北风 3-4级
2015-01-05,多云,晴,6,-10,西北风 3-4级 /西北风 ≤3级
2015-01-06,多云,多云,2,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-07,晴,晴,5,-10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-08,晴,晴,6,-9,西北风 ≤3级 /西北风 3-4级
2015-01-09,晴,晴,7,-11,西北风 ≤3级 /无持续风向 ≤3级
2015-01-10,晴,晴,8,-10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-11,晴,晴,7,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-12,多云,阴,7,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-13,阴,多云,5,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-14,晴,多云,7,-8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-15,多云,晴,5,-9,西风 3-4级 /西北风 4-5级
2015-01-16,晴,晴,4,-11,西北风 3-4级 /无持续风向 ≤3级
2015-01-17,多云,多云,3,-8,无持续风向 ≤3级 /西北风 3-4级
2015-01-18,多云,晴,4,-12,西北风 3-4级 /无持续风向 ≤3级
2015-01-19,晴,多云,7,-7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-20,多云,晴,6,-9,西北风 3-4级 /西北风 3-4级
2015-01-21,晴,晴,4,-12,西北风 3-4级 /无持续风向 ≤3级
2015-01-22,晴,晴,6,-10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-23,晴,阴,8,-7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-24,雨夹雪,阴,3,-7,无持续风向 ≤3级 /北风 ≤3级
2015-01-25,阴,多云,6,-7,无持续风向 ≤3级 /西北风 ≤3级
2015-01-26,多云,多云,4,-8,西北风 4-5级 /西北风 4-5级
2015-01-27,多云,阴,2,-7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-28,小雪,小雪,0,-7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-29,多云,晴,0,-13,西北风 3-4级 /西北风 3-4级
2015-01-30,晴,晴,1,-14,无持续风向 ≤3级 /北风 ≤3级
2015-01-31,多云,多云,1,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-01,多云,多云,2,-8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-02,多云,多云,4,-8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-03,多云,晴,3,-13,西北风 ≤3级 /西北风 4-5级
2015-02-04,晴,晴,3,-11,西北风 3-4级 /西北风 3-4级
2015-02-05,晴,多云,5,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-06,多云,多云,5,-8,无持续风向 ≤3级 /西北风 4-5级
2015-02-07,晴,晴,2,-11,西北风 4-5级 /西北风 3-4级
2015-02-08,晴,晴,2,-11,西北风 3-4级 /西北风 ≤3级
2015-02-09,晴,晴,6,-8,西北风 ≤3级 /无持续风向 ≤3级
2015-02-10,晴,晴,8,-7,无持续风向 ≤3级 /西北风 3-4级
2015-02-11,多云,晴,8,-7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-12,晴,晴,9,-5,无持续风向 ≤3级 /北风 ≤3级
2015-02-13,晴,晴,11,-6,西北风 ≤3级 /无持续风向 ≤3级
2015-02-14,晴,多云,14,-1,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-15,晴,晴,10,-8,西北风 3-4级 /西北风 3-4级
2015-02-16,晴,晴,11,-6,无持续风向 ≤3级 /北风 3-4级
2015-02-17,晴,晴,10,-4,北风 ≤3级 /北风 ≤3级
2015-02-18,晴,多云,10,0,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-19,小雨,小雪,5,-1,无持续风向 ≤3级 /南风 ≤3级
2015-02-20,小雪,多云,5,-3,无持续风向 ≤3级 /西北风 3-4级
2015-02-21,晴,晴,5,-9,西北风 4-5级 /西北风 3-4级
2015-02-22,晴,晴,5,-9,西北风 3-4级 /无持续风向 ≤3级
2015-02-23,多云,晴,8,-7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-24,晴,晴,10,-3,西北风 ≤3级 /西北风 3-4级
2015-02-25,晴,晴,5,-8,西北风 4-5级 /西北风 3-4级
2015-02-26,多云,小雪,6,-4,西北风 3-4级 /西南风 3-4级
2015-02-27,小雪,小雪,1,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-28,多云,晴,3,-7,北风 3-4级 /无持续风向 ≤3级
2015-03-01,晴,晴,8,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-02,多云,晴,10,-5,西北风 3-4级 /西北风 4-5级
