date,weather_1,weather_2,high,low,wind
2015-01-01,晴,晴,6,-3,西北风 9-10级 /无持续风向 ≤3级
2015-01-02,晴,晴,10,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-03,晴,晴,14,4,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-04,晴,多云,20,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-05,多云,阴,23,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-06,阴,小雨,11,2,北风 3-4级 /北风 3-4级
2015-01-07,多云,晴,8,-1,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-08,晴,晴,10,0,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-09,晴,晴,12,2,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-10,多云,霾,13,4,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-11,晴,晴,16,3,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-12,多云,阴,11,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-13,小雨,大雨,11,7,无持续风向 ≤3级 /东北风 ≤3级
2015-01-14,小雨,阴,11,6,北风 4-5级 /北风 3-4级
2015-01-15,多云,多云,11,4,北风 ≤3级 /北风 ≤3级
2015-01-16,晴,晴,13,3,北风 ≤3级 /北风 3-4级
2015-01-17,晴,晴,9,2,东北风 3-4级 /东风 ≤3级
2015-01-18,多云,多云,13,3,西风 ≤3级 /西北风 3-4级
2015-01-19,晴,多云,12,2,北风 ≤3级 /东北风 ≤3级
2015-01-20,多云,小雨,13,6,东南风 ≤3级 /东南风 3-4级
2015-01-21,多云,多云,17,3,西风 3-4级 /西北风 3-4级
2015-01-22,晴,晴,9,0,北风 3-4级 /北风 ≤3级
2015-01-23,晴,晴,13,4,东南风 ≤3级 /东南风 ≤3级
2015-01-24,多云,多云,18,9,东南风 ≤3级 /南风 3-4级
2015-01-25,阴,阴,21,10,南风 ≤3级 /北风 ≤3级
2015-01-26,霾,霾,14,6,北风 3-4级 /北风 3-4级
2015-01-27,阴,小雨,9,4,北风 3-4级 /东北风 ≤3级
2015-01-28,小雨,小雨,6,4,东北风 ≤3级 /东北风 ≤3级
2015-01-29,小雨,小雨,7,4,东北风 ≤3级 /北风 3-4级
2015-01-30,阴,阴,6,1,北风 3-4级 /北风 ≤3级
2015-01-31,阴,阴,6,2,北风 ≤3级 /东北风 ≤3级
2015-02-01,阴,小雨,8,3,东北风 ≤3级 /东北风 ≤3级
2015-02-02,小雨,阴,7,5,东北风 ≤3级 /东北风 ≤3级
2015-02-03,阴,阴,8,4,东北风 ≤3级 /北风 ≤3级
2015-02-04,阴,多云,9,0,北风 ≤3级 /北风 3-4级
