date,weather_1,weather_2,high,low,wind
2015-01-01,晴,晴,19,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-02,晴,晴,20,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-03,晴,晴,21,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-04,多云,多云,23,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-05,阴,阴,23,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-06,小雨,小雨,24,14,无持续风向 ≤3级 /北风 3-4级
2015-01-07,多云,多云,17,10,北风 3-4级 /北风 3-4级
2015-01-08,多云,晴,18,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-09,多云,多云,19,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-10,多云,多云,19,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-11,小雨,小雨,17,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-12,中到大雨,中雨,12,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-13,小雨,多云,15,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-14,晴,晴,19,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-15,晴,晴,19,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-16,晴,晴,20,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-17,多云,晴,19,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-18,晴,晴,20,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-19,晴,晴,20,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-20,晴,多云,21,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-21,霾,霾,22,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-22,晴,晴,22,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-23,晴,多云,23,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-24,小雨,多云,21,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-25,多云,多云,23,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-26,多云,多云,25,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-27,多云,多云,24,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-28,多云,多云,21,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-29,多云,阴,21,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-30,阴,多云,17,8,北风 3-4级 /无持续风向 ≤3级
2015-01-31,多云,多云,17,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-01,多云,多云,17,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-02,晴,多云,19,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-03,多云,多云,21,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-04,多云,阴,19,9,无持续风向 ≤3级 /北风 3-4级
2015-02-05,阴,多云,14,7,北风 3-4级 /无持续风向 ≤3级
2015-02-06,多云,多云,17,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-07,多云,多云,17,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-08,多云,晴,18,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-09,晴,晴,18,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-10,晴,多云,19,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-11,多云,多云,20,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-12,霾,霾,22,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-13,霾,多云,24,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-14,阴,小雨,22,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-15,小雨,多云,22,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-16,多云,多云,25,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-17,多云,多云,23,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-18,多云,多云,24,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-19,小雨,阴,22,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-20,小雨,小雨,22,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-21,小雨,小雨,22,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-22,小雨,小到中雨,24,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-23,中雨,小到中雨,23,19,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-24,阵雨,阴,23,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-25,阴,阴,27,19,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-26,多云,阴,26,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-27,多云,阴,25,19,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-28,阴,小雨,25,13,无持续风向 ≤3级 /北风 3-4级
2015-03-01,阴,多云,17,13,北风 3-4级 /无持续风向 ≤3级
2015-03-02,多云,阴,20,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-03,小雨,小雨,18,12,无持续风向 ≤3级 /东北风 3-4级
2015-03-04,小雨,小雨,15,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-05,小雨,小雨,17,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-06,小雨,阴,16,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-07,阴,阴,18,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-08,多云,阴,22,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-09,阴,阴,21,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-10,小雨,小雨,19,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-11,小雨,小雨,17,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-12,小雨,多云,16,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-13,多云,多云,21,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-14,多云,阴,22,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-15,阴,阴,25,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-16,阴,阴,25,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-17,阴,阴,27,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-18,阴,阴,26,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-19,多云,多云,27,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-20,多云,多云,28,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-21,多云,阴,26,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-22,多云,阴,26,19,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-23,雷阵雨,阴,25,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-24,阴,阴,23,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-25,阴,阴,24,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-26,阴,阴,23,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-27,阴,多云,23,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-28,多云,多云,24,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-29,阵雨,阴,24,19,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-30,雷阵雨,雷阵雨,26,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-31,雷阵雨,多云,25,22,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-01,多云,阴,26,22,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-02,阴,多云,28,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-03,多云,多云,30,24,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-04,阵雨,多云,29,24,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-05,多云,多云,30,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-06,多云,多云,30,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-07,阵雨,阴,27,16,北风 3-4级 /北风 3-4级
2015-04-08,阴,阵雨,19,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-09,阴,阵雨,17,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-10,小雨,中雨,19,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-11,中到大雨,小雨,16,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-12,多云,多云,21,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-13,晴,晴,26,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-14,晴,晴,25,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-15,晴,晴,25,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-16,晴,多云,29,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-17,多云,多云,29,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-18,多云,阴,29,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-19,多云,中雨,31,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-20,大雨,中雨,26,18,无持续风向 ≤3级 /北风 3-4级
2015-04-21,小雨,多云,23,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-22,多云,多云,28,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-23,多云,多云,28,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-24,多云,多云,28,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-25,阵雨,阴,28,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-26,多云,多云,28,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-27,多云,多云,28,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-28,多云,阴,30,23,无持续风向 ≤3级 /无持续风向 ≤3级
