date,weather_1,weather_2,high,low,wind
2015-01-01,晴,晴,5,-5,无持续风向 ≤3级 /西南风 ≤3级
2015-01-02,晴,多云,8,-1,东风 ≤3级 /南风 ≤3级
2015-01-03,晴,晴,12,2,南风 ≤3级 /南风 ≤3级
2015-01-04,晴,多云,14,5,南风 ≤3级 /东南风 ≤3级
2015-01-05,小雨,阴,11,0,西北风 3-4级 /北风 4-5级
2015-01-06,多云,多云,5,-2,东北风 ≤3级 /东北风 ≤3级
2015-01-07,多云,晴,7,-3,西北风 ≤3级 /西风 ≤3级
2015-01-08,多云,晴,10,-1,西风 ≤3级 /西风 ≤3级
2015-01-09,多云,晴,11,-3,西北风 ≤3级 /东北风 ≤3级
2015-01-10,晴,晴,14,0,西南风 ≤3级 /西风 ≤3级
2015-01-11,晴,晴,11,-2,东北风 ≤3级 /东北风 ≤3级
2015-01-12,多云,阴,7,0,东风 ≤3级 /东南风 ≤3级
2015-01-13,阴,阴,7,1,东南风 ≤3级 /东风 ≤3级
2015-01-14,多云,多云,9,1,无持续风向 ≤3级 /北风 ≤3级
2015-01-15,多云,多云,10,2,南风 ≤3级 /西南风 ≤3级
2015-01-16,晴,晴,10,-4,北风 3-4级 /北风 ≤3级
2015-01-17,晴,多云,5,-1,东风 ≤3级 /无持续风向 ≤3级
2015-01-18,晴,晴,10,-3,西风 3-4级 /西北风 ≤3级
2015-01-19,晴,多云,11,1,东南风 ≤3级 /南风 ≤3级
2015-01-20,多云,阴,10,2,南风 ≤3级 /西北风 3-4级
2015-01-21,阴,多云,6,-4,北风 3-4级 /北风 ≤3级
2015-01-22,晴,晴,7,-3,北风 ≤3级 /南风 ≤3级
2015-01-23,晴,多云,11,0,南风 ≤3级 /东风 ≤3级
2015-01-24,小雨,小雨,8,4,东风 ≤3级 /北风 3-4级
2015-01-25,阴,多云,9,-2,北风 3-4级 /东北风 ≤3级
2015-01-26,多云,阴,9,-1,无持续风向 ≤3级 /东北风 3-4级
2015-01-27,阴,阴,3,-3,东北风 3-4级 /东北风 3-4级
2015-01-28,阴,小雪,2,-2,东风 3-4级 /东北风 ≤3级
2015-01-29,阴,多云,2,-3,西北风 ≤3级 /北风 ≤3级
2015-01-30,多云,多云,5,-4,北风 ≤3级 /北风 ≤3级
2015-01-31,多云,多云,3,-3,东北风 ≤3级 /东风 ≤3级
2015-02-01,多云,多云,4,-4,东南风 ≤3级 /东风 ≤3级
2015-02-02,多云,多云,6,-2,东风 ≤3级 /东风 ≤3级
2015-02-03,多云,多云,7,-2,西北风 ≤3级 /西北风 ≤3级
2015-02-04,多云,晴,8,-4,西北风 3-4级 /西北风 ≤3级
2015-02-05,晴,多云,8,-3,西北风 ≤3级 /无持续风向 ≤3级
2015-02-06,多云,多云,9,-1,西南风 3-4级 /西南风 ≤3级
2015-02-07,多云,多云,10,-4,东北风 3-4级 /东北风 3-4级
2015-02-08,晴,晴,4,-7,东北风 ≤3级 /东南风 ≤3级
2015-02-09,晴,晴,8,-2,西南风 ≤3级 /西南风 ≤3级
2015-02-10,晴,晴,12,1,西南风 ≤3级 /西南风 ≤3级
2015-02-11,晴,晴,12,-2,北风 3-4级 /东北风 ≤3级
2015-02-12,晴,多云,11,1,东风 ≤3级 /东风 ≤3级
2015-02-13,晴,晴,13,3,东南风 ≤3级 /无持续风向 ≤3级
2015-02-14,阴,小雨,18,9,东南风 3-4级 /南风 ≤3级
2015-02-15,小雨,阴,13,5,西北风 ≤3级 /西北风 ≤3级
2015-02-16,多云,晴,13,0,西北风 3-4级 /东风 ≤3级
2015-02-17,晴,晴,14,1,东风 ≤3级 /东风 ≤3级
2015-02-18,晴,晴,11,-1,东风 3-4级 /东风 ≤3级
2015-02-19,多云,小雨,8,3,东南风 ≤3级 /东风 ≤3级
2015-02-20,小雨,小雨,7,2,东风 ≤3级 /无持续风向 ≤3级
2015-02-21,多云,多云,12,2,西北风 ≤3级 /北风 ≤3级
2015-02-22,多云,多云,8,-1,北风 3-4级 /东北风 ≤3级
2015-02-23,多云,阴,9,1,东风 ≤3级 /南风 ≤3级
2015-02-24,多云,小雨,13,6,南风 3-4级 /无持续风向 ≤3级
2015-02-25,多云,多云,14,2,无持续风向 ≤3级 /北风 3-4级
2015-02-26,多云,多云,11,2,东北风 3-4级 /东风 3-4级
2015-02-27,阴,雨夹雪,6,1,东风 3-4级 /东风 3-4级
2015-02-28,阴,多云,5,0,北风 ≤3级 /西风 ≤3级
2015-03-01,晴,晴,12,2,西风 ≤3级 /西南风 3-4级
2015-03-02,晴,多云,14,3,西南风 3-4级 /西北风 4-5级
2015-03-03,晴,晴,10,-4,北风 4-5级 /东风 ≤3级
2015-03-04,多云,多云,7,-1,东风 ≤3级 /东南风 ≤3级
2015-03-05,阴,多云,7,-1,东风 ≤3级 /东南风 ≤3级
2015-03-06,多云,晴,11,0,东南风 ≤3级 /东南风 ≤3级
2015-03-07,晴,多云,13,4,东南风 ≤3级 /东南风 ≤3级
2015-03-08,阴,多云,12,4,东南风 ≤3级 /东北风 3-4级
2015-03-09,多云,多云,9,-4,东北风 4-5级 /东风 ≤3级
2015-03-10,晴,晴,8,-1,南风 ≤3级 /西南风 ≤3级
2015-03-11,多云,晴,13,1,西风 ≤3级 /东南风 ≤3级
2015-03-12,多云,多云,17,7,西南风 3-4级 /西南风 ≤3级
2015-03-13,多云,多云,18,5,东北风 ≤3级 /东风 3-4级
2015-03-14,多云,晴,15,3,东南风 ≤3级 /东南风 ≤3级
2015-03-15,多云,多云,18,8,东南风 ≤3级 /东南风 ≤3级
2015-03-16,多云,阴,18,10,东南风 ≤3级 /东南风 ≤3级
2015-03-17,小雨,中雨,14,9,东风 ≤3级 /东风 ≤3级
2015-03-18,阴,阴,14,7,北风 3-4级 /北风 ≤3级
2015-03-19,多云,阴,14,9,北风 ≤3级 /北风 ≤3级
2015-03-20,多云,阴,18,9,西北风 ≤3级 /无持续风向 ≤3级
2015-03-21,晴,晴,21,7,北风 ≤3级 /东南风 ≤3级
2015-03-22,晴,多云,20,6,东风 3-4级 /东风 ≤3级
2015-03-23,阴,晴,14,3,东风 ≤3级 /无持续风向 ≤3级
