date,weather_1,weather_2,high,low,wind
2015-01-01,多云,阴,12,5,南风 ≤3级 /南风 ≤3级
2015-01-02,阴,多云,10,3,南风 ≤3级 /南风 ≤3级
2015-01-03,多云,阴,11,1,南风 ≤3级 /南风 ≤3级
2015-01-04,阴,阴,9,5,北风 ≤3级 /北风 ≤3级
2015-01-05,小雨,阴,9,2,北风 ≤3级 /北风 ≤3级
2015-01-06,多云,多云,11,3,南风 ≤3级 /北风 ≤3级
2015-01-07,阴,小雨,9,5,北风 ≤3级 /北风 ≤3级
2015-01-08,阴,多云,11,2,南风 ≤3级 /南风 ≤3级
2015-01-09,多云,多云,12,2,北风 ≤3级 /北风 ≤3级
2015-01-10,多云,多云,11,4,北风 ≤3级 /北风 ≤3级
2015-01-11,多云,多云,12,3,北风 ≤3级 /北风 ≤3级
2015-01-12,多云,多云,13,2,北风 ≤3级 /北风 ≤3级
2015-01-13,多云,阴,11,5,北风 ≤3级 /北风 ≤3级
2015-01-14,阴,阴,10,5,北风 ≤3级 /北风 ≤3级
2015-01-15,阴,阴,11,4,北风 ≤3级 /南风 ≤3级
2015-01-16,阴,小雨,11,6,南风 ≤3级 /南风 ≤3级
2015-01-17,小雨,小雨,11,5,北风 ≤3级 /北风 ≤3级
2015-01-18,阴,多云,12,4,北风 ≤3级 /北风 ≤3级
2015-01-19,多云,多云,12,3,北风 ≤3级 /南风 ≤3级
2015-01-20,多云,多云,14,2,南风 ≤3级 /南风 ≤3级
2015-01-21,多云,多云,14,3,南风 ≤3级 /南风 ≤3级
2015-01-22,多云,多云,14,3,南风 ≤3级 /南风 ≤3级
2015-01-23,阴,阴,13,6,南风 ≤3级 /南风 ≤3级
2015-01-24,阴,多云,13,6,南风 ≤3级 /南风 ≤3级
2015-01-25,多云,多云,13,8,南风 ≤3级 /南风 ≤3级
2015-01-26,多云,阴,14,9,南风 ≤3级 /南风 ≤3级
2015-01-27,阴,阴,13,6,南风 ≤3级 /北风 ≤3级
2015-01-28,小雨,小雨,7,3,北风 ≤3级 /北风 ≤3级
2015-01-29,小雨,小雨,6,3,北风 ≤3级 /北风 ≤3级
2015-01-30,阴,小雨,7,2,北风 ≤3级 /北风 ≤3级
2015-01-31,小雨,阴,6,2,北风 ≤3级 /北风 ≤3级
2015-02-01,阴,阴,6,2,北风 ≤3级 /北风 ≤3级
2015-02-02,阴,多云,10,2,南风 ≤3级 /北风 ≤3级
2015-02-03,多云,多云,10,2,北风 ≤3级 /北风 ≤3级
2015-02-04,多云,多云,12,2,北风 ≤3级 /南风 ≤3级
2015-02-05,多云,多云,12,2,南风 ≤3级 /南风 ≤3级
2015-02-06,多云,阴,11,4,南风 ≤3级 /南风 ≤3级
2015-02-07,多云,多云,13,0,南风 ≤3级 /南风 ≤3级
2015-02-08,多云,阴,11,4,南风 ≤3级 /南风 ≤3级
2015-02-09,阴,阴,11,3,南风 ≤3级 /南风 ≤3级
2015-02-10,阴,多云,11,2,南风 ≤3级 /南风 ≤3级
2015-02-11,多云,多云,16,1,南风 ≤3级 /南风 ≤3级
2015-02-12,多云,多云,17,3,南风 ≤3级 /南风 ≤3级
2015-02-13,多云,阴,16,6,南风 ≤3级 /南风 ≤3级
2015-02-14,阴,多云,14,5,南风 ≤3级 /南风 ≤3级
2015-02-15,多云,多云,17,5,南风 ≤3级 /南风 ≤3级
2015-02-16,多云,多云,19,4,南风 ≤3级 /南风 ≤3级
2015-02-17,多云,阴,19,10,南风 ≤3级 /南风 ≤3级
2015-02-18,阴,阴,15,10,南风 ≤3级 /南风 ≤3级
2015-02-19,小雨,阴,15,10,南风 ≤3级 /北风 ≤3级
2015-02-20,多云,阴,17,11,北风 ≤3级 /南风 ≤3级
2015-02-21,多云,阴,16,10,南风 ≤3级 /南风 ≤3级
2015-02-22,阴,阴,16,8,南风 ≤3级 /南风 ≤3级
2015-02-23,阴,多云,14,8,南风 ≤3级 /南风 ≤3级
2015-02-24,多云,多云,17,6,南风 ≤3级 /南风 ≤3级
2015-02-25,多云,多云,16,9,南风 ≤3级 /南风 ≤3级
