date,weather_1,weather_2,high,low,wind
2015-01-01,多云,多云,15,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-02,多云,晴,18,4,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-03,晴,晴,19,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-04,晴,晴,22,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-05,晴,多云,22,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-06,多云,晴,20,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-07,晴,多云,20,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-08,多云,中雨,12,2,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-09,雨夹雪,中雪,8,1,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-10,中雪,雨夹雪,4,0,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-11,小雨,多云,5,0,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-12,晴,晴,12,0,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-13,晴,晴,13,0,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-14,晴,晴,14,2,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-15,晴,多云,17,1,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-16,多云,多云,17,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-17,多云,小到中雨,15,3,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-18,小雨,小雨,8,2,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-19,小雨,小雨,9,0,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-20,多云,晴,14,1,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-21,晴,晴,16,0,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-22,晴,晴,17,2,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-23,晴,晴,18,4,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-24,晴,晴,20,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-25,晴,晴,19,3,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-26,晴,晴,19,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-27,晴,晴,20,4,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-28,晴,晴,20,4,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-29,晴,晴,20,4,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-30,晴,晴,20,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-31,阵雨,阵雨,18,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-01,多云,多云,16,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-02,多云,晴,18,3,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-03,晴,晴,18,3,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-04,晴,多云,18,4,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-05,阴,多云,15,3,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-06,多云,晴,14,3,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-07,多云,多云,18,3,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-08,多云,多云,14,4,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-09,多云,晴,18,4,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-10,晴,多云,19,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-11,多云,晴,16,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-12,晴,多云,19,4,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-13,多云,阵雨,19,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-14,多云,多云,17,4,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-15,晴,阵雨,18,3,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-16,阵雨,晴,18,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-17,晴,晴,19,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-18,晴,晴,19,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-19,晴,晴,20,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-20,晴,晴,20,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-21,晴,晴,20,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-22,晴,晴,21,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-23,晴,晴,21,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-24,晴,晴,22,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-25,晴,晴,23,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-26,晴,晴,23,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-27,晴,晴,23,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-28,晴,晴,23,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-01,晴,晴,24,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-02,晴,晴,25,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-03,晴,晴,24,11,西南风 3-4级 /无持续风向 ≤3级
2015-03-04,晴,晴,23,10,西南风 3-4级 /无持续风向 ≤3级
2015-03-05,晴,晴,23,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-06,晴,晴,23,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-07,晴,晴,24,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-08,晴,晴,24,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-09,晴,晴,24,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-10,晴,晴,26,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-11,晴,晴,26,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-12,晴,晴,26,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-13,晴,晴,26,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-14,晴,晴,26,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-15,晴,晴,26,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-16,晴,晴,26,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-17,晴,晴,27,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-18,晴,晴,26,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-19,晴,晴,25,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-20,晴,晴,25,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-21,晴,多云,25,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-22,多云,多云,25,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-23,多云,小雨,24,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-24,小雨,阵雨,20,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-25,阵雨,阵雨,18,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-26,阵雨,多云,20,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-27,多云,多云,21,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-28,多云,多云,23,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-29,阵雨,晴,23,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-30,晴,晴,24,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-31,晴,多云,26,12,无持续风向 ≤3级 /西南风 3-4级
2015-04-01,晴,晴,26,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-02,晴,晴,26,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-03,多云,晴,24,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-04,晴,晴,25,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-05,晴,晴,26,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-06,晴,晴,25,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-07,晴,多云,25,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-08,多云,多云,24,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-09,多云,多云,26,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-10,中雨,小雨,22,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-11,小雨,阵雨,21,9,无持续风向 ≤3级 /无持续风向 ≤3级
