date,weather_1,weather_2,high,low,wind
2015-01-01,晴,晴,7,-2,北风 4-5级 /东北风 ≤3级
2015-01-02,晴,晴,9,0,东北风 ≤3级 /东风 ≤3级
2015-01-03,多云,晴,14,5,南风 ≤3级 /南风 ≤3级
2015-01-04,晴,晴,18,6,东南风 ≤3级 /东南风 ≤3级
2015-01-05,多云,阴,20,4,南风 ≤3级 /北风 4-5级
2015-01-06,小雨,雨夹雪,9,2,北风 4-5级 /北风 4-5级
2015-01-07,多云,多云,9,-1,北风 ≤3级 /北风 ≤3级
2015-01-08,晴,晴,10,0,北风 ≤3级 /北风 ≤3级
2015-01-09,晴,晴,12,2,南风 ≤3级 /东南风 ≤3级
2015-01-10,多云,多云,14,4,东南风 ≤3级 /东南风 ≤3级
2015-01-11,晴,晴,16,3,北风 ≤3级 /东北风 ≤3级
2015-01-12,多云,小雨,13,6,东北风 ≤3级 /东北风 ≤3级
2015-01-13,小雨,中雨,8,6,东风 ≤3级 /东北风 ≤3级
2015-01-14,小雨,阴,10,5,北风 ≤3级 /西北风 3-4级
2015-01-15,阴,多云,10,4,北风 ≤3级 /北风 ≤3级
2015-01-16,多云,晴,12,3,北风 3-4级 /北风 ≤3级
2015-01-17,多云,多云,10,2,东北风 ≤3级 /东北风 ≤3级
2015-01-18,晴,多云,11,2,东北风 ≤3级 /西北风 ≤3级
2015-01-19,晴,多云,13,3,南风 ≤3级 /东北风 ≤3级
2015-01-20,小雨,小雨,12,7,东南风 ≤3级 /东南风 ≤3级
2015-01-21,多云,多云,17,2,北风 ≤3级 /北风 4-5级
2015-01-22,晴,晴,11,0,无持续风向 ≤3级 /北风 ≤3级
2015-01-23,晴,多云,14,3,东南风 ≤3级 /东南风 ≤3级
2015-01-24,多云,小雨,18,10,东南风 ≤3级 /南风 ≤3级
2015-01-25,小雨,小雨,14,8,东北风 ≤3级 /东北风 ≤3级
2015-01-26,阴,小雨,13,5,东北风 ≤3级 /东北风 4-5级
2015-01-27,小雨,雨夹雪,5,1,东北风 4-5级 /东北风 4-5级
2015-01-28,雨夹雪,小雨,5,2,东北风 3-4级 /东北风 ≤3级
2015-01-29,小到中雨,雨夹雪,5,2,东北风 ≤3级 /北风 3-4级
2015-01-30,阴,阴,5,0,北风 4-5级 /北风 ≤3级
2015-01-31,多云,阴,6,2,北风 3-4级 /北风 ≤3级
2015-02-01,小雨,小雨,6,3,东北风 ≤3级 /东北风 ≤3级
2015-02-02,小雨,小雨,7,2,东北风 ≤3级 /东北风 ≤3级
2015-02-03,阴,小雨,6,4,东北风 ≤3级 /北风 ≤3级
2015-02-04,多云,多云,9,0,北风 3-4级 /北风 3-4级
2015-02-05,晴,晴,9,-1,北风 3-4级 /北风 ≤3级
2015-02-06,多云,多云,10,1,东北风 ≤3级 /东风 ≤3级
2015-02-07,多云,阴,12,2,东风 ≤3级 /北风 4-5级
