date,weather_1,weather_2,high,low,wind
2015-01-01,晴,多云,-8,-17,西北风 ≤3级 /北风 ≤3级
2015-01-02,晴,晴,-7,-15,西北风 ≤3级 /东南风 3-4级
2015-01-03,多云,多云,2,-11,西南风 5-6级 /西南风 ≤3级
2015-01-04,晴,多云,-2,-9,北风 ≤3级 /西南风 3-4级
2015-01-05,阵雪,晴,2,-18,西南风 4-5级 /北风 ≤3级
2015-01-06,晴,晴,-6,-21,西北风 ≤3级 /东风 ≤3级
2015-01-07,晴,晴,-7,-20,北风 ≤3级 /东北风 ≤3级
2015-01-08,晴,晴,-5,-19,东北风 ≤3级 /东南风 ≤3级
2015-01-09,晴,霾,-5,-17,西北风 ≤3级 /南风 ≤3级
2015-01-10,多云,多云,-1,-16,西南风 ≤3级 /北风 ≤3级
2015-01-11,晴,晴,-5,-20,北风 ≤3级 /东北风 ≤3级
2015-01-12,晴,霾,-3,-13,东北风 ≤3级 /东南风 ≤3级
2015-01-13,霾,多云,3,-10,南风 3-4级 /西南风 ≤3级
2015-01-14,多云,多云,0,-12,北风 ≤3级 /东北风 ≤3级
2015-01-15,霾,小雪,-5,-13,西北风 3-4级 /北风 3-4级
2015-01-16,多云,晴,-8,-20,北风 3-4级 /北风 ≤3级
2015-01-17,晴,多云,-5,-13,西北风 ≤3级 /西南风 3-4级
2015-01-18,中雪,小雪,0,-14,西南风 3-4级 /北风 ≤3级
2015-01-19,晴,晴,-6,-19,北风 ≤3级 /东风 ≤3级
2015-01-20,多云,小到中雪,0,-12,西南风 ≤3级 /东南风 3-4级
2015-01-21,多云,晴,-5,-19,北风 ≤3级 /东北风 ≤3级
2015-01-22,晴,霾,-4,-18,东北风 ≤3级 /东风 3-4级
2015-01-23,霾,霾,2,-15,西南风 ≤3级 /西风 ≤3级
2015-01-24,多云,多云,-4,-12,东北风 ≤3级 /东北风 ≤3级
2015-01-25,多云,多云,1,-12,西南风 ≤3级 /西风 3-4级
2015-01-26,阵雪,晴,-4,-20,东北风 3-4级 /北风 3-4级
2015-01-27,晴,晴,-9,-22,北风 ≤3级 /东风 ≤3级
2015-01-28,晴,多云,-7,-20,东风 ≤3级 /东风 ≤3级
2015-01-29,多云,晴,-3,-19,西南风 ≤3级 /西北风 ≤3级
2015-01-30,晴,晴,-6,-20,西北风 ≤3级 /北风 ≤3级
2015-01-31,晴,晴,-5,-20,西北风 ≤3级 /东风 ≤3级
2015-02-01,晴,霾,0,-16,西南风 ≤3级 /东南风 ≤3级
2015-02-02,霾,多云,2,-11,东北风 ≤3级 /东北风 ≤3级
2015-02-03,霾,多云,0,-12,东北风 ≤3级 /西北风 ≤3级
2015-02-04,多云,晴,-2,-15,西北风 ≤3级 /北风 ≤3级
2015-02-05,晴,晴,-3,-11,北风 ≤3级 /东风 ≤3级
2015-02-06,晴,多云,5,-13,西南风 ≤3级 /北风 3-4级
2015-02-07,晴,晴,-7,-20,北风 3-4级 /北风 3-4级
2015-02-08,晴,晴,-8,-17,北风 3-4级 /西风 ≤3级
2015-02-09,晴,晴,-2,-17,西风 ≤3级 /南风 ≤3级
2015-02-10,晴,晴,0,-14,西风 ≤3级 /东北风 ≤3级
2015-02-11,晴,多云,-3,-15,西风 ≤3级 /东北风 ≤3级
2015-02-12,晴,晴,-1,-13,北风 ≤3级 /西北风 ≤3级
2015-02-13,晴,霾,4,-6,西风 ≤3级 /南风 ≤3级
2015-02-14,晴,霾,8,-6,西南风 ≤3级 /西北风 ≤3级
2015-02-15,晴,小雨,8,-2,北风 ≤3级 /东南风 ≤3级
2015-02-16,大雪,小雪,1,-4,东北风 ≤3级 /东北风 4-5级
2015-02-17,多云,多云,0,-10,东北风 4-5级 /西北风 3-4级
2015-02-18,晴,霾,-1,-17,北风 3-4级 /北风 ≤3级
2015-02-19,多云,晴,1,-9,东北风 ≤3级 /东南风 ≤3级
2015-02-20,阴,小雪,6,-1,东南风 3-4级 /西风 3-4级
2015-02-21,雨夹雪,多云,4,-6,东南风 3-4级 /西南风 3-4级
2015-02-22,多云,多云,3,-12,南风 3-4级 /西北风 3-4级
2015-02-23,晴,晴,0,-13,西南风 ≤3级 /西南风 ≤3级
2015-02-24,晴,多云,1,-8,南风 ≤3级 /东南风 3-4级
2015-02-25,小雪,多云,0,-11,东北风 3-4级 /北风 ≤3级
2015-02-26,晴,晴,-2,-16,西北风 ≤3级 /北风 ≤3级
2015-02-27,晴,多云,-1,-14,北风 ≤3级 /东风 ≤3级
2015-02-28,小到中雪,小雪,1,-6,西南风 3-4级 /南风 3-4级
2015-03-01,晴,晴,3,-8,西北风 ≤3级 /东风 ≤3级
