date,weather_1,weather_2,high,low,wind
2015-01-01,晴,晴,4,-3,南风 ≤3级 /南风 ≤3级
2015-01-02,晴,晴,6,0,北风 ≤3级 /南风 3-4级
2015-01-03,晴,晴,12,3,南风 3-4级 /南风 ≤3级
2015-01-04,晴,小雨,13,3,南风 ≤3级 /南风 ≤3级
2015-01-05,阴,多云,8,-4,北风 3-4级 /北风 3-4级
2015-01-06,晴,多云,4,-3,北风 ≤3级 /北风 ≤3级
2015-01-07,多云,晴,6,-2,南风 ≤3级 /南风 ≤3级
2015-01-08,晴,晴,9,-1,南风 ≤3级 /南风 ≤3级
2015-01-09,晴,霾,8,-1,北风 ≤3级 /南风 ≤3级
2015-01-10,晴,晴,11,1,南风 3-4级 /南风 ≤3级
2015-01-11,霾,晴,8,-2,北风 ≤3级 /东北风 ≤3级
2015-01-12,晴,多云,8,-1,南风 ≤3级 /东南风 ≤3级
2015-01-13,多云,多云,7,-1,南风 ≤3级 /南风 ≤3级
2015-01-14,霾,多云,8,0,北风 ≤3级 /南风 ≤3级
2015-01-15,霾,霾,8,0,南风 ≤3级 /南风 ≤3级
2015-01-16,霾,晴,6,-4,北风 3-4级 /北风 ≤3级
2015-01-17,晴,多云,6,1,北风 ≤3级 /南风 3-4级
2015-01-18,晴,晴,9,-2,西南风 3-4级 /西北风 3-4级
2015-01-19,晴,多云,10,3,南风 3-4级 /南风 3-4级
2015-01-20,多云,雨夹雪,10,-1,南风 3-4级 /北风 ≤3级
2015-01-21,阴,晴,4,-5,北风 3-4级 /北风 ≤3级
2015-01-22,晴,晴,6,0,南风 ≤3级 /南风 3-4级
2015-01-23,晴,多云,11,0,南风 3-4级 /南风 ≤3级
2015-01-24,雨夹雪,雨夹雪,7,-1,东北风 ≤3级 /北风 ≤3级
2015-01-25,雾,雾,3,-1,北风 ≤3级 /北风 ≤3级
2015-01-26,雾,多云,5,-4,北风 ≤3级 /北风 3-4级
2015-01-27,多云,多云,1,-5,北风 ≤3级 /东北风 ≤3级
2015-01-28,多云,小雪,2,-4,东北风 ≤3级 /南风 ≤3级
2015-01-29,阴,多云,3,-5,南风 ≤3级 /北风 ≤3级
2015-01-30,晴,晴,2,-6,北风 ≤3级 /北风 ≤3级
2015-01-31,晴,多云,3,-5,南风 ≤3级 /南风 ≤3级
2015-02-01,多云,多云,5,-4,南风 ≤3级 /南风 ≤3级
2015-02-02,多云,多云,6,-3,南风 ≤3级 /南风 ≤3级
2015-02-03,多云,霾,6,-3,西南风 ≤3级 /北风 ≤3级
2015-02-04,晴,晴,4,-4,北风 3-4级 /北风 ≤3级
2015-02-05,晴,晴,6,-1,北风 ≤3级 /南风 ≤3级
2015-02-06,晴,多云,8,-1,南风 3-4级 /南风 3-4级
