date,weather_1,weather_2,high,low,wind
2015-01-01,晴,晴,3,-7,南风 ≤3级 /南风 ≤3级
2015-01-02,晴,晴,7,-5,北风 ≤3级 /南风 3-4级
2015-01-03,晴,晴,10,-2,南风 3-4级 /南风 3-4级
2015-01-04,多云,小雨,13,2,南风 ≤3级 /南风 3-4级
2015-01-05,小雨,多云,7,-5,北风 4-5级 /北风 4-5级
2015-01-06,多云,多云,2,-5,北风 3-4级 /北风 ≤3级
2015-01-07,多云,晴,5,-6,南风 ≤3级 /南风 ≤3级
2015-01-08,晴,晴,9,-6,南风 ≤3级 /南风 ≤3级
2015-01-09,晴,晴,7,-6,北风 ≤3级 /北风 ≤3级
2015-01-10,晴,晴,12,-4,南风 ≤3级 /南风 ≤3级
2015-01-11,晴,晴,7,-6,北风 ≤3级 /南风 3-4级
2015-01-12,晴,晴,7,-5,南风 ≤3级 /南风 ≤3级
2015-01-13,多云,多云,7,-3,南风 ≤3级 /南风 ≤3级
2015-01-14,多云,多云,9,-2,南风 ≤3级 /南风 ≤3级
2015-01-15,多云,多云,8,-2,南风 ≤3级 /北风 ≤3级
2015-01-16,晴,晴,6,-8,北风 3-4级 /北风 3-4级
2015-01-17,晴,多云,6,-3,北风 3-4级 /南风 ≤3级
2015-01-18,多云,晴,10,-6,南风 3-4级 /北风 3-4级
2015-01-19,晴,晴,9,-1,南风 ≤3级 /南风 ≤3级
2015-01-20,阴,雨夹雪,9,-2,南风 ≤3级 /南风 ≤3级
2015-01-21,小雪,晴,1,-8,东北风 3-4级 /北风 3-4级
2015-01-22,晴,晴,5,-6,南风 ≤3级 /南风 ≤3级
2015-01-23,晴,多云,11,-3,南风 ≤3级 /南风 ≤3级
2015-01-24,小雨,雨夹雪,8,-1,东北风 ≤3级 /北风 ≤3级
2015-01-25,多云,阴,4,-4,北风 ≤3级 /北风 ≤3级
2015-01-26,多云,多云,5,-5,北风 3-4级 /北风 3-4级
2015-01-27,晴,晴,2,-9,北风 ≤3级 /北风 ≤3级
2015-01-28,晴,阴,2,-5,北风 ≤3级 /南风 ≤3级
2015-01-29,多云,多云,2,-6,北风 ≤3级 /北风 3-4级
2015-01-30,晴,晴,2,-8,北风 3-4级 /北风 ≤3级
2015-01-31,晴,晴,3,-7,南风 ≤3级 /南风 ≤3级
2015-02-01,多云,多云,5,-6,南风 ≤3级 /南风 ≤3级
2015-02-02,多云,多云,6,-4,南风 ≤3级 /南风 ≤3级
2015-02-03,多云,多云,6,-4,南风 ≤3级 /北风 ≤3级
2015-02-04,晴,晴,4,-6,北风 ≤3级 /北风 3-4级
2015-02-05,晴,晴,4,-5,北风 ≤3级 /北风 ≤3级
2015-02-06,晴,多云,8,-4,南风 ≤3级 /南风 ≤3级
2015-02-07,多云,晴,4,-9,北风 3-4级 /北风 ≤3级
2015-02-08,晴,晴,2,-7,北风 ≤3级 /南风 3-4级
2015-02-09,晴,晴,7,-3,南风 3-4级 /西南风 3-4级
2015-02-10,晴,晴,12,-1,西南风 3-4级 /南风 ≤3级
2015-02-11,晴,晴,9,-5,北风 ≤3级 /北风 ≤3级
2015-02-12,晴,多云,7,-5,南风 ≤3级 /南风 ≤3级
2015-02-13,晴,晴,12,4,南风 ≤3级 /南风 3-4级
2015-02-14,多云,小雨,18,6,南风 3-4级 /南风 3-4级
2015-02-15,小雨,阴,9,3,南风 3-4级 /北风 ≤3级
2015-02-16,晴,晴,11,-2,北风 ≤3级 /北风 3-4级
2015-02-17,晴,晴,11,-4,北风 3-4级 /北风 ≤3级
2015-02-18,晴,晴,10,-6,北风 ≤3级 /北风 ≤3级
2015-02-19,多云,多云,10,2,南风 ≤3级 /南风 ≤3级
2015-02-20,小雨,小雨,7,2,南风 ≤3级 /南风 ≤3级
2015-02-21,多云,多云,10,-6,北风 ≤3级 /北风 3-4级
2015-02-22,多云,晴,7,-6,北风 3-4级 /北风 ≤3级
2015-02-23,晴,晴,8,-4,北风 ≤3级 /南风 3-4级
2015-02-24,多云,阴,13,3,南风 3-4级 /南风 3-4级
2015-02-25,多云,晴,10,-5,北风 3-4级 /北风 3-4级
2015-02-26,晴,晴,7,-4,北风 3-4级 /东北风 ≤3级
2015-02-27,多云,多云,7,-1,东北风 ≤3级 /东北风 ≤3级
2015-02-28,雨夹雪,晴,6,-3,东北风 ≤3级 /北风 ≤3级
2015-03-01,晴,晴,11,2,北风 ≤3级 /南风 3-4级
2015-03-02,晴,多云,16,-3,南风 3-4级 /南风 3-4级
2015-03-03,多云,晴,4,-7,北风 4-5级 /北风 3-4级
2015-03-04,晴,晴,6,-5,北风 ≤3级 /南风 ≤3级
2015-03-05,晴,晴,9,-1,南风 ≤3级 /南风 ≤3级
2015-03-06,晴,晴,12,3,南风 ≤3级 /南风 3-4级
2015-03-07,晴,晴,16,5,南风 3-4级 /南风 3-4级
2015-03-08,多云,多云,13,-2,南风 3-4级 /北风 4-5级
2015-03-09,晴,晴,6,-7,北风 3-4级 /北风 3-4级
2015-03-10,晴,晴,8,-3,南风 3-4级 /南风 3-4级
2015-03-11,晴,晴,12,-1,北风 ≤3级 /南风 ≤3级
2015-03-12,晴,晴,16,0,南风 ≤3级 /北风 ≤3级
2015-03-13,晴,晴,15,0,北风 ≤3级 /南风 3-4级
2015-03-14,晴,多云,17,4,南风 3-4级 /南风 3-4级
2015-03-15,多云,晴,19,8,南风 3-4级 /南风 3-4级
2015-03-16,晴,多云,23,7,南风 3-4级 /南风 3-4级
2015-03-17,小雨,阴,14,5,北风 3-4级 /北风 3-4级
2015-03-18,多云,多云,13,3,北风 ≤3级 /北风 ≤3级
2015-03-19,多云,多云,18,6,南风 ≤3级 /南风 ≤3级
2015-03-20,多云,多云,22,8,南风 ≤3级 /南风 ≤3级
2015-03-21,多云,晴,19,3,北风 ≤3级 /南风 3-4级
2015-03-22,多云,晴,10,0,北风 3-4级 /北风 3-4级
2015-03-23,晴,晴,16,3,北风 ≤3级 /南风 ≤3级
2015-03-24,晴,晴,19,6,南风 ≤3级 /南风 3-4级
2015-03-25,多云,多云,21,7,南风 3-4级 /南风 3-4级
2015-03-26,晴,晴,21,6,南风 3-4级 /南风 3-4级
2015-03-27,晴,晴,21,10,南风 3-4级 /南风 3-4级
2015-03-28,多云,多云,24,8,南风 ≤3级 /北风 3-4级
2015-03-29,晴,晴,24,13,南风 3-4级 /南风 3-4级
2015-03-30,多云,多云,27,7,南风 3-4级 /南风 3-4级
2015-03-31,小雨,小雨,21,6,北风 3-4级 /东风 3-4级
2015-04-01,小雨,中雨,12,5,北风 ≤3级 /北风 3-4级
2015-04-02,中雨,阴,9,4,北风 3-4级 /北风 ≤3级
2015-04-03,晴,多云,15,3,南风 ≤3级 /南风 ≤3级
2015-04-04,阴,多云,16,4,南风 ≤3级 /南风 ≤3级
