date,weather_1,weather_2,high,low,wind
2015-01-01,多云,晴,18,10,东北风 3-4级 /无持续风向 ≤3级
2015-01-02,多云,多云,22,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-03,晴,多云,21,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-04,多云,多云,22,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-05,多云,多云,23,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-06,多云,小雨,24,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-07,小雨,晴,20,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-08,晴,多云,20,11,东北风 3-4级 /无持续风向 ≤3级
2015-01-09,多云,多云,20,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-10,多云,多云,21,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-11,多云,小雨,18,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-12,大到暴雨,大雨,14,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-13,小雨,阴,15,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-14,多云,晴,18,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-15,晴,晴,19,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-16,晴,多云,21,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-17,晴,晴,20,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-18,多云,多云,21,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-19,晴,多云,21,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-20,多云,多云,22,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-21,多云,多云,22,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-22,晴,多云,22,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-23,多云,多云,23,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-24,多云,多云,20,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-25,多云,多云,22,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-26,多云,多云,25,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-27,多云,多云,24,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-28,多云,多云,22,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-29,多云,多云,22,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-30,多云,多云,20,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-31,晴,多云,21,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-01,多云,多云,19,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-02,多云,多云,19,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-03,多云,多云,22,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-04,多云,多云,20,11,无持续风向 ≤3级 /北风 3-4级
2015-02-05,多云,多云,17,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-06,多云,多云,16,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-07,多云,多云,19,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-08,多云,多云,20,11,无持续风向 ≤3级 /东北风 3-4级
2015-02-09,晴,多云,19,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-10,多云,多云,20,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-11,多云,多云,21,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-12,多云,多云,22,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-13,多云,多云,22,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-14,多云,小雨,24,17,无持续风向 ≤3级 /东风 ≤3级
2015-02-15,小雨,阴,22,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-16,多云,阴,25,18,无持续风向 ≤3级 /无持续风向 ≤3级
