date,weather_1,weather_2,high,low,wind
2015-01-01,多云,晴,-1,-4,西北风 6-7级 /西风 5-6级
2015-01-02,晴,晴,-1,-4,北风 5-6级 /西南风 3-4级
2015-01-03,晴,多云,7,1,西南风 4-5级 /南风 3-4级
2015-01-04,晴,多云,6,2,北风 3-4级 /南风 3-4级
2015-01-05,小雨,多云,7,-4,南风 3-4级 /东北风 6-7级
2015-01-06,晴,晴,3,-3,北风 6-7级 /西北风 3-4级
2015-01-07,晴,多云,3,-3,东北风 6-7级 /西北风 3-4级
2015-01-08,晴,晴,5,-2,西南风 3-4级 /西风 3-4级
2015-01-09,晴,多云,5,-2,西北风 3-4级 /西北风 4-5级
2015-01-10,多云,多云,8,-2,西南风 4-5级 /北风 4-5级
2015-01-11,晴,晴,1,-4,北风 4-5级 /北风 4-5级
2015-01-12,晴,晴,3,-2,北风 3-4级 /北风 3-4级
2015-01-13,多云,多云,5,0,南风 3-4级 /南风 3-4级
2015-01-14,阴,晴,5,-1,东北风 3-4级 /北风 3-4级
2015-01-15,晴,阵雪,3,-2,北风 3-4级 /西北风 3-4级
2015-01-16,阵雪,阴,3,-4,北风 5-6级 /北风 5-6级
2015-01-17,晴,多云,3,-2,西北风 3-4级 /西南风 5-6级
2015-01-18,阵雪,多云,6,-2,西南风 4-5级 /西北风 6-7级
2015-01-19,多云,晴,2,-3,西北风 5-6级 /西北风 4-5级
2015-01-20,阴,阴,7,1,南风 4-5级 /南风 4-5级
2015-01-21,雨夹雪,阴,4,-3,东南风 6-7级 /北风 5-6级
2015-01-22,晴,晴,3,-3,北风 4-5级 /西南风 3-4级
2015-01-23,晴,晴,7,0,西南风 3-4级 /西北风 3-4级
2015-01-24,多云,雨夹雪,5,1,东北风 3-4级 /东北风 3-4级
2015-01-25,雨夹雪,阴,4,0,东北风 3-4级 /北风 3-4级
2015-01-26,多云,阴,4,-4,北风 3-4级 /北风 6-7级
2015-01-27,多云,晴,-1,-6,北风 6-7级 /北风 5-6级
2015-01-28,晴,晴,-2,-5,北风 4-5级 /北风 3-4级
2015-01-29,多云,阵雪,2,-4,北风 3-4级 /北风 4-5级
2015-01-30,阵雪,晴,0,-4,北风 5-6级 /北风 5-6级
2015-01-31,晴,晴,0,-4,北风 4-5级 /西北风 3-4级
2015-02-01,晴,晴,2,-2,西北风 3-4级 /北风 3-4级
2015-02-02,晴,晴,4,-2,西北风 3-4级 /北风 3-4级
2015-02-03,多云,阵雪,3,-3,北风 3-4级 /北风 3-4级
2015-02-04,阵雪,多云,2,-3,北风 5-6级 /北风 5-6级
2015-02-05,晴,晴,1,-3,北风 5-6级 /西北风 4-5级
2015-02-06,晴,多云,7,-3,西南风 3-4级 /西南风 3-4级
2015-02-07,多云,阵雪,2,-6,东北风 6-7级 /北风 6-7级
2015-02-08,阵雪,多云,-3,-6,北风 5-6级 /西北风 4-5级
2015-02-09,晴,晴,4,0,西南风 4-5级 /西南风 4-5级
2015-02-10,晴,晴,8,-1,西风 4-5级 /西南风 3-4级
2015-02-11,多云,多云,4,-2,北风 4-5级 /东北风 3-4级
2015-02-12,晴,晴,3,-4,东北风 4-5级 /北风 3-4级
2015-02-13,晴,晴,7,1,西南风 3-4级 /南风 3-4级
2015-02-14,晴,多云,15,4,西南风 4-5级 /西南风 4-5级
2015-02-15,小雨,小雨,9,4,东北风 4-5级 /东风 4-5级
2015-02-16,雾,阴,6,0,西北风 5-6级 /北风 4-5级
2015-02-17,晴,晴,4,-1,北风 4-5级 /北风 4-5级
2015-02-18,晴,晴,3,-1,北风 4-5级 /北风 4-5级
2015-02-19,晴,多云,5,-1,北风 3-4级 /南风 3-4级
2015-02-20,阴,小雨,7,2,东南风 3-4级 /东南风 3-4级
2015-02-21,小雨,多云,5,-1,西北风 3-4级 /西风 6-7级
2015-02-22,晴,晴,4,-2,西北风 6-7级 /西北风 5-6级
2015-02-23,晴,晴,6,-2,西北风 3-4级 /西北风 3-4级
2015-02-24,晴,小雨,8,1,南风 3-4级 /南风 5-6级
2015-02-25,小雨,阴,8,-2,南风 6-7级 /北风 4-5级
2015-02-26,多云,晴,4,-3,北风 4-5级 /北风 4-5级
2015-02-27,晴,多云,2,-1,北风 3-4级 /北风 3-4级
2015-02-28,阴,阴,3,0,西南风 3-4级 /西南风 3-4级
2015-03-01,晴,晴,7,1,西北风 4-5级 /西南风 4-5级
2015-03-02,多云,雨夹雪,13,0,西南风 4-5级 /南风 5-6级
2015-03-03,阴,晴,2,-2,北风 6-7级 /北风 6-7级
2015-03-04,晴,晴,2,-3,北风 5-6级 /南风 3-4级
2015-03-05,晴,晴,5,-2,北风 3-4级 /南风 3-4级
2015-03-06,多云,晴,9,0,南风 4-5级 /西南风 5-6级
2015-03-07,晴,晴,13,3,南风 4-5级 /南风 4-5级
2015-03-08,多云,雨夹雪,10,-3,南风 4-5级 /北风 6-7级
2015-03-09,多云,晴,0,-3,北风 6-7级 /北风 6-7级
2015-03-10,晴,晴,4,-3,西北风 4-5级 /西风 4-5级
2015-03-11,晴,晴,5,-2,北风 4-5级 /南风 4-5级
2015-03-12,晴,多云,11,0,南风 3-4级 /东北风 3-4级
2015-03-13,晴,晴,6,-2,东北风 4-5级 /东北风 3-4级
2015-03-14,晴,多云,11,3,东南风 3-4级 /西南风 5-6级
2015-03-15,晴,晴,13,4,西风 4-5级 /南风 3-4级
2015-03-16,多云,多云,18,6,西南风 5-6级 /南风 5-6级
2015-03-17,多云,阴,11,3,东北风 5-6级 /东北风 3-4级
2015-03-18,多云,多云,8,3,东北风 3-4级 /东北风 3-4级
2015-03-19,多云,多云,13,7,西北风 3-4级 /西风 3-4级
2015-03-20,晴,多云,17,6,西风 3-4级 /西风 3-4级
2015-03-21,晴,晴,14,4,西北风 4-5级 /西北风 5-6级
