date,weather_1,weather_2,high,low,wind
2015-01-01,晴,晴,5,-3,西北风 4-5级 /西风 ≤3级
2015-01-02,晴,晴,8,0,西风 ≤3级 /东风 ≤3级
2015-01-03,多云,多云,12,4,东南风 3-4级 /南风 ≤3级
2015-01-04,多云,多云,15,7,南风 ≤3级 /南风 ≤3级
2015-01-05,多云,小雨,18,3,南风 3-4级 /西北风 5-6级
2015-01-06,小雨,雨夹雪,8,1,北风 5-6级 /北风 3-4级
2015-01-07,多云,多云,7,-1,北风 3-4级 /北风 ≤3级
2015-01-08,晴,晴,9,1,西北风 ≤3级 /西风 ≤3级
2015-01-09,多云,多云,11,3,西风 ≤3级 /西北风 3-4级
2015-01-10,多云,多云,13,3,西风 3-4级 /西风 ≤3级
2015-01-11,晴,晴,14,3,东北风 3-4级 /东北风 3-4级
2015-01-12,多云,阴,10,5,东风 3-4级 /东北风 4-5级
2015-01-13,小雨,小雨,9,6,东风 4-5级 /东北风 4-5级
2015-01-14,小雨,阴,9,5,北风 4-5级 /北风 3-4级
2015-01-15,多云,阴,10,4,北风 3-4级 /西北风 ≤3级
2015-01-16,多云,阴,11,2,西北风 ≤3级 /北风 4-5级
2015-01-17,多云,多云,7,0,北风 4-5级 /东风 ≤3级
2015-01-18,多云,多云,10,2,西南风 3-4级 /西风 4-5级
2015-01-19,晴,多云,10,3,北风 3-4级 /东南风 3-4级
2015-01-20,多云,阴,10,6,东南风 3-4级 /东南风 ≤3级
2015-01-21,多云,阴,13,3,西北风 4-5级 /北风 4-5级
2015-01-22,阴,多云,8,0,西北风 3-4级 /东风 ≤3级
2015-01-23,晴,多云,10,3,东南风 ≤3级 /东南风 3-4级
2015-01-24,多云,多云,16,9,东南风 3-4级 /东南风 3-4级
2015-01-25,阴,阴,14,8,南风 3-4级 /北风 ≤3级
2015-01-26,阴,阴,11,3,西北风 3-4级 /东北风 4-5级
2015-01-27,小雨,雨夹雪,7,1,东北风 4-5级 /东北风 4-5级
2015-01-28,雨夹雪,雨夹雪,4,1,东北风 4-5级 /东北风 3-4级
2015-01-29,雨夹雪,雨夹雪,3,1,东北风 3-4级 /北风 3-4级
2015-01-30,阴,多云,5,0,北风 ≤3级 /北风 ≤3级
2015-01-31,多云,阴,6,1,北风 ≤3级 /东北风 3-4级
2015-02-01,小雨,小雨,7,2,东北风 ≤3级 /东北风 ≤3级
2015-02-02,小雨,小雨,7,3,东北风 ≤3级 /东北风 ≤3级
2015-02-03,阴,阴,8,3,东北风 ≤3级 /西北风 ≤3级
2015-02-04,多云,多云,8,0,西北风 3-4级 /北风 3-4级
2015-02-05,晴,晴,7,-1,西北风 3-4级 /北风 3-4级
2015-02-06,多云,多云,8,1,南风 ≤3级 /西南风 ≤3级
