date,weather_1,weather_2,high,low,wind
2015-01-01,晴,多云,4,-4,东北风 ≤3级 /东北风 ≤3级
2015-01-02,多云,多云,5,-3,东北风 ≤3级 /东风 ≤3级
2015-01-03,多云,晴,7,-2,东风 ≤3级 /东风 ≤3级
2015-01-04,多云,阴,6,0,东风 ≤3级 /东北风 ≤3级
2015-01-05,多云,阴,7,1,北风 3-4级 /东北风 ≤3级
2015-01-06,阴,多云,5,-1,东北风 ≤3级 /西风 ≤3级
2015-01-07,多云,多云,6,-2,西风 ≤3级 /东风 ≤3级
2015-01-08,多云,晴,8,-1,西北风 ≤3级 /东北风 ≤3级
2015-01-09,晴,晴,8,-2,东北风 ≤3级 /东北风 ≤3级
2015-01-10,晴,晴,8,-2,东北风 ≤3级 /东北风 ≤3级
2015-01-11,多云,多云,8,-2,东北风 ≤3级 /东北风 ≤3级
2015-01-12,阴,阴,8,-1,东北风 ≤3级 /西南风 ≤3级
2015-01-13,阴,阴,6,0,东北风 ≤3级 /东北风 ≤3级
2015-01-14,多云,霾,7,-2,东北风 ≤3级 /东北风 ≤3级
2015-01-15,霾,霾,7,-2,北风 ≤3级 /东风 ≤3级
2015-01-16,多云,多云,7,-2,东风 ≤3级 /东风 ≤3级
2015-01-17,阴,阴,5,-2,东风 ≤3级 /东风 ≤3级
2015-01-18,晴,晴,10,-2,东风 ≤3级 /东风 ≤3级
2015-01-19,多云,多云,10,-1,东风 ≤3级 /东风 ≤3级
2015-01-20,多云,晴,9,0,北风 ≤3级 /东北风 ≤3级
2015-01-21,晴,晴,8,-2,北风 ≤3级 /东北风 ≤3级
2015-01-22,晴,晴,10,-2,东北风 ≤3级 /东北风 ≤3级
2015-01-23,多云,阴,7,-1,东北风 ≤3级 /东北风 ≤3级
2015-01-24,阴,霾,5,0,西南风 ≤3级 /东北风 ≤3级
2015-01-25,霾,霾,7,-2,东北风 ≤3级 /西南风 ≤3级
2015-01-26,霾,霾,4,0,西南风 ≤3级 /北风 3-4级
2015-01-27,小雨,雨夹雪,3,-1,西南风 ≤3级 /西南风 ≤3级
2015-01-28,雨夹雪,小雪,1,-4,西南风 ≤3级 /西南风 ≤3级
2015-01-29,阴,多云,2,-4,西南风 ≤3级 /东北风 ≤3级
2015-01-30,阴,小雪,2,-4,东北风 ≤3级 /东风 ≤3级
2015-01-31,雨夹雪,阴,2,-4,东风 ≤3级 /南风 ≤3级
2015-02-01,阴,多云,3,-4,东风 ≤3级 /东风 ≤3级
2015-02-02,多云,多云,4,-4,东风 ≤3级 /东北风 ≤3级
2015-02-03,晴,晴,7,-3,东风 ≤3级 /西风 ≤3级
2015-02-04,晴,晴,7,-2,西风 ≤3级 /东北风 ≤3级
2015-02-05,多云,多云,7,-3,东风 ≤3级 /东风 ≤3级
2015-02-06,多云,多云,8,-3,东北风 ≤3级 /东北风 ≤3级
2015-02-07,晴,晴,10,-2,东北风 ≤3级 /东北风 ≤3级
2015-02-08,多云,多云,8,-2,东北风 ≤3级 /东北风 ≤3级
2015-02-09,多云,多云,9,-2,东北风 ≤3级 /东北风 ≤3级
2015-02-10,多云,晴,12,-1,东北风 ≤3级 /东北风 ≤3级
2015-02-11,晴,晴,16,2,东北风 ≤3级 /东北风 ≤3级
2015-02-12,晴,晴,15,3,东北风 ≤3级 /东北风 ≤3级
2015-02-13,晴,多云,18,2,东北风 ≤3级 /东风 ≤3级
2015-02-14,多云,阴,13,5,东风 ≤3级 /东北风 ≤3级
2015-02-15,多云,晴,15,3,西北风 ≤3级 /东风 ≤3级
2015-02-16,晴,晴,14,2,东风 ≤3级 /东北风 ≤3级
2015-02-17,多云,多云,14,2,东北风 ≤3级 /东北风 ≤3级
2015-02-18,阴,阴,10,4,西南风 ≤3级 /西南风 ≤3级
2015-02-19,小雨,小雨,7,3,西南风 ≤3级 /东北风 ≤3级
2015-02-20,阴,多云,8,0,东北风 ≤3级 /东北风 ≤3级
2015-02-21,晴,晴,12,1,东北风 ≤3级 /东北风 ≤3级
2015-02-22,多云,阴,9,0,东北风 ≤3级 /东风 ≤3级
