date,weather_1,weather_2,high,low,wind
2015-01-01,阴,阴,10,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-02,阴,阴,10,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-03,阴,阴,11,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-04,阴,阴,10,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-05,小雨,小雨,9,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-06,小雨,多云,9,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-07,阴,小雨,11,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-08,小雨,阴,10,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-09,阴,阴,11,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-10,阴,阴,12,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-11,阴,阴,13,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-12,多云,晴,13,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-13,晴,晴,14,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-14,多云,阴,13,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-15,阴,阴,12,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-16,阴,阴,13,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-17,小雨,小雨,12,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-18,阴,多云,14,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-19,阴,阴,13,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-20,多云,多云,14,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-21,晴,多云,16,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-22,晴,多云,17,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-23,阴,阴,15,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-24,小雨,阴,13,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-25,阴,阴,14,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-26,阴,阴,15,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-27,小雨,小雨,13,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-28,小雨,小雨,11,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-29,小雨,小雨,8,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-30,小雨,小雨,8,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-01-31,小雨,阴,7,5,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-01,阴,阴,9,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-02,阴,阴,12,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-03,阴,阴,11,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-04,阴,阴,11,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-05,阴,阴,12,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-06,多云,阴,13,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-07,阴,阴,13,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-08,阴,阴,11,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-09,阴,阴,10,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-10,阴,阴,12,7,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-11,多云,晴,15,6,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-12,晴,多云,18,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-13,阴,阴,15,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-14,小雨,阴,14,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-15,阴,多云,17,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-16,多云,多云,17,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-17,晴,多云,20,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-18,阴,阴,17,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-19,阴,阴,18,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-20,阴,阴,19,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-21,阴,阴,18,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-22,小雨,阴,17,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-23,阴,阴,16,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-24,阴,阴,16,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-25,阴,小雨,16,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-26,阴,阴,16,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-27,小雨,小雨,14,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-02-28,小雨,小雨,12,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-01,阴,阴,12,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-02,阴,阴,13,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-03,阴,阴,13,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-04,小雨,小雨,12,8,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-05,小雨,阴,13,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-06,阴,多云,13,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-07,多云,多云,16,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-08,多云,多云,18,9,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-09,多云,阴,18,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-10,阴,小雨,16,11,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-11,阴,多云,17,10,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-12,晴,多云,22,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-13,多云,阴,20,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-14,小雨,阴,18,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-15,阴,多云,21,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-16,多云,多云,22,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-17,阴,阴,22,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-18,阴,阵雨,22,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-19,阴,阵雨,20,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-20,阴,阴,19,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-21,多云,多云,21,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-22,阴,阴,21,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-23,阴,多云,23,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-24,阵雨,多云,21,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-25,晴,多云,25,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-26,多云,多云,23,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-27,阴,阵雨,23,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-28,多云,阵雨,25,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-29,多云,多云,26,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-30,晴,晴,28,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-03-31,多云,多云,30,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-01,阴,阵雨,30,24,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-02,多云,多云,30,19,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-03,多云,阴,30,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-04,阴,阵雨,30,22,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-05,阵雨,阵雨,26,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-06,阵雨,中雨,20,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-07,中雨,小雨,15,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-08,阴,阵雨,16,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-09,阵雨,阴,18,12,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-10,阴,阴,18,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-11,阴,多云,18,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-12,晴,晴,25,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-13,多云,晴,25,13,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-14,多云,阵雨,25,14,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-15,多云,晴,24,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-16,多云,雷阵雨,30,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-17,多云,阵雨,30,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-18,阵雨,中雨,27,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-19,阴,阴,23,15,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-20,多云,多云,26,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-21,多云,阴,24,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-22,阵雨,阵雨,22,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-23,小雨,小雨,19,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-24,阴,阴,21,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-25,多云,阴,26,16,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-26,阴,多云,27,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-27,多云,晴,27,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-28,晴,多云,32,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-29,多云,多云,34,22,无持续风向 ≤3级 /无持续风向 ≤3级
2015-04-30,多云,大雨,27,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-01,阴,阴,28,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-02,多云,多云,29,19,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-03,阵雨,小雨,22,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-04,小雨,小雨,22,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-05,小雨,阴,23,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-06,多云,晴,28,19,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-07,多云,雷阵雨,29,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-08,多云,多云,27,19,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-09,多云,晴,33,19,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-10,多云,雷阵雨,30,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-11,阴,多云,27,17,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-12,多云,多云,28,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-13,阴,阴,29,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-14,多云,雷阵雨,30,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-15,阵雨,阵雨,26,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-16,阴,阴,26,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-17,阵雨,阴,23,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-18,多云,多云,31,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-19,晴,多云,34,22,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-20,多云,多云,31,22,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-21,阴,阵雨,30,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-22,中雨,阵雨,21,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-23,阵雨,阴,24,18,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-24,多云,多云,27,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-25,阵雨,阵雨,25,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-26,阴,阴,25,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-27,阴,阴,27,22,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-28,阵雨,中雨,26,19,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-29,阴,多云,24,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-30,多云,多云,31,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-05-31,多云,中雨,31,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-01,阵雨,阵雨,27,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-02,阵雨,阵雨,27,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-03,小雨,中雨,26,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-04,阵雨,多云,25,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-05,阵雨,阴,29,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-06,小雨,中雨,26,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-07,阵雨,阴,23,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-08,阵雨,阴,26,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-09,阴,多云,29,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-10,多云,多云,32,24,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-11,晴,多云,33,25,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-12,阴,中雨,30,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-13,阵雨,阵雨,23,19,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-14,阴,阵雨,26,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-15,阵雨,中雨,27,22,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-16,中雨,中雨,25,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-17,阵雨,阵雨,24,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-18,阴,多云,28,22,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-19,多云,阵雨,31,24,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-20,中雨,阵雨,28,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-21,阴,多云,29,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-22,多云,多云,31,26,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-23,阴,阴,33,25,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-24,阵雨,阵雨,29,25,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-25,阵雨,阴,31,26,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-26,多云,多云,36,29,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-27,多云,多云,37,29,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-28,晴,多云,38,29,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-29,晴,大雨,38,26,无持续风向 ≤3级 /无持续风向 ≤3级
2015-06-30,大雨,大雨,26,24,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-01,小雨,阴,29,24,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-02,小雨,中雨,30,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-03,中雨,中雨,25,21,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-04,中雨,阵雨,23,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-05,阵雨,阴,26,20,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-06,多云,晴,31,22,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-07,晴,晴,34,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-08,晴,多云,35,24,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-09,多云,多云,34,24,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-10,多云,多云,35,24,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-11,多云,多云,36,25,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-12,晴,晴,38,25,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-13,多云,阴,35,26,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-14,大雨,暴雨,30,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-15,阴,多云,28,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-16,多云,多云,34,24,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-17,多云,多云,34,25,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-18,多云,多云,37,26,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-19,多云,多云,36,27,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-20,多云,多云,36,27,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-21,阴,阵雨,36,26,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-22,大雨,阴,28,23,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-23,多云,多云,33,25,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-24,晴,多云,35,25,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-25,晴,多云,37,26,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-26,晴,多云,37,26,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-27,多云,多云,37,26,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-28,晴,多云,36,26,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-29,多云,多云,36,27,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-30,多云,多云,36,27,无持续风向 ≤3级 /无持续风向 ≤3级
2015-07-31,多云,晴,37,28,无持续风向 ≤3级 /无持续风向 ≤3级
2015-08-01,多云,晴,37,27,无持续风向 ≤3级 /无持续风向 ≤3级
2015-08-02,多云,晴,38,29,无持续风向 ≤3级 /无持续风向 ≤3级
2015-08-03,多云,多云,38,27,无持续风向 ≤3级 /无持续风向 ≤3级
2015-08-04,多云,雷阵雨,35,26,无持续风向 ≤3级 /无持续风向 ≤3级
2015-08-05,雷阵雨,多云,31,24,无持续风向 ≤3级 /无持续风向 ≤3级
2015-08-06,多云,多云,34,24,无持续风向 ≤3级 /无持续风向 ≤3级
2015-08-07,多云,雷阵雨,34,25,无持续风向 ≤3级 /无持续风向 ≤3级
