date,weather_1,weather_2,high,low,wind
2015-01-01,晴,晴,-12,-20,西风 ≤3级 /西南风 ≤3级
2015-01-02,晴,晴,-11,-16,西南风 3-4级 /西南风 3-4级
2015-01-03,多云,多云,-3,-12,西南风 3-4级 /西南风 3-4级
2015-01-04,晴,多云,-3,-14,西南风 ≤3级 /西南风 3-4级
2015-01-05,阵雪,晴,-4,-19,西北风 3-4级 /西北风 4-5级
2015-01-06,晴,晴,-12,-21,西北风 3-4级 /西北风 ≤3级
2015-01-07,晴,晴,-10,-20,西北风 ≤3级 /西风 ≤3级
2015-01-08,晴,晴,-9,-18,西南风 ≤3级 /西南风 ≤3级
2015-01-09,多云,多云,-7,-16,西南风 ≤3级 /西南风 ≤3级
2015-01-10,多云,晴,-9,-19,北风 3-4级 /北风 3-4级
2015-01-11,晴,晴,-10,-18,北风 3-4级 /西南风 ≤3级
2015-01-12,晴,晴,-7,-15,西南风 ≤3级 /西南风 ≤3级
2015-01-13,晴,阵雪,-1,-13,西南风 ≤3级 /北风 ≤3级
2015-01-14,多云,多云,-7,-18,北风 ≤3级 /北风 ≤3级
2015-01-15,多云,多云,-10,-16,北风 ≤3级 /北风 ≤3级
2015-01-16,多云,晴,-11,-18,北风 ≤3级 /西南风 ≤3级
2015-01-17,晴,多云,-9,-14,西南风 ≤3级 /西南风 ≤3级
2015-01-18,小到中雪,小雪,-3,-16,西南风 ≤3级 /北风 ≤3级
2015-01-19,晴,晴,-10,-20,北风 ≤3级 /西南风 ≤3级
2015-01-20,阵雪,阵雪,-7,-15,西南风 ≤3级 /北风 ≤3级
2015-01-21,晴,晴,-8,-19,北风 ≤3级 /南风 ≤3级
2015-01-22,晴,晴,-7,-15,南风 ≤3级 /西南风 ≤3级
2015-01-23,多云,多云,-3,-14,西南风 3-4级 /西风 ≤3级
2015-01-24,晴,晴,-4,-16,西风 ≤3级 /西南风 ≤3级
2015-01-25,多云,多云,-4,-17,西南风 ≤3级 /西风 ≤3级
2015-01-26,多云,晴,-6,-24,西北风 3-4级 /西北风 3-4级
2015-01-27,晴,晴,-14,-25,西北风 ≤3级 /西风 ≤3级
2015-01-28,晴,晴,-11,-17,西南风 ≤3级 /西南风 ≤3级
2015-01-29,阵雪,阵雪,-8,-18,西南风 ≤3级 /西北风 ≤3级
2015-01-30,晴,晴,-11,-22,西北风 ≤3级 /西北风 ≤3级
2015-01-31,晴,晴,-9,-18,西南风 ≤3级 /西南风 ≤3级
2015-02-01,晴,晴,-6,-13,西南风 ≤3级 /西南风 ≤3级
2015-02-02,晴,晴,-3,-14,西南风 ≤3级 /东南风 ≤3级
2015-02-03,多云,多云,-3,-15,东南风 ≤3级 /北风 ≤3级
2015-02-04,阵雪,多云,-6,-16,北风 ≤3级 /北风 ≤3级
2015-02-05,晴,晴,-6,-12,西南风 ≤3级 /西南风 ≤3级
2015-02-06,多云,多云,-1,-21,西南风 3-4级 /西北风 3-4级
2015-02-07,多云,晴,-13,-25,西北风 3-4级 /西北风 3-4级
2015-02-08,晴,晴,-15,-22,西北风 3-4级 /西风 ≤3级
2015-02-09,晴,晴,-10,-18,西北风 ≤3级 /西北风 ≤3级
2015-02-10,晴,多云,-7,-16,东风 ≤3级 /西风 ≤3级
2015-02-11,阵雪,小雪,-5,-16,西风 ≤3级 /西北风 ≤3级
2015-02-12,小雪,多云,-6,-14,西北风 ≤3级 /西南风 ≤3级
2015-02-13,晴,晴,-4,-12,西南风 ≤3级 /西南风 ≤3级
2015-02-14,晴,晴,0,-8,西南风 ≤3级 /东风 ≤3级
2015-02-15,晴,多云,1,-6,东北风 ≤3级 /东风 ≤3级
2015-02-16,中雪,中雪,0,-6,东北风 ≤3级 /东北风 ≤3级
2015-02-17,小雪,阵雪,-1,-12,北风 3-4级 /北风 3-4级
2015-02-18,晴,晴,-3,-16,西北风 ≤3级 /南风 ≤3级
2015-02-19,晴,晴,-2,-10,南风 ≤3级 /南风 ≤3级
2015-02-20,多云,中雪,4,-2,南风 3-4级 /南风 3-4级
2015-02-21,雨夹雪,小雪,3,-6,南风 3-4级 /南风 3-4级
2015-02-22,小雪,多云,-1,-12,西风 4-5级 /西风 4-5级
2015-02-23,晴,晴,-4,-16,西风 3-4级 /西风 ≤3级
2015-02-24,晴,晴,-5,-14,西风 ≤3级 /东南风 ≤3级
2015-02-25,多云,小雪,-4,-12,东北风 ≤3级 /西北风 3-4级
2015-02-26,阵雪,多云,-6,-18,西北风 ≤3级 /西风 ≤3级
2015-02-27,晴,多云,-4,-15,西风 ≤3级 /西南风 ≤3级
2015-02-28,小到中雪,小雪,-1,-8,西南风 4-5级 /西南风 3-4级
2015-03-01,晴,晴,-2,-12,西风 ≤3级 /西风 ≤3级
2015-03-02,多云,小雪,-1,-11,东南风 ≤3级 /东南风 ≤3级
2015-03-03,小雪,小雪,-4,-13,北风 3-4级 /北风 3-4级
2015-03-04,多云,晴,-5,-18,西北风 ≤3级 /西北风 ≤3级
2015-03-05,晴,晴,-2,-8,西南风 ≤3级 /西南风 4-5级
2015-03-06,多云,多云,4,-5,西南风 4-5级 /西南风 4-5级
2015-03-07,多云,多云,2,-9,西北风 ≤3级 /东南风 ≤3级
2015-03-08,中雪,多云,-2,-15,西北风 3-4级 /西北风 3-4级
2015-03-09,阵雪,晴,-8,-19,西北风 4-5级 /西北风 3-4级
2015-03-10,晴,晴,-6,-18,西北风 3-4级 /西北风 3-4级
2015-03-11,多云,多云,-5,-13,西北风 3-4级 /西北风 3-4级
2015-03-12,多云,多云,-3,-10,西风 ≤3级 /西风 ≤3级
2015-03-13,晴,晴,1,-11,南风 ≤3级 /西风 ≤3级
2015-03-14,晴,多云,3,-3,西南风 3-4级 /西南风 3-4级
2015-03-15,多云,多云,7,0,西南风 3-4级 /西南风 3-4级
2015-03-16,多云,晴,8,-3,西风 3-4级 /西风 ≤3级
2015-03-17,晴,晴,7,-5,西风 ≤3级 /西南风 ≤3级
2015-03-18,多云,多云,9,0,西南风 3-4级 /西南风 3-4级
2015-03-19,晴,晴,10,-2,西南风 ≤3级 /西南风 ≤3级
2015-03-20,晴,晴,10,-1,西南风 ≤3级 /西南风 ≤3级
2015-03-21,晴,雨夹雪,9,-5,西北风 3-4级 /西北风 3-4级
2015-03-22,晴,晴,2,-9,西北风 3-4级 /西北风 3-4级
2015-03-23,晴,晴,1,-9,西北风 3-4级 /西北风 3-4级
2015-03-24,晴,晴,5,-3,西北风 3-4级 /西南风 3-4级
2015-03-25,晴,晴,14,5,西南风 4-5级 /西南风 5-6级
2015-03-26,晴,晴,20,9,西南风 5-6级 /西南风 4-5级
2015-03-27,多云,多云,20,7,西南风 4-5级 /西南风 4-5级
2015-03-28,小雨,晴,13,1,西北风 3-4级 /西风 3-4级
2015-03-29,晴,多云,16,7,西南风 4-5级 /北风 3-4级
2015-03-30,多云,多云,17,3,北风 3-4级 /西北风 3-4级
2015-03-31,晴,晴,10,-4,东北风 3-4级 /东北风 ≤3级
2015-04-01,晴,多云,13,2,西风 ≤3级 /东南风 ≤3级
2015-04-02,小到中雨,阵雨,8,1,东南风 ≤3级 /北风 ≤3级
2015-04-03,晴,晴,9,0,北风 ≤3级 /东北风 ≤3级
2015-04-04,多云,雨夹雪,12,2,东风 ≤3级 /东北风 3-4级
2015-04-05,雨夹雪,多云,6,-6,东北风 3-4级 /西北风 3-4级
2015-04-06,晴,晴,4,-7,西北风 3-4级 /西风 ≤3级
2015-04-07,晴,晴,4,-3,西风 3-4级 /西南风 3-4级
2015-04-08,晴,多云,11,1,西南风 3-4级 /西南风 ≤3级
2015-04-09,多云,阵雨,13,1,西南风 3-4级 /西北风 ≤3级
2015-04-10,晴,多云,11,0,西北风 ≤3级 /南风 3-4级
2015-04-11,小雨,多云,10,0,南风 3-4级 /东北风 ≤3级
2015-04-12,多云,多云,8,-1,东北风 ≤3级 /东北风 3-4级
2015-04-13,晴,晴,14,4,西南风 3-4级 /西南风 ≤3级
2015-04-14,晴,晴,20,7,西南风 ≤3级 /西南风 5-6级
2015-04-15,多云,阵雨,23,6,西南风 5-6级 /西南风 3-4级
2015-04-16,阵雨,晴,17,2,西北风 3-4级 /西风 3-4级
2015-04-17,晴,晴,16,3,西北风 3-4级 /西北风 ≤3级
2015-04-18,晴,小雨,18,6,西北风 ≤3级 /西北风 ≤3级
2015-04-19,多云,晴,14,3,西风 3-4级 /西风 3-4级
2015-04-20,晴,晴,15,3,西风 3-4级 /西风 3-4级
2015-04-21,多云,晴,18,4,西风 3-4级 /西南风 3-4级
2015-04-22,多云,多云,21,9,西南风 4-5级 /西南风 4-5级
2015-04-23,多云,晴,18,5,西风 3-4级 /西风 3-4级
2015-04-24,晴,晴,19,7,西风 3-4级 /西南风 5-6级
2015-04-25,晴,晴,26,15,西南风 5-6级 /西南风 4-5级
2015-04-26,晴,晴,29,17,西南风 5-6级 /西南风 4-5级
2015-04-27,多云,多云,26,16,西南风 5-6级 /西南风 3-4级
2015-04-28,晴,晴,26,14,西南风 3-4级 /西南风 3-4级
2015-04-29,晴,多云,29,15,西南风 4-5级 /西南风 4-5级
2015-04-30,晴,多云,28,16,西南风 4-5级 /西南风 4-5级
2015-05-01,阵雨,阵雨,29,13,西南风 5-6级 /西北风 3-4级
2015-05-02,多云,阵雨,24,10,西南风 3-4级 /西风 3-4级
2015-05-03,多云,晴,20,6,西风 3-4级 /西风 4-5级
2015-05-04,晴,晴,20,8,西风 4-5级 /西风 4-5级
2015-05-05,多云,晴,18,5,西风 5-6级 /西风 3-4级
2015-05-06,晴,多云,19,6,西风 4-5级 /西南风 3-4级
2015-05-07,小雨,多云,17,5,西南风 4-5级 /西北风 4-5级
2015-05-08,晴,晴,16,2,西北风 3-4级 /西北风 3-4级
2015-05-09,晴,晴,15,3,西北风 3-4级 /西南风 ≤3级
2015-05-10,晴,小雨,17,9,西南风 ≤3级 /西南风 ≤3级
2015-05-11,小雨,小到中雨,15,10,东风 ≤3级 /西南风 3-4级
2015-05-12,小雨,小雨,13,8,西南风 3-4级 /西北风 3-4级
2015-05-13,多云,多云,19,11,西南风 3-4级 /西南风 3-4级
2015-05-14,阵雨,多云,19,7,西北风 3-4级 /西北风 3-4级
2015-05-15,多云,晴,18,7,西风 4-5级 /西风 3-4级
2015-05-16,晴,晴,22,12,西风 3-4级 /西南风 3-4级
2015-05-17,雷阵雨,中雨,21,11,西南风 3-4级 /西南风 4-5级
2015-05-18,雷阵雨,多云,18,7,西风 3-4级 /西南风 3-4级
2015-05-19,雷阵雨,多云,17,7,西北风 3-4级 /西北风 3-4级
2015-05-20,多云,晴,22,11,西北风 3-4级 /西风 3-4级
2015-05-21,晴,晴,26,12,西北风 4-5级 /西南风 3-4级
2015-05-22,晴,晴,29,14,西南风 3-4级 /西南风 3-4级
2015-05-23,晴,晴,31,17,西南风 3-4级 /西南风 3-4级
2015-05-24,晴,晴,33,19,西南风 4-5级 /西南风 4-5级
2015-05-25,多云,多云,30,18,西南风 3-4级 /西南风 3-4级
2015-05-26,雷阵雨,雷阵雨,27,16,东北风 3-4级 /西南风 3-4级
2015-05-27,多云,晴,28,18,西南风 3-4级 /西南风 3-4级
2015-05-28,晴,雷阵雨,29,18,西南风 4-5级 /西南风 4-5级
2015-05-29,多云,晴,25,12,西南风 4-5级 /西北风 3-4级
2015-05-30,晴,晴,24,14,西北风 3-4级 /西南风 4-5级
2015-05-31,多云,雷阵雨,30,19,西南风 5-6级 /西南风 4-5级
2015-06-01,多云,多云,26,13,西北风 3-4级 /东风 ≤3级
2015-06-02,雷阵雨,多云,21,10,西北风 ≤3级 /西北风 ≤3级
2015-06-03,晴,晴,26,14,西北风 ≤3级 /西南风 3-4级
2015-06-04,多云,雷阵雨,29,15,西南风 4-5级 /南风 3-4级
2015-06-05,雷阵雨,多云,20,13,南风 3-4级 /南风 4-5级
2015-06-06,中雨,大到暴雨,22,15,南风 4-5级 /西南风 3-4级
2015-06-07,雷阵雨,多云,24,15,西南风 3-4级 /西南风 3-4级
2015-06-08,雷阵雨,多云,22,14,西南风 3-4级 /西南风 3-4级
2015-06-09,雷阵雨,多云,25,15,西南风 3-4级 /西南风 3-4级
2015-06-10,雷阵雨,雷阵雨,23,16,南风 3-4级 /南风 3-4级
2015-06-11,中到大雨,中雨,23,16,南风 3-4级 /东南风 3-4级
2015-06-12,雷阵雨,雷阵雨,22,14,东南风 3-4级 /东风 ≤3级
2015-06-13,雷阵雨,晴,25,15,东风 ≤3级 /北风 ≤3级
2015-06-14,晴,晴,28,16,北风 ≤3级 /西南风 ≤3级
2015-06-15,晴,晴,30,18,西南风 ≤3级 /西南风 ≤3级
2015-06-16,晴,多云,31,20,西南风 3-4级 /西南风 ≤3级
2015-06-17,雷阵雨,雷阵雨,30,18,东南风 ≤3级 /东南风 ≤3级
2015-06-18,雷阵雨,雷阵雨,25,17,东南风 ≤3级 /东北风 ≤3级
2015-06-19,雷阵雨,晴,26,17,东北风 ≤3级 /南风 ≤3级
2015-06-20,晴,晴,29,17,南风 ≤3级 /西南风 3-4级
2015-06-21,晴,晴,32,20,西南风 3-4级 /西南风 3-4级
2015-06-22,晴,晴,32,20,西南风 3-4级 /西南风 3-4级
2015-06-23,晴,晴,32,20,西南风 3-4级 /西南风 3-4级
2015-06-24,晴,多云,31,20,西南风 3-4级 /西南风 ≤3级
2015-06-25,雷阵雨,雷阵雨,30,19,西南风 ≤3级 /西南风 ≤3级
2015-06-26,雷阵雨,多云,28,20,东风 ≤3级 /东风 ≤3级
2015-06-27,雷阵雨,多云,30,19,西南风 ≤3级 /西南风 3-4级
2015-06-28,雷阵雨,中到大雨,29,18,西南风 3-4级 /西北风 3-4级
2015-06-29,雷阵雨,多云,25,13,西北风 3-4级 /西风 ≤3级
2015-06-30,多云,雷阵雨,26,14,西南风 ≤3级 /北风 ≤3级
2015-07-01,雷阵雨,雷阵雨,22,13,北风 ≤3级 /北风 ≤3级
2015-07-02,雷阵雨,雷阵雨,22,13,北风 ≤3级 /北风 ≤3级
2015-07-03,雷阵雨,雷阵雨,24,14,北风 ≤3级 /西风 ≤3级
2015-07-04,多云,晴,26,15,西风 ≤3级 /西南风 ≤3级
2015-07-05,晴,晴,28,16,西南风 ≤3级 /西南风 ≤3级
2015-07-06,晴,晴,30,18,西南风 ≤3级 /西南风 ≤3级
2015-07-07,晴,晴,31,19,西南风 ≤3级 /西南风 ≤3级
2015-07-08,晴,晴,32,19,西南风 ≤3级 /西南风 ≤3级
2015-07-09,晴,晴,33,20,西南风 ≤3级 /西南风 ≤3级
2015-07-10,晴,雷阵雨,33,22,西南风 3-4级 /西南风 ≤3级
2015-07-11,雷阵雨,雷阵雨,30,22,西南风 3-4级 /西风 3-4级
2015-07-12,多云,多云,31,22,西风 ≤3级 /北风 3-4级
2015-07-13,多云,多云,30,19,北风 4-5级 /北风 3-4级
2015-07-14,晴,晴,29,17,北风 ≤3级 /东风 ≤3级
2015-07-15,晴,晴,28,17,东风 ≤3级 /东风 ≤3级
2015-07-16,晴,晴,29,17,东风 ≤3级 /东风 ≤3级
2015-07-17,多云,晴,28,18,东风 ≤3级 /北风 ≤3级
2015-07-18,晴,晴,30,18,北风 ≤3级 /西南风 ≤3级
2015-07-19,晴,晴,32,20,西南风 ≤3级 /西南风 ≤3级
2015-07-20,多云,晴,31,21,西南风 ≤3级 /西南风 ≤3级
2015-07-21,多云,多云,31,21,西南风 ≤3级 /西南风 ≤3级
2015-07-22,雷阵雨,雷阵雨,29,22,西南风 ≤3级 /西南风 ≤3级
2015-07-23,雷阵雨,雷阵雨,29,21,西南风 ≤3级 /西南风 ≤3级
2015-07-24,雷阵雨,雷阵雨,28,21,西南风 ≤3级 /西南风 ≤3级
2015-07-25,雷阵雨,雷阵雨,29,22,西南风 ≤3级 /西南风 ≤3级
2015-07-26,雷阵雨,多云,31,21,西南风 ≤3级 /西南风 ≤3级
2015-07-27,多云,多云,30,21,西南风 ≤3级 /西南风 ≤3级
2015-07-28,中雨,雷阵雨,29,20,西南风 ≤3级 /西南风 ≤3级
2015-07-29,雷阵雨,多云,27,19,西南风 ≤3级 /北风 ≤3级
2015-07-30,多云,多云,30,19,东北风 ≤3级 /东北风 ≤3级
2015-07-31,多云,多云,30,20,北风 ≤3级 /南风 ≤3级
2015-08-01,多云,多云,30,20,南风 ≤3级 /西南风 3-4级
2015-08-02,中雨,多云,30,22,西南风 4-5级 /西南风 4-5级
2015-08-03,晴,晴,31,22,西南风 3-4级 /西南风 3-4级
2015-08-04,多云,晴,31,20,西南风 ≤3级 /西南风 ≤3级
2015-08-05,晴,多云,32,21,西南风 ≤3级 /西南风 ≤3级
2015-08-06,雷阵雨,中雨,30,20,西南风 ≤3级 /西南风 ≤3级
2015-08-07,中雨,雷阵雨,28,20,西南风 ≤3级 /西南风 3-4级
2015-08-08,雷阵雨,雷阵雨,28,21,西南风 ≤3级 /西南风 ≤3级
2015-08-09,雷阵雨,多云,27,17,西南风 ≤3级 /西北风 ≤3级
2015-08-10,雷阵雨,多云,27,18,西北风 ≤3级 /北风 ≤3级
2015-08-11,雷阵雨,多云,27,17,北风 ≤3级 /北风 ≤3级
2015-08-12,多云,多云,28,18,北风 ≤3级 /北风 ≤3级
2015-08-13,多云,多云,30,19,西南风 ≤3级 /西南风 ≤3级
2015-08-14,多云,雷阵雨,30,20,西南风 ≤3级 /西南风 ≤3级
2015-08-15,雷阵雨,多云,28,19,西南风 3-4级 /西南风 ≤3级
2015-08-16,多云,多云,30,20,西南风 ≤3级 /西南风 ≤3级
2015-08-17,晴,多云,32,21,西南风 ≤3级 /西南风 ≤3级
2015-08-18,多云,雷阵雨,30,19,西南风 ≤3级 /南风 ≤3级
2015-08-19,雷阵雨,雷阵雨,28,17,南风 ≤3级 /南风 ≤3级
2015-08-20,中雨,中雨,25,16,东南风 ≤3级 /东南风 ≤3级
2015-08-21,雷阵雨,雷阵雨,25,15,东南风 ≤3级 /东南风 ≤3级
2015-08-22,雷阵雨,雷阵雨,24,16,东南风 ≤3级 /东北风 ≤3级
2015-08-23,雷阵雨,多云,25,16,东北风 ≤3级 /东风 ≤3级
2015-08-24,雷阵雨,多云,26,15,东风 ≤3级 /东风 ≤3级
