date,weather_1,weather_2,high,low,wind
2015-01-01,多云,多云,12,4,北风 ≤3级 /北风 ≤3级
2015-01-02,多云,多云,12,4,北风 ≤3级 /南风 ≤3级
2015-01-03,多云,多云,16,6,南风 ≤3级 /南风 ≤3级
2015-01-04,多云,阴,19,11,南风 ≤3级 /南风 ≤3级
2015-01-05,小雨,小雨,20,5,北风 ≤3级 /北风 3-4级
2015-01-06,小雨,小雨,9,4,北风 3-4级 /北风 ≤3级
2015-01-07,多云,多云,11,2,北风 ≤3级 /北风 ≤3级
2015-01-08,多云,多云,12,6,北风 ≤3级 /北风 ≤3级
2015-01-09,阴,阴,10,6,北风 ≤3级 /北风 ≤3级
2015-01-10,阴,阴,11,5,北风 ≤3级 /北风 ≤3级
2015-01-11,多云,小雨,15,7,北风 ≤3级 /北风 ≤3级
2015-01-12,小雨,小雨,11,7,北风 ≤3级 /北风 ≤3级
2015-01-13,阴,多云,11,3,北风 ≤3级 /北风 ≤3级
2015-01-14,晴,晴,14,3,北风 ≤3级 /北风 ≤3级
2015-01-15,晴,晴,14,4,北风 ≤3级 /北风 ≤3级
2015-01-16,晴,多云,15,5,北风 ≤3级 /北风 ≤3级
2015-01-17,多云,多云,13,6,北风 ≤3级 /北风 ≤3级
2015-01-18,小雨,多云,12,3,北风 ≤3级 /北风 ≤3级
2015-01-19,多云,小雨,15,6,北风 ≤3级 /北风 ≤3级
2015-01-20,小雨,多云,13,5,北风 ≤3级 /北风 ≤3级
2015-01-21,晴,晴,17,3,北风 ≤3级 /北风 ≤3级
2015-01-22,晴,晴,17,5,北风 ≤3级 /南风 ≤3级
2015-01-23,晴,多云,18,10,南风 ≤3级 /南风 ≤3级
2015-01-24,阴,小雨,16,10,南风 ≤3级 /北风 ≤3级
2015-01-25,小雨,阴,10,6,北风 ≤3级 /北风 ≤3级
2015-01-26,阴,小雨,10,6,北风 ≤3级 /北风 ≤3级
2015-01-27,小雨,小雨,6,3,北风 3-4级 /北风 3-4级
2015-01-28,小雨,小雨,3,0,北风 ≤3级 /北风 ≤3级
2015-01-29,雨夹雪,雨夹雪,1,-1,北风 3-4级 /北风 3-4级
2015-01-30,阴,雨夹雪,2,0,北风 3-4级 /北风 3-4级
2015-01-31,雨夹雪,雨夹雪,3,1,北风 3-4级 /北风 ≤3级
2015-02-01,小雨,小雨,3,1,北风 ≤3级 /北风 ≤3级
2015-02-02,小雨,小雨,5,1,北风 ≤3级 /北风 ≤3级
2015-02-03,阴,阴,6,2,北风 ≤3级 /北风 ≤3级
2015-02-04,多云,多云,8,2,北风 ≤3级 /北风 ≤3级
2015-02-05,晴,晴,10,1,北风 ≤3级 /北风 ≤3级
2015-02-06,晴,多云,13,4,南风 ≤3级 /北风 ≤3级
2015-02-07,阴,阴,12,4,北风 ≤3级 /北风 ≤3级
2015-02-08,晴,多云,12,3,北风 ≤3级 /北风 ≤3级
2015-02-09,多云,多云,13,5,北风 ≤3级 /北风 ≤3级
2015-02-10,阴,多云,12,6,南风 ≤3级 /南风 ≤3级
2015-02-11,晴,晴,16,4,南风 ≤3级 /南风 ≤3级
2015-02-12,晴,晴,20,6,南风 ≤3级 /南风 ≤3级
2015-02-13,多云,多云,21,10,南风 ≤3级 /南风 ≤3级
2015-02-14,阵雨,阵雨,20,11,南风 ≤3级 /南风 ≤3级
2015-02-15,阵雨,多云,18,11,南风 ≤3级 /北风 ≤3级
2015-02-16,多云,多云,21,12,北风 ≤3级 /北风 ≤3级
2015-02-17,多云,多云,20,12,北风 ≤3级 /北风 ≤3级
2015-02-18,阵雨,阵雨,20,11,北风 ≤3级 /北风 ≤3级
2015-02-19,阵雨,中雨,11,6,北风 ≤3级 /北风 ≤3级
2015-02-20,中雨,中雨,8,6,北风 ≤3级 /北风 ≤3级
2015-02-21,阵雨,多云,11,7,北风 ≤3级 /北风 ≤3级
2015-02-22,阵雨,小雨,12,7,北风 ≤3级 /北风 ≤3级
2015-02-23,阵雨,小雨,9,8,北风 ≤3级 /北风 ≤3级
2015-02-24,多云,小雨,13,8,北风 ≤3级 /北风 ≤3级
2015-02-25,小雨,小雨,10,8,北风 ≤3级 /北风 ≤3级
2015-02-26,小雨,小雨,10,8,北风 ≤3级 /北风 ≤3级
2015-02-27,小雨,小雨,10,4,北风 ≤3级 /北风 ≤3级
2015-02-28,小雨,阴,5,2,北风 4-5级 /北风 3-4级
2015-03-01,多云,多云,11,4,北风 ≤3级 /北风 ≤3级
2015-03-02,阴,小雨,13,7,北风 ≤3级 /北风 ≤3级
2015-03-03,阴,小雨,10,6,北风 3-4级 /北风 ≤3级
2015-03-04,小雨,小雨,9,4,北风 ≤3级 /北风 ≤3级
2015-03-05,小雨,小雨,7,3,北风 ≤3级 /北风 ≤3级
2015-03-06,小雨,阴,7,5,北风 ≤3级 /北风 ≤3级
2015-03-07,小雨,小雨,10,8,北风 ≤3级 /北风 ≤3级
2015-03-08,小雨,多云,11,5,北风 ≤3级 /北风 ≤3级
2015-03-09,晴,阴,15,8,北风 ≤3级 /北风 ≤3级
2015-03-10,阵雨,小雨,11,6,北风 ≤3级 /北风 ≤3级
2015-03-11,小雨,多云,8,5,北风 ≤3级 /南风 ≤3级
2015-03-12,晴,晴,18,7,南风 ≤3级 /南风 ≤3级
2015-03-13,多云,阵雨,18,10,南风 ≤3级 /北风 ≤3级
2015-03-14,小雨,小雨,15,12,北风 ≤3级 /北风 ≤3级
2015-03-15,中雨,阵雨,15,12,北风 ≤3级 /北风 ≤3级
2015-03-16,多云,阵雨,20,13,南风 ≤3级 /南风 ≤3级
2015-03-17,阵雨,雷阵雨,23,15,南风 ≤3级 /南风 3-4级
2015-03-18,阵雨,阵雨,16,11,北风 3-4级 /北风 ≤3级
2015-03-19,阵雨,阵雨,15,10,北风 ≤3级 /北风 ≤3级
2015-03-20,小雨,阵雨,13,10,北风 ≤3级 /北风 ≤3级
2015-03-21,多云,多云,18,12,北风 ≤3级 /北风 ≤3级
2015-03-22,阵雨,小雨,19,13,北风 ≤3级 /北风 ≤3级
2015-03-23,阴,多云,18,11,北风 3-4级 /北风 ≤3级
2015-03-24,多云,阴,18,10,北风 ≤3级 /北风 ≤3级
2015-03-25,多云,阵雨,20,9,北风 ≤3级 /南风 ≤3级
2015-03-26,阵雨,阴,17,12,北风 ≤3级 /北风 ≤3级
2015-03-27,多云,多云,19,12,北风 ≤3级 /北风 ≤3级
2015-03-28,阵雨,阵雨,18,14,东南风 ≤3级 /北风 ≤3级
2015-03-29,小雨,中雨,18,17,南风 ≤3级 /北风 ≤3级
2015-03-30,多云,多云,24,19,南风 ≤3级 /南风 ≤3级
2015-03-31,晴,晴,29,22,南风 ≤3级 /南风 ≤3级
2015-04-01,多云,多云,29,19,南风 ≤3级 /南风 3-4级
2015-04-02,雷阵雨,中雨,28,16,南风 3-4级 /南风 3-4级
2015-04-03,雷阵雨,雷阵雨,24,14,北风 ≤3级 /北风 ≤3级
2015-04-04,雷阵雨,雷阵雨,20,15,北风 ≤3级 /北风 ≤3级
2015-04-05,小雨,小雨,17,11,北风 3-4级 /北风 3-4级
2015-04-06,中雨,中雨,14,6,北风 3-4级 /北风 3-4级
2015-04-07,中雨,阴,9,5,北风 3-4级 /北风 3-4级
2015-04-08,小雨,小雨,9,6,北风 ≤3级 /北风 ≤3级
2015-04-09,阵雨,阴,11,8,北风 ≤3级 /北风 ≤3级
2015-04-10,阵雨,阴,14,9,北风 ≤3级 /北风 ≤3级
2015-04-11,阴,多云,16,11,北风 ≤3级 /北风 ≤3级
2015-04-12,多云,多云,23,9,北风 ≤3级 /北风 3-4级
2015-04-13,多云,晴,20,8,北风 3-4级 /北风 ≤3级
2015-04-14,晴,多云,23,12,南风 ≤3级 /南风 ≤3级
2015-04-15,雷阵雨,阴,18,16,南风 ≤3级 /南风 ≤3级
2015-04-16,晴,多云,29,19,南风 ≤3级 /南风 ≤3级
2015-04-17,多云,阵雨,28,19,南风 ≤3级 /南风 ≤3级
2015-04-18,阵雨,大雨,25,17,南风 ≤3级 /南风 ≤3级
2015-04-19,中雨,小雨,18,13,北风 3-4级 /北风 3-4级
2015-04-20,阴,多云,17,12,北风 3-4级 /北风 ≤3级
2015-04-21,多云,多云,21,11,北风 ≤3级 /北风 ≤3级
2015-04-22,多云,阴,23,12,北风 ≤3级 /北风 ≤3级
2015-04-23,阵雨,阵雨,23,17,北风 ≤3级 /北风 ≤3级
2015-04-24,小雨,阴,19,15,北风 ≤3级 /北风 ≤3级
2015-04-25,多云,多云,25,17,北风 ≤3级 /北风 ≤3级
2015-04-26,阵雨,多云,25,17,南风 ≤3级 /南风 ≤3级
2015-04-27,阵雨,多云,22,18,南风 ≤3级 /南风 ≤3级
2015-04-28,晴,多云,30,20,南风 ≤3级 /南风 ≤3级
2015-04-29,晴,多云,31,21,北风 ≤3级 /北风 ≤3级
2015-04-30,多云,雷阵雨,30,21,北风 ≤3级 /南风 ≤3级
2015-05-01,中雨,大雨,27,20,南风 ≤3级 /北风 ≤3级
2015-05-02,阴,多云,26,18,北风 ≤3级 /北风 ≤3级
2015-05-03,多云,阵雨,28,19,北风 ≤3级 /北风 ≤3级
2015-05-04,阵雨,阴,23,17,北风 ≤3级 /北风 ≤3级
2015-05-05,阵雨,雷阵雨,25,20,北风 ≤3级 /南风 ≤3级
2015-05-06,中雨,多云,24,18,南风 ≤3级 /南风 ≤3级
2015-05-07,多云,大雨,30,21,南风 ≤3级 /南风 ≤3级
2015-05-08,大雨,多云,24,17,北风 ≤3级 /北风 ≤3级
2015-05-09,多云,多云,28,19,北风 ≤3级 /南风 ≤3级
2015-05-10,雷阵雨,雷阵雨,27,16,南风 ≤3级 /南风 ≤3级
2015-05-11,阵雨,多云,22,11,北风 3-4级 /北风 ≤3级
2015-05-12,晴,多云,26,15,南风 ≤3级 /南风 ≤3级
2015-05-13,雷阵雨,雷阵雨,25,20,南风 ≤3级 /南风 ≤3级
2015-05-14,大雨,大雨,25,22,南风 ≤3级 /南风 ≤3级
2015-05-15,暴雨,中雨,27,19,南风 ≤3级 /北风 ≤3级
2015-05-16,小雨,阵雨,24,20,北风 ≤3级 /北风 ≤3级
2015-05-17,阵雨,阵雨,29,22,南风 ≤3级 /南风 ≤3级
2015-05-18,暴雨,中雨,25,22,南风 ≤3级 /南风 ≤3级
2015-05-19,阴,阴,28,22,南风 ≤3级 /北风 ≤3级
2015-05-20,阴,阵雨,28,21,北风 ≤3级 /北风 ≤3级
2015-05-21,阴,阴,27,19,北风 ≤3级 /北风 ≤3级
2015-05-22,多云,阴,28,18,北风 ≤3级 /北风 ≤3级
2015-05-23,阵雨,阴,23,19,北风 ≤3级 /北风 ≤3级
2015-05-24,多云,阴,27,20,北风 ≤3级 /北风 ≤3级
2015-05-25,多云,阴,27,21,北风 ≤3级 /南风 ≤3级
2015-05-26,雷阵雨,雷阵雨,30,24,南风 ≤3级 /北风 ≤3级
2015-05-27,小雨,中雨,27,23,北风 ≤3级 /北风 ≤3级
2015-05-28,阵雨,中雨,28,24,南风 ≤3级 /南风 ≤3级
2015-05-29,中雨,中雨,27,20,南风 ≤3级 /西北风 3-4级
2015-05-30,阴,多云,27,21,西北风 ≤3级 /南风 ≤3级
2015-05-31,多云,多云,30,24,南风 ≤3级 /东南风 ≤3级
2015-06-01,阵雨,阴,32,25,南风 ≤3级 /南风 ≤3级
2015-06-02,大雨,大雨,29,24,南风 ≤3级 /北风 ≤3级
2015-06-03,大雨,中雨,26,21,北风 ≤3级 /北风 ≤3级
2015-06-04,阵雨,阵雨,25,20,北风 ≤3级 /西北风 ≤3级
2015-06-05,多云,多云,28,20,东北风 ≤3级 /东南风 ≤3级
2015-06-06,多云,阴,31,23,南风 ≤3级 /南风 ≤3级
2015-06-07,雷阵雨,中雨,30,22,南风 ≤3级 /西北风 ≤3级
2015-06-08,大雨,中雨,24,20,西北风 ≤3级 /北风 ≤3级
2015-06-09,阴,多云,27,22,南风 ≤3级 /西南风 ≤3级
2015-06-10,雷阵雨,中雨,29,23,东南风 ≤3级 /西南风 ≤3级
2015-06-11,多云,多云,29,22,南风 ≤3级 /南风 ≤3级
2015-06-12,多云,阵雨,31,23,南风 ≤3级 /南风 ≤3级
2015-06-13,阵雨,大雨,29,23,南风 ≤3级 /北风 ≤3级
2015-06-14,小雨,阵雨,29,23,东南风 ≤3级 /南风 ≤3级
2015-06-15,阴,多云,29,26,南风 ≤3级 /南风 ≤3级
2015-06-16,多云,多云,32,26,西南风 3-4级 /南风 ≤3级
2015-06-17,阵雨,大雨,30,24,西风 ≤3级 /北风 ≤3级
2015-06-18,小雨,小雨,25,22,北风 ≤3级 /北风 ≤3级
2015-06-19,阴,阴,26,23,南风 ≤3级 /北风 ≤3级
2015-06-20,小雨,中雨,28,22,北风 ≤3级 /北风 ≤3级
2015-06-21,中雨,小雨,26,22,北风 ≤3级 /北风 ≤3级
2015-06-22,小雨,多云,29,24,北风 ≤3级 /东南风 ≤3级
2015-06-23,雷阵雨,多云,33,26,北风 ≤3级 /东风 ≤3级
2015-06-24,多云,多云,35,28,南风 ≤3级 /南风 ≤3级
