date,weather_1,weather_2,high,low,wind
2016-02-01,多云,晴,0,-11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-02,晴,多云,3,-10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-03,多云,晴,2,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-04,晴,多云,3,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-05,多云,晴,2,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-06,晴,晴,5,-8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-07,晴,晴,9,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-08,晴,晴,11,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-09,晴,多云,11,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-10,多云,晴,12,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-11,多云,小雪,11,-6,北风 3-4级 /东风 3-4级
2016-02-12,小雪,多云,0,-11,北风 3-4级 /北风 3-4级
2016-02-13,阴,多云,-2,-11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-14,多云,晴,0,-11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-15,晴,多云,3,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-16,多云,晴,5,-7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-17,晴,晴,7,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-18,多云,多云,5,-7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-19,晴,晴,3,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-20,晴,多云,7,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-21,多云,多云,5,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-22,晴,多云,6,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-23,多云,多云,6,-3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-24,多云,多云,7,-3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-25,多云,晴,8,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-26,晴,晴,14,-2,无持续风向 ≤3级 /南风 3-4级
2016-02-27,浮尘,晴,13,2,北风 3-4级 /无持续风向 ≤3级
2016-02-28,浮尘,晴,15,-1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-29,晴,晴,16,-1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-01,晴,多云,16,1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-02,晴,晴,18,0,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-03,晴,多云,19,-1,无持续风向 ≤3级 /北风 3-4级
2016-03-04,浮尘,多云,6,-3,北风 3-4级 /无持续风向 ≤3级
2016-03-05,浮尘,晴,11,-1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-06,晴,晴,16,1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-07,晴,晴,16,3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-08,多云,多云,15,-1,无持续风向 ≤3级 /东风 3-4级
2016-03-09,雨夹雪,多云,1,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-10,多云,晴,8,-3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-11,晴,多云,14,0,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-12,多云,多云,12,0,北风 3-4级 /东北风 3-4级
2016-03-13,晴,多云,13,1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-14,晴,多云,16,2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-15,晴,多云,18,3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-16,多云,多云,15,5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-17,多云,晴,18,3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-18,晴,多云,24,6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-19,多云,多云,22,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-20,多云,多云,20,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-21,阴,阴,16,9,无持续风向 ≤3级 /北风 3-4级
