date,weather_1,weather_2,high,low,wind
2016-02-01,晴,多云,-6,-15,东风 ≤3级 /东风 3-4级
2016-02-02,多云,多云,-5,-14,东风 ≤3级 /西风 ≤3级
2016-02-03,阴,小雪,-5,-14,西风 ≤3级 /西风 ≤3级
2016-02-04,多云,多云,-5,-15,西风 ≤3级 /西风 ≤3级
2016-02-05,晴,晴,-3,-13,西风 ≤3级 /西风 3-4级
2016-02-06,晴,晴,2,-9,东风 ≤3级 /西风 ≤3级
2016-02-07,晴,晴,4,-8,东风 ≤3级 /西风 ≤3级
2016-02-08,晴,晴,5,-8,东风 ≤3级 /东风 ≤3级
2016-02-09,晴,晴,7,-5,无持续风向 ≤3级 /东风 ≤3级
2016-02-10,晴,晴,7,-9,东风 ≤3级 /东风 3-4级
2016-02-11,多云,多云,1,-13,西风 ≤3级 /西风 3-4级
2016-02-12,小雪,阴,-6,-16,西风 3-4级 /东风 ≤3级
2016-02-13,多云,晴,-6,-15,东风 ≤3级 /东风 ≤3级
2016-02-14,晴,晴,-4,-15,东风 ≤3级 /西风 ≤3级
2016-02-15,晴,晴,-3,-13,西风 ≤3级 /西风 ≤3级
2016-02-16,晴,晴,0,-12,东风 ≤3级 /西风 ≤3级
2016-02-17,多云,多云,3,-9,西风 ≤3级 /西风 3-4级
2016-02-18,阴,多云,-2,-12,西风 3-4级 /西风 3-4级
2016-02-19,晴,晴,0,-11,西风 3-4级 /西风 ≤3级
2016-02-20,晴,多云,3,-8,西风 ≤3级 /西风 3-4级
2016-02-21,多云,多云,4,-7,西风 4-5级 /西风 3-4级
2016-02-22,多云,多云,3,-8,西风 3-4级 /西风 3-4级
2016-02-23,多云,晴,2,-9,西风 3-4级 /西风 3-4级
2016-02-24,晴,晴,5,-5,西风 3-4级 /西风 4-5级
2016-02-25,晴,晴,8,-4,西风 3-4级 /西风 3-4级
2016-02-26,晴,晴,10,-1,西风 3-4级 /西风 3-4级
2016-02-27,扬沙,晴,12,0,西风 4-5级 /西北风 4-5级
2016-02-28,晴,晴,14,0,西风 3-4级 /东风 3-4级
2016-02-29,晴,晴,12,0,东风 3-4级 /东风 3-4级
2016-03-01,多云,晴,10,0,西风 3-4级 /西风 3-4级
2016-03-02,晴,多云,14,1,西风 3-4级 /西风 3-4级
2016-03-03,扬沙,小雪,9,-6,西风 3-4级 /西北风 5-6级
2016-03-04,多云,阴,2,-8,西风 3-4级 /西风 3-4级
2016-03-05,多云,晴,6,-4,西风 3-4级 /西风 3-4级
2016-03-06,晴,晴,9,-4,西风 3-4级 /西风 3-4级
2016-03-07,晴,多云,9,-6,西风 3-4级 /西风 3-4级
2016-03-08,阴,小雪,0,-11,西风 3-4级 /西风 3-4级
2016-03-09,多云,多云,-5,-11,西风 3-4级 /西风 3-4级
2016-03-10,晴,多云,1,-9,西风 3-4级 /西风 3-4级
2016-03-11,多云,多云,5,-5,西风 3-4级 /西风 3-4级
2016-03-12,多云,多云,3,-6,西风 3-4级 /西风 3-4级
2016-03-13,晴,晴,7,-3,西风 3-4级 /西风 3-4级
2016-03-14,晴,晴,10,0,东风 ≤3级 /西风 3-4级
2016-03-15,晴,多云,12,0,东风 ≤3级 /东风 3-4级
2016-03-16,多云,多云,13,1,东风 3-4级 /西风 3-4级
2016-03-17,晴,晴,18,3,东风 3-4级 /东风 ≤3级
2016-03-18,晴,多云,18,4,东风 ≤3级 /西风 3-4级
2016-03-19,多云,多云,17,3,东风 3-4级 /东风 3-4级
2016-03-20,多云,多云,16,4,东风 3-4级 /东风 3-4级
2016-03-21,阴,阴,11,4,东风 3-4级 /东风 3-4级
2016-03-22,阴,多云,10,1,西风 ≤3级 /西风 3-4级
2016-03-23,多云,多云,11,0,西风 3-4级 /西风 3-4级
2016-03-24,晴,晴,15,0,东风 3-4级 /东风 3-4级
2016-03-25,晴,晴,13,-2,东风 4-5级 /西风 3-4级
2016-03-26,晴,晴,16,1,东风 3-4级 /东风 ≤3级
2016-03-27,晴,晴,14,3,东风 ≤3级 /东风 3-4级
2016-03-28,多云,晴,15,3,东风 3-4级 /西风 3-4级
