date,weather_1,weather_2,high,low,wind
2016-02-01,晴,多云,13,-3,无持续风向 ≤3级 /西风 4-5级
2016-02-02,多云,晴,13,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-03,晴,晴,12,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-04,晴,晴,11,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-05,晴,晴,12,-4,无持续风向 ≤3级 /西风 5-6级
2016-02-06,晴,多云,16,-2,西风 4-5级 /西风 4-5级
2016-02-07,多云,阴,15,-2,西风 4-5级 /无持续风向 ≤3级
2016-02-08,阵雪,小雪,13,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-09,多云,多云,10,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-10,晴,多云,13,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-11,晴,晴,11,-3,无持续风向 ≤3级 /西风 5-6级
2016-02-12,晴,晴,14,-3,无持续风向 ≤3级 /西风 3-4级
2016-02-13,晴,晴,14,-4,无持续风向 ≤3级 /西风 4-5级
2016-02-14,晴,晴,14,-2,西风 4-5级 /西风 3-4级
2016-02-15,晴,晴,15,-1,西风 4-5级 /西风 5-6级
2016-02-16,晴,晴,15,-2,西风 5-6级 /西风 5-6级
2016-02-17,多云,晴,14,1,无持续风向 ≤3级 /西风 4-5级
2016-02-18,晴,晴,16,1,西风 4-5级 /西风 4-5级
2016-02-19,晴,晴,17,0,无持续风向 ≤3级 /西风 5-6级
2016-02-20,晴,晴,17,2,西风 5-6级 /西风 4-5级
2016-02-21,多云,多云,18,3,无持续风向 ≤3级 /西风 4-5级
2016-02-22,多云,晴,16,-1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-23,多云,阴,13,-1,无持续风向 ≤3级 /西风 3-4级
2016-02-24,多云,阵雪,10,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-25,多云,晴,7,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-26,多云,多云,8,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-27,晴,多云,8,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-28,多云,多云,9,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-29,多云,多云,9,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-01,阵雪,阵雪,9,-4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-02,多云,晴,11,-3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-03,多云,阴,13,-3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-04,阴,多云,11,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-05,多云,晴,13,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-06,多云,多云,12,1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-07,多云,阴,14,0,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-08,多云,雨夹雪,12,-1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-09,多云,多云,14,1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-10,多云,阴,14,0,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-11,多云,多云,14,1,无持续风向 ≤3级 /无持续风向 ≤3级
