date,weather_1,weather_2,high,low,wind
2016-02-01,多云,多云,-12,-19,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-02,多云,小雪,-11,-19,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-03,小雪,多云,-9,-18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-04,多云,多云,-11,-18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-05,多云,多云,-9,-16,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-06,多云,多云,-9,-18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-07,多云,多云,-9,-16,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-08,多云,多云,-8,-17,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-09,多云,阴,-11,-13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-10,中雪,小雪,-5,-14,西风 3-4级 /无持续风向 ≤3级
2016-02-11,多云,晴,-13,-22,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-12,晴,多云,-15,-25,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-13,多云,多云,-13,-24,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-14,多云,晴,-13,-23,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-15,晴,晴,-13,-23,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-16,晴,晴,-12,-23,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-17,多云,晴,-10,-20,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-18,晴,晴,-10,-19,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-19,晴,多云,-10,-17,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-20,晴,晴,-10,-20,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-21,晴,晴,-9,-20,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-22,多云,多云,-9,-19,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-23,多云,晴,-9,-18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-24,多云,多云,-7,-17,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-25,多云,多云,-7,-15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-26,多云,多云,-6,-14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-27,多云,多云,-2,-15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-28,多云,多云,-3,-11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-29,晴,晴,-1,-10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-01,多云,多云,-3,-8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-02,多云,中雪,2,-6,无持续风向 ≤3级 /西风 3-4级
2016-03-03,小雪,晴,1,-13,西北风 3-4级 /无持续风向 ≤3级
2016-03-04,晴,多云,-1,-11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-05,多云,多云,0,-11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-06,晴,多云,0,-10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-07,多云,多云,0,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-08,多云,多云,-1,-11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-09,多云,晴,-2,-11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-10,多云,多云,0,-8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-11,多云,多云,0,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-12,晴,多云,3,-8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-13,多云,多云,4,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-14,晴,多云,5,-3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-15,阴,阴,4,-5,无持续风向 ≤3级 /西风 3-4级
2016-03-16,晴,多云,6,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-17,阴,多云,5,-1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-18,阴,多云,6,1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-19,多云,阴,8,2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-20,小雨,多云,5,-1,无持续风向 ≤3级 /西风 3-4级
2016-03-21,多云,多云,9,0,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-22,多云,多云,12,0,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-23,晴,多云,14,2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-24,多云,多云,15,3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-25,多云,阴,17,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-26,多云,多云,16,8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-27,多云,多云,18,7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-28,多云,晴,19,5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-29,晴,多云,22,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-30,多云,多云,19,7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-31,多云,多云,20,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-01,小雨,阴,18,6,西风 3-4级 /无持续风向 ≤3级
2016-04-02,多云,阴,20,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-03,阴,多云,18,8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-04,多云,小雨,18,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-05,阴,晴,18,6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-06,晴,晴,22,6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-07,晴,多云,23,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-08,多云,多云,26,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-09,小雨,中雨,21,9,西北风 4-5级 /西风 4-5级
2016-04-10,小雨,多云,17,6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-11,多云,晴,18,5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-12,晴,多云,21,8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-13,阴,多云,23,8,无持续风向 ≤3级 /西风 3-4级
2016-04-14,多云,小雨,19,8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-15,多云,晴,18,4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-16,晴,晴,22,4,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-17,晴,晴,25,8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-18,晴,晴,25,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-19,晴,晴,25,9,西北风 3-4级 /无持续风向 ≤3级
2016-04-20,晴,晴,27,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-21,晴,多云,29,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-22,多云,多云,28,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-23,阴,小雨,24,12,西风 3-4级 /西北风 3-4级
2016-04-24,阴,多云,23,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-25,晴,晴,26,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-26,多云,阴,27,13,无持续风向 ≤3级 /西风 3-4级
2016-04-27,小雨,多云,23,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-28,晴,多云,26,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-04-29,多云,小雨,24,12,无持续风向 ≤3级 /西北风 4-5级
2016-04-30,小雨,小雨,15,5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-01,晴,多云,20,7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-02,多云,小雨,21,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-03,小雨,小雨,19,12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-04,阴,多云,19,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-05,多云,多云,23,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-06,多云,小雨,23,11,无持续风向 ≤3级 /西风 3-4级
2016-05-07,小雨,多云,20,10,西风 3-4级 /无持续风向 ≤3级
2016-05-08,晴,多云,25,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-09,多云,小雨,27,12,西风 3-4级 /西风 3-4级
2016-05-10,小雨,小雨,16,9,西风 4-5级 /西风 3-4级
2016-05-11,多云,晴,19,8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-12,晴,多云,22,12,无持续风向 ≤3级 /西风 3-4级
2016-05-13,多云,晴,22,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-14,晴,晴,26,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-15,多云,多云,25,13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-16,阴,中雨,24,14,无持续风向 ≤3级 /西风 3-4级
2016-05-17,小雨,中雨,22,11,西风 3-4级 /西风 3-4级
2016-05-18,大雨,小雨,15,9,西北风 4-5级 /西风 3-4级
2016-05-19,多云,多云,19,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-20,晴,晴,19,7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-21,晴,晴,21,8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-22,晴,晴,23,10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-23,晴,晴,25,9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-24,晴,晴,26,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-25,晴,晴,28,11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-26,晴,多云,32,15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-27,阵雨,阵雨,30,18,西风 3-4级 /西风 3-4级
2016-05-28,阵雨,多云,29,16,西风 3-4级 /西风 3-4级
2016-05-29,多云,多云,30,17,无持续风向 ≤3级 /西风 3-4级
2016-05-30,多云,多云,29,15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-05-31,多云,晴,32,16,无持续风向 ≤3级 /无持续风向 ≤3级
2016-06-01,晴,晴,33,18,无持续风向 ≤3级 /无持续风向 ≤3级
2016-06-02,晴,多云,33,19,无持续风向 ≤3级 /无持续风向 ≤3级
2016-06-03,晴,多云,34,20,无持续风向 ≤3级 /无持续风向 ≤3级
