date,weather_1,weather_2,high,low,wind
2016-02-01,多云,多云,0,-14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-02,多云,阴,2,-14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-03,多云,晴,4,-15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-04,多云,小雪,-1,-16,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-05,多云,晴,1,-16,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-06,多云,晴,4,-15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-07,晴,晴,9,-14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-08,晴,晴,10,-15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-09,阴,晴,12,-14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-10,晴,多云,11,-12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-11,阴,小雪,7,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-12,小雪,小雪,-2,-12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-13,小雪,多云,-5,-15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-14,多云,多云,-3,-15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-15,晴,多云,2,-15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-16,多云,多云,1,-15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-17,晴,晴,7,-12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-18,多云,晴,4,-13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-19,多云,晴,2,-13,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-20,多云,晴,7,-15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-21,阴,多云,3,-11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-22,多云,多云,4,-11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-23,多云,多云,3,-12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-24,多云,多云,3,-11,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-25,多云,晴,6,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-26,晴,多云,10,-10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-27,多云,晴,11,-8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-28,多云,晴,11,-8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-29,多云,多云,13,-7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-01,多云,多云,13,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-02,晴,晴,11,-8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-03,多云,晴,13,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-04,多云,浮尘,9,-7,无持续风向 ≤3级 /东南风 4-5级
2016-03-05,多云,多云,12,-8,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-06,晴,多云,16,-7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-07,多云,晴,15,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-08,多云,晴,13,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-09,阵雪,多云,5,-10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-10,多云,多云,4,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-11,多云,多云,14,-7,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-12,小雪,小雪,10,-6,无持续风向 ≤3级 /东南风 4-5级
2016-03-13,多云,多云,5,-6,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-14,阴,多云,14,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-15,小雪,多云,12,-3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-16,小雪,阵雪,12,-3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-17,小雪,晴,13,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-18,晴,晴,17,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-19,阴,阴,20,1,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-20,阴,多云,13,0,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-21,雨夹雪,雨夹雪,13,1,无持续风向 ≤3级 /无持续风向 ≤3级
