date,weather_1,weather_2,high,low,wind
2016-02-01,晴,多云,-5,-15,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-02,晴,晴,-1,-12,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-03,多云,多云,0,-9,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-04,多云,多云,0,-13,北风 4-5级 /北风 3-4级
2016-02-05,晴,晴,-2,-13,北风 3-4级 /无持续风向 ≤3级
2016-02-06,多云,多云,2,-6,北风 4-5级 /北风 4-5级
2016-02-07,晴,晴,6,-7,北风 4-5级 /无持续风向 ≤3级
2016-02-08,晴,晴,9,-5,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-09,晴,晴,9,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-10,多云,多云,10,-3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-11,多云,小雪,9,-2,无持续风向 ≤3级 /北风 4-5级
2016-02-12,小雪,小雪,-3,-10,北风 4-5级 /北风 3-4级
2016-02-13,多云,多云,-4,-12,北风 3-4级 /无持续风向 ≤3级
2016-02-14,晴,晴,-5,-16,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-15,晴,晴,-2,-14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-16,晴,晴,1,-14,无持续风向 ≤3级 /无持续风向 ≤3级
2016-02-17,晴,多云,5,-8,北风 3-4级 /无持续风向 ≤3级
2016-02-18,多云,多云,4,-7,北风 4-5级 /北风 3-4级
2016-02-19,多云,晴,0,-13,北风 4-5级 /北风 3-4级
2016-02-20,晴,多云,2,-10,北风 3-4级 /无持续风向 ≤3级
2016-02-21,阴,多云,6,-8,北风 3-4级 /无持续风向 ≤3级
2016-02-22,多云,多云,3,-9,北风 3-4级 /无持续风向 ≤3级
2016-02-23,多云,多云,2,-9,北风 3-4级 /无持续风向 ≤3级
2016-02-24,晴,晴,4,-7,北风 3-4级 /无持续风向 ≤3级
2016-02-25,晴,晴,6,-6,北风 4-5级 /北风 3-4级
2016-02-26,晴,多云,10,-2,北风 4-5级 /北风 3-4级
2016-02-27,多云,多云,12,-3,北风 4-5级 /北风 5-6级
2016-02-28,多云,晴,7,-5,北风 3-4级 /无持续风向 ≤3级
2016-02-29,晴,多云,9,-4,北风 3-4级 /无持续风向 ≤3级
2016-03-01,晴,多云,10,0,北风 3-4级 /无持续风向 ≤3级
2016-03-02,晴,晴,16,2,南风 3-4级 /无持续风向 ≤3级
2016-03-03,晴,阴,17,0,无持续风向 ≤3级 /北风 4-5级
2016-03-04,阴,多云,9,-4,北风 5-6级 /北风 3-4级
2016-03-05,多云,多云,9,-1,北风 3-4级 /无持续风向 ≤3级
2016-03-06,晴,多云,12,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-07,晴,多云,10,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-08,阴,小雪,4,-6,无持续风向 ≤3级 /北风 4-5级
2016-03-09,小雪,阴,-2,-11,北风 3-4级 /无持续风向 ≤3级
2016-03-10,晴,晴,1,-10,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-11,晴,多云,8,-2,北风 3-4级 /无持续风向 ≤3级
2016-03-12,多云,多云,10,-5,北风 4-5级 /无持续风向 ≤3级
2016-03-13,晴,晴,7,-3,无持续风向 ≤3级 /南风 3-4级
2016-03-14,阴,多云,13,0,南风 3-4级 /无持续风向 ≤3级
2016-03-15,多云,多云,14,2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-16,多云,阴,15,3,南风 3-4级 /无持续风向 ≤3级
2016-03-17,晴,晴,18,3,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-18,晴,多云,19,6,南风 3-4级 /无持续风向 ≤3级
2016-03-19,阴,小雨,18,7,南风 4-5级 /南风 4-5级
2016-03-20,小雨,小雨,15,6,南风 4-5级 /南风 4-5级
2016-03-21,小雨,小雨,14,6,南风 4-5级 /南风 3-4级
2016-03-22,小雨,小雨,13,4,北风 3-4级 /无持续风向 ≤3级
2016-03-23,小雨,阴,8,2,北风 3-4级 /无持续风向 ≤3级
2016-03-24,多云,多云,12,0,北风 3-4级 /无持续风向 ≤3级
2016-03-25,多云,晴,10,-2,北风 3-4级 /无持续风向 ≤3级
2016-03-26,晴,晴,11,-2,无持续风向 ≤3级 /无持续风向 ≤3级
2016-03-27,晴,多云,14,3,南风 3-4级 /无持续风向 ≤3级
2016-03-28,多云,多云,19,2,北风 4-5级 /无持续风向 ≤3级
2016-03-29,多云,多云,19,5,南风 3-4级 /无持续风向 ≤3级
2016-03-30,多云,多云,21,8,南风 3-4级 /无持续风向 ≤3级
2016-03-31,多云,多云,26,9,南风 3-4级 /无持续风向 ≤3级
2016-04-01,多云,多云,21,7,北风 3-4级 /无持续风向 ≤3级
